docid	position	length	mention	url
2018-01-17_00_United	134	15	New Port Richey	https://en.wikipedia.org/wiki/New_Port_Richey,_Florida
2018-01-17_00_United	151	7	Florida	https://en.wikipedia.org/wiki/Florida
2018-01-17_00_United	160	2	US	https://en.wikipedia.org/wiki/United_States
2018-01-17_00_United	491	11	Port Richey	https://en.wikipedia.org/wiki/Port_Richey,_Florida
2018-01-17_00_United	837	11	hypothermia	https://en.wikipedia.org/wiki/hypothermia
2018-01-17_00_United	1127	29	Pasco County Sheriff's Office	https://en.wikipedia.org/wiki/Pasco_County_Sheriff%27s_Office
2018-01-17_00_United	1191	7	WFLA-TV	https://en.wikipedia.org/wiki/WFLA-TV
2018-01-17_00_United	1399	12	Pasco County	https://en.wikipedia.org/wiki/Pasco_County,_Florida
2018-01-17_00_United	1691	11	Coast Guard	https://en.wikipedia.org/wiki/United_States_Coast_Guard
2018-01-17_01_British	61	27	Environmental International	https://en.wikipedia.org/wiki/Environmental_International
2018-01-17_01_British	102	7	Britain	https://en.wikipedia.org/wiki/United_Kingdom
2018-01-17_01_British	112	20	University of Exeter	https://en.wikipedia.org/wiki/University_of_Exeter
2018-01-17_01_British	146	7	surfers	https://en.wikipedia.org/wiki/surfers
2018-01-17_01_British	158	12	bodyboarders	https://en.wikipedia.org/wiki/bodyboarding
2018-01-17_01_British	214	20	antibiotic-resistant	https://en.wikipedia.org/wiki/antibiotic_resistance
2018-01-17_01_British	235	16	Escherichia coli	https://en.wikipedia.org/wiki/Escherichia_coli
2018-01-17_01_British	388	21	epidemiological study	https://en.wikipedia.org/wiki/epidemiology
2018-01-17_01_British	498	12	body surfers	https://en.wikipedia.org/wiki/Body_surfing
2018-01-17_01_British	754	13	control group	https://en.wikipedia.org/wiki/control_group
2018-01-17_01_British	910	10	cefotaxime	https://en.wikipedia.org/wiki/cefotaxime
2018-01-17_01_British	1464	7	England	https://en.wikipedia.org/wiki/England
2018-01-17_01_British	1476	5	Wales	https://en.wikipedia.org/wiki/Wales
2018-01-17_01_British	1732	24	horizontal gene transfer	https://en.wikipedia.org/wiki/horizontal_gene_transfer
2018-01-17_01_British	2697	22	Surfers Against Sewage	https://en.wikipedia.org/wiki/Surfers_Against_Sewage
2018-01-17_01_British	3821	25	World Health Organization	https://en.wikipedia.org/wiki/World_Health_Organization
2018-01-17_01_British	3962	9	pneumonia	https://en.wikipedia.org/wiki/pneumonia
2018-01-17_01_British	3976	9	gonnorhea	https://en.wikipedia.org/wiki/gonnorhea
2018-01-17_01_British	4209	12	Sally Davies	https://en.wikipedia.org/wiki/Sally_Davies_(doctor)
2018-01-17_01_British	4233	21	chief medical officer	https://en.wikipedia.org/wiki/Chief_Medical_Officer_(United_Kingdom)
2018-01-17_01_British	4315	34	European Regional Development Fund	https://en.wikipedia.org/wiki/European_Regional_Development_Fund
2018-01-17_01_British	4354	36	Natural Environment Research Council	https://en.wikipedia.org/wiki/Natural_Environment_Research_Council
2018-01-18_00_Irish	51	17	Dolores O'Riordan	https://en.wikipedia.org/wiki/Dolores_O%27Riordan
2018-01-18_00_Irish	85	5	Irish	https://en.wikipedia.org/wiki/Ireland
2018-01-18_00_Irish	101	15	The Cranberries	https://en.wikipedia.org/wiki/The_Cranberries
2018-01-18_00_Irish	225	26	London Hilton on Park Lane	https://en.wikipedia.org/wiki/London_Hilton_on_Park_Lane
2018-01-18_00_Irish	293	6	London	https://en.wikipedia.org/wiki/London
2018-01-18_00_Irish	301	7	England	https://en.wikipedia.org/wiki/England
2018-01-18_00_Irish	717	10	Noel Hogan	https://en.wikipedia.org/wiki/Noel_Hogan
2018-01-18_00_Irish	785	44	Everybody Else Is Doing It, So Why Can't We?	https://en.wikipedia.org/wiki/Everybody_Else_Is_Doing_It,_So_Why_Can%27t_We%3F
2018-01-18_00_Irish	872	6	Linger	https://en.wikipedia.org/wiki/Linger_(song)
2018-01-18_00_Irish	993	14	Something Else	https://en.wikipedia.org/wiki/Something_Else
2018-01-18_00_Irish	1108	16	No Need to Argue	https://en.wikipedia.org/wiki/No_Need_to_Argue
2018-01-18_00_Irish	1150	6	Zombie	https://en.wikipedia.org/wiki/Zombie_(song)
2018-01-18_00_Irish	1192	16	Northern Ireland	https://en.wikipedia.org/wiki/Northern_Ireland
2018-01-18_00_Irish	1337	11	Duran Duran	https://en.wikipedia.org/wiki/Duran_Duran
2018-01-18_00_Irish	1374	24	To the Faithful Departed	https://en.wikipedia.org/wiki/To_the_Faithful_Departed
2018-01-18_00_Irish	1598	18	Are You Listening?	https://en.wikipedia.org/wiki/Are_You_Listening%3F_(Dolores_O%27Riordan_album)
2018-01-18_00_Irish	1629	10	No Baggage	https://en.wikipedia.org/wiki/No_Baggage
2018-01-18_00_Irish	1820	16	bipolar disorder	https://en.wikipedia.org/wiki/Bipolar_disorder
2018-01-18_00_Irish	1885	14	The Irish News	https://en.wikipedia.org/wiki/The_Irish_News
2018-01-18_00_Irish	2011	8	New York	https://en.wikipedia.org/wiki/New_York
2018-01-18_00_Irish	2021	2	US	https://en.wikipedia.org/wiki/United_States
2018-01-18_00_Irish	2050	1	€	https://en.wikipedia.org/wiki/Euro
2018-01-18_00_Irish	2057	3	US$	https://en.wikipedia.org/wiki/United_States_dollar
2018-01-18_00_Irish	2198	13	North America	https://en.wikipedia.org/wiki/North_America
2018-01-18_00_Irish	2216	6	Europe	https://en.wikipedia.org/wiki/Europe
2018-01-18_00_Irish	2227	14	Something Else	https://en.wikipedia.org/wiki/Something_Else
2018-01-18_00_Irish	2378	12	Leo Varadkar	https://en.wikipedia.org/wiki/Leo_Varadkar
2018-01-18_00_Irish	2391	7	tweeted	https://en.wikipedia.org/wiki/Twitter
2018-01-18_00_Irish	2602	8	Limerick	https://en.wikipedia.org/wiki/Limerick
2018-01-18_00_Irish	2976	12	Ballybricken	https://en.wikipedia.org/wiki/Ballybricken
2018-01-19_00_Zimbabwean	26	11	Roy Bennett	https://en.wikipedia.org/wiki/Roy_Bennett_(politician)
2018-01-19_00_Zimbabwean	45	10	Zimbabwean	https://en.wikipedia.org/wiki/Zimbabwe
2018-01-19_00_Zimbabwean	186	10	New Mexico	https://en.wikipedia.org/wiki/New_Mexico
2018-01-19_00_Zimbabwean	198	13	United States	https://en.wikipedia.org/wiki/United_States
2018-01-19_00_Zimbabwean	334	18	Bell UH-1 Iroquois	https://en.wikipedia.org/wiki/Bell_UH-1_Iroquois
2018-01-19_00_Zimbabwean	466	5	miles	https://en.wikipedia.org/wiki/mile
2018-01-19_00_Zimbabwean	482	2	km	https://en.wikipedia.org/wiki/kilometre
2018-01-19_00_Zimbabwean	512	5	Raton	https://en.wikipedia.org/wiki/Raton,_New_Mexico
2018-01-19_00_Zimbabwean	523	23	New Mexico State Police	https://en.wikipedia.org/wiki/New_Mexico_State_Police
2018-01-19_00_Zimbabwean	1072	43	Movement for Democratic Change – Tsvangirai	https://en.wikipedia.org/wiki/Movement_for_Democratic_Change_%E2%80%93_Tsvangirai
2018-01-19_00_Zimbabwean	1172	13	Robert Mugabe	https://en.wikipedia.org/wiki/Robert_Mugabe
2018-01-19_00_Zimbabwean	1560	11	Tendai Biti	https://en.wikipedia.org/wiki/Tendai_Biti
2018-01-19_00_Zimbabwean	1621	13	David Coltart	https://en.wikipedia.org/wiki/David_Coltart
2018-01-19_00_Zimbabwean	1735	12	Alex Magaisa	https://en.wikipedia.org/wiki/Alex_Magaisa
2018-01-20_00_Chile	41	14	Roman Catholic	https://en.wikipedia.org/wiki/Catholic_Church
2018-01-20_00_Chile	56	12	Pope Francis	https://en.wikipedia.org/wiki/Pope_Francis
2018-01-20_00_Chile	83	13	South America	https://en.wikipedia.org/wiki/South_America
2018-01-20_00_Chile	120	5	Chile	https://en.wikipedia.org/wiki/Chile
2018-01-20_00_Chile	197	6	Bishop	https://en.wikipedia.org/wiki/Bishop
2018-01-20_00_Chile	607	17	Fernando Karadima	https://en.wikipedia.org/wiki/Fernando_Karadima
2018-01-20_00_Chile	661	7	Vatican	https://en.wikipedia.org/wiki/Vatican_City
2018-01-20_00_Chile	1962	9	Stantiago	https://en.wikipedia.org/wiki/Santiago,_Chile
2018-01-20_01_Ukraine	45	9	Ukrainian	https://en.wikipedia.org/wiki/Ukraine
2018-01-20_01_Ukraine	55	10	Parliament	https://en.wikipedia.org/wiki/Verkhovna_Rada
2018-01-20_01_Ukraine	151	7	oblasts	https://en.wikipedia.org/wiki/Oblasts_of_Ukraine
2018-01-20_01_Ukraine	164	7	Donetsk	https://en.wikipedia.org/wiki/Donetsk
2018-01-20_01_Ukraine	176	7	Luhansk	https://en.wikipedia.org/wiki/Luhansk_Oblast
2018-01-20_01_Ukraine	219	6	Russia	https://en.wikipedia.org/wiki/Russia
2018-01-20_01_Ukraine	407	15	Minsk agreement	https://en.wikipedia.org/wiki/Minsk_II
2018-01-20_01_Ukraine	502	6	France	https://en.wikipedia.org/wiki/France
2018-01-20_01_Ukraine	513	7	Germany	https://en.wikipedia.org/wiki/Germany
2018-01-20_01_Ukraine	543	16	Petro Poroshenko	https://en.wikipedia.org/wiki/Petro_Poroshenko
2018-01-20_01_Ukraine	570	7	Twitter	https://en.wikipedia.org/wiki/Twitter
2018-01-20_01_Ukraine	726	17	Arseniy Yatsenyuk	https://en.wikipedia.org/wiki/Arseniy_Yatsenyuk
2018-01-20_01_Ukraine	780	14	United Nations	https://en.wikipedia.org/wiki/United_Nations
2018-01-20_01_Ukraine	880	11	Ivan Vinnyk	https://en.wikipedia.org/wiki/Ivan_Vinnyk
2018-01-20_01_Ukraine	1415	19	Konstantin Kosachev	https://en.wikipedia.org/wiki/Konstantin_Kosachev
2018-01-20_01_Ukraine	1483	18	Federation Council	https://en.wikipedia.org/wiki/Federation_Council_(Russia)
2018-01-20_01_Ukraine	1513	22	Alexander Zakharchenko	https://en.wikipedia.org/wiki/Alexander_Zakharchenko
2018-01-20_01_Ukraine	1802	6	Crimea	https://en.wikipedia.org/wiki/Crimea
2018-01-20_01_Ukraine	1889	10	Al Jazeera	https://en.wikipedia.org/wiki/Al_Jazeera
2018-01-24_00_United	77	27	Marshall County High School	https://en.wikipedia.org/wiki/Marshall_County_High_School
2018-01-24_00_United	108	6	Benton	https://en.wikipedia.org/wiki/Benton,_Kentucky
2018-01-24_00_United	116	8	Kentucky	https://en.wikipedia.org/wiki/Kentucky
2018-01-24_00_United	126	13	United States	https://en.wikipedia.org/wiki/United_States
2018-01-24_00_United	372	3	CST	https://en.wikipedia.org/wiki/Central_Time_Zone
2018-01-24_00_United	525	10	Matt Bevin	https://en.wikipedia.org/wiki/Matt_Bevin
2018-01-24_00_United	1554	3	NPR	https://en.wikipedia.org/wiki/NPR
2018-01-24_01_US	29	13	United States	https://en.wikipedia.org/wiki/United_States
2018-01-24_01_US	58	10	Mike Pence	https://en.wikipedia.org/wiki/Mike_Pence
2018-01-24_01_US	76	6	Israel	https://en.wikipedia.org/wiki/Israel
2018-01-24_01_US	111	7	Knesset	https://en.wikipedia.org/wiki/Knesset
2018-01-24_01_US	228	8	Tel Aviv	https://en.wikipedia.org/wiki/Tel_Aviv
2018-01-24_01_US	240	9	Jerusalem	https://en.wikipedia.org/wiki/Jerusalem
2018-01-24_01_US	325	8	biblical	https://en.wikipedia.org/wiki/Bible
2018-01-24_01_US	1647	10	Yad Vashem	https://en.wikipedia.org/wiki/Yad_Vashem
2018-01-24_01_US	1666	12	Western Wall	https://en.wikipedia.org/wiki/Western_Wall
2018-01-24_01_US	1713	13	Mahmoud Abbas	https://en.wikipedia.org/wiki/Mahmoud_Abbas
2018-01-24_01_US	1835	12	Donald Trump	https://en.wikipedia.org/wiki/Donald_Trump
2018-01-25_00_Healthy	86	4	Cell	https://en.wikipedia.org/wiki/Cell_(journal)
2018-01-25_00_Healthy	122	27	Chinese Academy of Sciences	https://en.wikipedia.org/wiki/Chinese_Academy_of_Sciences
2018-01-25_00_Healthy	153	8	Shanghai	https://en.wikipedia.org/wiki/Shanghai
2018-01-25_00_Healthy	163	5	China	https://en.wikipedia.org/wiki/China
2018-01-25_00_Healthy	285	29	somatic cell nuclear transfer	https://en.wikipedia.org/wiki/somatic_cell_nuclear_transfer
2018-01-25_00_Healthy	356	15	Dolly the sheep	https://en.wikipedia.org/wiki/Dolly_the_sheep
2018-01-25_00_Healthy	438	7	nucleus	https://en.wikipedia.org/wiki/Cell_nucleus
2018-01-25_00_Healthy	488	11	chromosomes	https://en.wikipedia.org/wiki/chromosome
2018-01-25_00_Healthy	809	12	mitochondria	https://en.wikipedia.org/wiki/mitochondria
2018-01-25_00_Healthy	1099	28	"""Zhong Zhong"" and ""Hua Hua,"""	https://en.wikipedia.org/wiki/Zhong_Zhong_and_Hua_Hua
2018-01-25_00_Healthy	1220	18	cynomolgus monkeys	https://en.wikipedia.org/wiki/Macaca_fascicularis
2018-01-25_00_Healthy	1509	8	Scotland	https://en.wikipedia.org/wiki/Scotland
2018-01-25_00_Healthy	1814	14	rhesus monkeys	https://en.wikipedia.org/wiki/rhesus_monkeys
2018-01-25_00_Healthy	1852	21	embryonic donor cells	https://en.wikipedia.org/wiki/embryonic_cell
2018-01-25_00_Healthy	1959	16	fibroblast cells	https://en.wikipedia.org/wiki/fibroblast
2018-01-25_00_Healthy	2036	13	cumulus cells	https://en.wikipedia.org/wiki/cumulus_cells
2018-01-25_00_Healthy	2110	10	Muming Poo	https://en.wikipedia.org/wiki/Muming_Poo
2018-01-25_00_Healthy	2301	11	Parkinson's	https://en.wikipedia.org/wiki/Parkinson%27s
2018-01-25_00_Healthy	2317	10	Huntington	https://en.wikipedia.org/wiki/Huntington
2018-01-25_00_Healthy	2362	14	model organism	https://en.wikipedia.org/wiki/model_organism
2018-01-25_00_Healthy	2614	15	atherosclerosis	https://en.wikipedia.org/wiki/atherosclerosis
2018-01-25_00_Healthy	2644	13	heart disease	https://en.wikipedia.org/wiki/heart_disease
2018-01-25_00_Healthy	2768	19	Columbia University	https://en.wikipedia.org/wiki/Columbia_University
2018-01-25_00_Healthy	3263	12	bioethicists	https://en.wikipedia.org/wiki/Bioethics
2018-01-25_00_Healthy	4225	5	Kdm4d	https://en.wikipedia.org/wiki/KDM4D
2018-01-26_00_South	122	7	Miryang	https://en.wikipedia.org/wiki/Miryang
2018-01-26_00_South	131	11	South Korea	https://en.wikipedia.org/wiki/South_Korea
2018-01-26_00_South	262	18	critical condition	https://en.wikipedia.org/wiki/critical_condition
2018-01-26_00_South	410	10	local time	https://en.wikipedia.org/wiki/Time_in_South_Korea
2018-01-26_00_South	501	14	emergency room	https://en.wikipedia.org/wiki/emergency_room
2018-01-26_00_South	840	13	JoongAng Ilbo	https://en.wikipedia.org/wiki/JoongAng_Ilbo
2018-01-26_00_South	1088	16	smoke inhalation	https://en.wikipedia.org/wiki/smoke_inhalation
2018-01-26_00_South	1535	10	Sprinklers	https://en.wikipedia.org/wiki/Fire_sprinkler
2018-01-26_00_South	1679	7	Jecheon	https://en.wikipedia.org/wiki/Jecheon
2018-01-26_00_South	1789	9	Jangseong	https://en.wikipedia.org/wiki/Jangseong
2018-01-26_00_South	1843	11	Moon Jae-in	https://en.wikipedia.org/wiki/Moon_Jae-in
2018-01-26_01_Save	37	2	UK	https://en.wikipedia.org/wiki/United_Kingdom
2018-01-26_01_Save	84	17	Save the Children	https://en.wikipedia.org/wiki/Save_the_Children
