Week Beginning,userDomain,Event Count,Event Actions,Event Values,Critique Feature Usage,Days,Active Users,AI Characters
2026-01-12,firm_12_domain,2,2,0.0,0,0,0,0
2026-01-12,firm_10_domain,24,196,1120.0,0,1,1,560
2026-01-12,firm_3_domain,1,1,0.0,0,0,0,0
2026-01-12,ext_domain_10,7,24,0.0,0,0,0,0
2026-01-12,ext_domain_4,41,631,75.0,0,3,3,11252
2026-01-19,ext_domain_1,79,8610,1512.2,0,7,21,372439
2026-01-19,firm_9_domain,25,184,36.0,0,2,2,18119
2026-01-19,ext_domain_2,83,7457,1583.0,0,6,12,397363
2026-01-19,firm_1_domain,74,4099,636.0,0,3,3,118929
2026-01-19,ext_domain_3,74,5121,1315.0,0,5,9,127482
2026-01-19,ext_domain_6,43,882,572.5,0,3,4,75465
2026-01-19,firm_4_domain,64,1962,802.0,0,4,5,294235
2026-01-19,firm_2_domain,53,582,412.4,0,2,2,22164
2026-01-19,ext_domain_7,18,62,14.0,0,2,2,7479
2026-01-19,firm_10_domain,11,45,0.0,0,0,0,0
2026-01-19,ext_domain_4,49,439,1041.8,0,3,3,6791
2026-01-26,ext_domain_1,78,8857,1151.0,0,5,24,448721
2026-01-26,firm_9_domain,51,541,279.3,13,2,3,18607
2026-01-26,ext_domain_2,81,8085,1962.0,0,6,13,666867
2026-01-26,ext_domain_5,22,154,72.0,0,1,1,36274
2026-01-26,firm_5_domain,18,38,31.0,0,0,0,0
2026-01-26,firm_1_domain,62,3476,679.0,0,6,9,142191
2026-01-26,ext_domain_3,60,3038,811.0,0,5,7,81392
2026-01-26,ext_domain_6,40,739,304.0,0,2,2,33257
2026-01-26,firm_4_domain,27,146,18.0,0,1,1,9539
2026-01-26,firm_2_domain,55,1474,853.3,0,4,4,42018
2026-01-26,ext_domain_7,46,2857,1063.0,0,5,6,32997
2026-01-26,firm_10_domain,8,15,0.0,0,0,0,0
2026-01-26,ext_domain_4,41,507,1725.2,0,3,3,5508
2026-02-02,ext_domain_1,78,3672,2481.0,0,7,20,423646
2026-02-02,firm_9_domain,19,67,1170.0,0,1,1,585
2026-02-02,ext_domain_2,68,4136,989.0,0,6,10,203669
2026-02-02,ext_domain_5,36,459,356.4,0,2,3,69009
2026-02-02,firm_1_domain,83,6827,1474.0,0,6,8,220785
2026-02-02,ext_domain_3,58,2448,677.0,0,5,8,214578
2026-02-02,ext_domain_6,35,234,944.0,0,3,3,8329
2026-02-02,firm_2_domain,45,751,546.3,0,4,4,69801
2026-02-02,ext_domain_7,18,70,14.0,0,1,1,7498
2026-02-02,firm_10_domain,11,140,0.0,0,0,0,0
2026-02-02,ext_domain_4,56,746,712.5,0,4,4,16855
2026-02-09,ext_domain_1,81,6997,1544.6,0,7,25,482732
2026-02-09,firm_9_domain,21,76,18.0,0,1,1,9253
2026-02-09,ext_domain_2,56,2934,1910.1,0,2,2,41344
2026-02-09,firm_1_domain,82,6267,1037.0,0,7,12,146854
2026-02-09,ext_domain_3,57,2998,910.0,0,5,9,139576
2026-02-09,ext_domain_6,40,651,895.6,0,2,2,35053
2026-02-09,firm_2_domain,22,53,1828.0,0,1,1,914
2026-02-09,ext_domain_7,50,1203,297.0,0,4,4,33178
2026-02-09,firm_10_domain,16,133,0.0,0,0,0,0
2026-02-09,firm_3_domain,3,5,0.0,0,0,0,0
2026-02-09,ext_domain_4,50,480,968.9,0,4,4,10825
2026-02-16,ext_domain_1,76,8212,1030.2,0,7,20,343467
2026-02-16,firm_9_domain,17,130,34.0,0,1,1,17898
2026-02-16,ext_domain_2,62,517,358.5,0,4,4,30810
2026-02-16,firm_1_domain,68,5928,1437.0,0,5,10,181745
2026-02-16,ext_domain_3,63,2880,1914.2,0,5,10,149288
2026-02-16,ext_domain_6,34,385,723.0,0,4,4,34963
2026-02-16,firm_4_domain,2,2,0.0,0,0,0,0
2026-02-16,firm_2_domain,34,182,178.4,0,1,1,8775
2026-02-16,ext_domain_7,35,548,564.7,0,2,2,28195
2026-02-16,firm_12_domain,30,247,529.0,0,1,1,15838
2026-02-16,firm_10_domain,7,117,0.0,0,0,0,0
2026-02-16,ext_domain_4,30,147,413.9,0,2,2,5527
2026-02-23,ext_domain_1,54,894,994.7,0,1,3,68871
2026-02-23,firm_9_domain,29,391,2235.0,0,1,1,52
2026-02-23,ext_domain_2,30,557,688.3,0,1,1,6014
2026-02-23,firm_1_domain,29,82,355.0,0,0,0,0
2026-02-23,ext_domain_3,19,73,94.4,0,0,0,0
2026-02-23,ext_domain_6,10,10,4.0,0,1,1,2762
2026-02-23,firm_2_domain,14,47,0.0,0,0,0,0
2026-02-23,firm_10_domain,10,20,0.0,0,0,0,0
2025-08-04,ext_domain_1,38,417,430.1,0,2,2,3954
2025-08-04,firm_9_domain,42,180,1814.8,36,1,2,793
2025-08-04,ext_domain_2,16,56,23.0,0,1,1,23831
2025-08-04,firm_1_domain,2,2,0.0,0,0,0,0
2025-08-04,ext_domain_3,17,83,60.0,0,1,1,31
2025-08-04,ext_domain_8,2,2,0.0,0,0,0,0
2025-08-04,firm_12_domain,11,65,0.0,0,0,0,0
2025-08-04,firm_3_domain,24,135,286.0,0,1,1,9754
2025-08-11,ext_domain_1,101,12620,2036.0,162,7,24,346841
2025-08-11,firm_9_domain,64,764,2037.0,21,3,3,1060
2025-08-11,ext_domain_2,89,3815,1658.9,9,7,11,406212
2025-08-11,ext_domain_5,40,232,881.0,0,4,4,5356
2025-08-11,firm_1_domain,101,6835,2993.0,172,6,13,118966
2025-08-11,ext_domain_3,78,2494,301.0,153,4,8,84611
2025-08-11,ext_domain_6,52,551,363.2,0,4,4,28598
2025-08-11,firm_2_domain,29,236,88.2,0,2,2,7099
2025-08-11,ext_domain_7,31,247,526.4,0,3,3,19078
2025-08-11,ext_domain_8,2,10,0.0,0,0,0,0
2025-08-11,firm_12_domain,3,17,0.0,0,0,0,0
2025-08-11,firm_10_domain,56,1486,545.7,0,1,1,1309
2025-08-11,firm_3_domain,68,5291,831.0,16,5,8,112518
2025-08-11,ext_domain_10,21,201,0.0,2,0,0,0
2025-08-11,ext_domain_4,64,1300,260.3,259,4,4,9168
2025-08-18,ext_domain_1,91,10181,1235.0,113,6,19,224108
2025-08-18,firm_9_domain,70,1189,193.0,9,3,3,8591
2025-08-18,ext_domain_2,63,3210,943.3,6,4,5,247801
2025-08-18,ext_domain_5,38,296,765.7,0,3,3,24455
2025-08-18,firm_1_domain,101,10214,3182.0,140,6,38,443907
2025-08-18,ext_domain_3,51,1338,412.0,0,4,5,21803
2025-08-18,ext_domain_6,33,524,1467.5,0,2,2,35827
2025-08-18,firm_6_domain,39,2051,311.0,0,1,1,6964
2025-08-18,ext_domain_11,2,2,0.0,0,0,0,0
2025-08-18,firm_2_domain,39,472,966.2,0,3,3,40087
2025-08-18,ext_domain_7,31,291,381.6,0,3,3,23585
2025-08-18,ext_domain_8,3,15,0.0,0,0,0,0
2025-08-18,firm_12_domain,3,3,0.0,0,0,0,0
2025-08-18,firm_10_domain,13,87,0.0,0,0,0,0
2025-08-18,ext_domain_9,2,2,0.0,0,0,0,0
2025-08-18,firm_3_domain,64,3406,913.1,0,5,7,55981
2025-08-18,ext_domain_10,10,106,0.0,0,0,0,0
2025-08-18,ext_domain_4,30,279,346.0,101,1,1,338
2025-08-25,ext_domain_1,86,6865,1254.0,19,6,21,117313
2025-08-25,firm_9_domain,41,272,1009.8,12,2,2,13929
2025-08-25,ext_domain_2,64,1457,578.0,19,3,4,39778
2025-08-25,ext_domain_5,55,3727,802.0,0,4,7,43160
2025-08-25,firm_1_domain,88,5490,1443.0,49,6,19,178653
2025-08-25,ext_domain_3,77,3333,918.0,60,5,10,127135
2025-08-25,ext_domain_6,40,2241,834.9,0,7,8,137355
2025-08-25,firm_6_domain,28,231,141.6,0,1,1,17375
2025-08-25,ext_domain_12,2,2,0.0,0,0,0,0
2025-08-25,firm_2_domain,45,643,214.0,0,1,1,14904
2025-08-25,ext_domain_7,35,431,1340.4,0,3,3,39021
2025-08-25,firm_10_domain,28,203,555.0,0,0,0,0
2025-08-25,firm_3_domain,58,4494,259.0,0,5,12,39890
2025-08-25,ext_domain_10,9,57,0.0,0,0,0,0
2025-08-25,ext_domain_4,27,203,147.0,79,1,1,136
2025-09-01,ext_domain_1,80,7394,964.0,0,6,18,229450
2025-09-01,firm_9_domain,41,238,32.9,0,2,2,8734
2025-09-01,ext_domain_2,63,1432,1325.6,72,5,8,215707
2025-09-01,ext_domain_5,71,3736,1409.0,125,2,4,37462
2025-09-01,firm_1_domain,67,3595,986.0,19,3,4,36328
2025-09-01,ext_domain_3,76,5134,1038.0,33,4,12,149513
2025-09-01,ext_domain_6,4,7,0.0,0,0,0,0
2025-09-01,firm_6_domain,16,110,868.0,0,1,1,7530
2025-09-01,firm_2_domain,29,367,513.9,0,2,2,15578
2025-09-01,ext_domain_7,3,6,0.0,0,0,0,0
2025-09-01,ext_domain_8,2,12,0.0,0,0,0,0
2025-09-01,firm_12_domain,15,40,3.0,0,1,1,3359
2025-09-01,firm_10_domain,8,33,0.0,0,0,0,0
2025-09-01,firm_3_domain,63,4107,569.0,0,4,10,52249
2025-09-01,ext_domain_10,13,192,0.0,0,0,0,0
2025-09-01,ext_domain_4,63,1306,211.0,469,5,5,6256
2025-09-08,firm_11_domain,2,2,0.0,0,0,0,0
2025-09-08,ext_domain_1,88,10198,1540.0,106,6,19,299158
2025-09-08,firm_9_domain,46,389,696.8,0,3,3,53945
2025-09-08,ext_domain_2,58,1609,420.3,8,5,5,59302
2025-09-08,ext_domain_5,40,1264,183.0,0,3,3,24309
2025-09-08,firm_1_domain,81,5011,1446.0,0,7,11,256110
2025-09-08,ext_domain_3,51,894,1498.0,0,4,6,22462
2025-09-08,ext_domain_6,36,1219,1028.6,0,6,6,111809
2025-09-08,firm_2_domain,32,146,2354.6,0,1,1,1495
2025-09-08,ext_domain_7,26,67,512.2,0,1,1,6030
2025-09-08,ext_domain_8,19,34,131.5,8,0,0,0
2025-09-08,firm_12_domain,17,42,7.0,0,0,0,0
2025-09-08,firm_8_domain,41,375,123.3,0,2,2,14718
2025-09-08,firm_10_domain,5,9,0.0,0,0,0,0
2025-09-08,firm_3_domain,78,5317,1176.0,11,5,10,113360
2025-09-08,ext_domain_10,9,58,0.0,0,0,0,0
2025-09-08,ext_domain_4,59,3128,1106.0,13,4,4,219352
2025-09-15,firm_11_domain,28,212,39.0,0,0,0,0
2025-09-15,ext_domain_1,90,8119,775.0,1,6,19,111301
2025-09-15,firm_9_domain,44,869,1047.8,0,4,6,97985
2025-09-15,ext_domain_2,89,5982,3343.4,9,6,10,406968
2025-09-15,ext_domain_5,38,447,503.4,0,3,3,7493
2025-09-15,firm_5_domain,13,26,0.0,0,0,0,0
2025-09-15,firm_1_domain,80,4445,555.0,0,6,15,153474
2025-09-15,ext_domain_3,73,3043,1145.0,8,5,15,185995
2025-09-15,ext_domain_6,38,752,566.3,0,3,3,60875
2025-09-15,firm_4_domain,64,788,2449.9,143,1,1,5845
2025-09-15,firm_2_domain,76,3941,482.0,16,3,7,72544
2025-09-15,ext_domain_7,37,375,1332.1,0,5,5,35193
2025-09-15,firm_8_domain,26,195,2101.3,0,1,1,938
2025-09-15,firm_10_domain,21,164,0.0,0,0,0,0
2025-09-15,firm_3_domain,69,2253,320.0,1,5,7,39817
2025-09-15,ext_domain_10,9,104,0.0,0,0,0,0
2025-09-15,ext_domain_4,68,1970,2434.0,138,6,6,227709
2025-09-22,ext_domain_1,97,11645,961.0,47,7,20,191946
2025-09-22,firm_9_domain,42,710,1693.0,0,2,2,1838
2025-09-22,ext_domain_2,59,928,378.8,46,4,5,28591
2025-09-22,ext_domain_5,60,794,564.8,1,6,9,100945
2025-09-22,firm_1_domain,69,4657,2169.0,4,2,3,24633
2025-09-22,ext_domain_3,87,6678,1710.0,45,5,16,289059
2025-09-22,ext_domain_6,26,327,554.5,0,2,2,21053
2025-09-22,firm_6_domain,15,60,0.0,0,0,0,0
2025-09-22,firm_2_domain,68,3502,1077.0,1,4,11,57924
2025-09-22,ext_domain_7,60,1751,421.0,0,6,9,73699
2025-09-22,firm_8_domain,25,187,724.3,0,1,1,2022
2025-09-22,firm_10_domain,20,203,0.0,0,0,0,0
2025-09-22,ext_domain_9,4,6,0.0,0,0,0,0
2025-09-22,firm_3_domain,57,1845,1125.0,0,5,8,45262
2025-09-22,ext_domain_10,6,21,0.0,0,0,0,0
2025-09-22,ext_domain_4,63,4576,625.0,0,5,6,175432
2025-09-29,ext_domain_1,83,11908,1255.0,0,5,24,345342
2025-09-29,firm_9_domain,38,85,763.0,17,1,1,14904
2025-09-29,ext_domain_2,75,1961,988.5,6,2,3,137225
2025-09-29,ext_domain_5,40,401,237.4,0,2,2,9140
2025-09-29,firm_5_domain,19,30,624.3,0,0,0,0
2025-09-29,firm_1_domain,72,4062,615.0,10,3,3,51642
2025-09-29,ext_domain_3,66,2636,552.0,0,6,12,388878
2025-09-29,ext_domain_6,24,453,53.0,0,2,2,53345
2025-09-29,firm_6_domain,40,178,463.1,1,2,2,2368
2025-09-29,firm_2_domain,92,5600,1619.0,20,7,11,72490
2025-09-29,ext_domain_7,48,746,1584.9,3,4,4,50356
2025-09-29,firm_8_domain,35,317,780.0,0,1,1,780
2025-09-29,firm_10_domain,31,360,91.0,0,0,0,0
2025-09-29,firm_3_domain,55,2386,216.0,0,5,7,30358
2025-09-29,ext_domain_10,8,120,0.0,0,0,0,0
2025-09-29,ext_domain_4,47,272,415.0,1,1,1,21259
2025-10-06,firm_11_domain,3,3,0.0,0,0,0,0
2025-10-06,ext_domain_1,104,14024,2433.0,13,7,30,336481
2025-10-06,ext_domain_2,93,3929,402.0,35,5,8,245592
2025-10-06,ext_domain_5,46,1004,599.8,0,3,5,86255
2025-10-06,firm_5_domain,15,58,448.2,0,0,0,0
2025-10-06,firm_1_domain,59,4852,900.0,5,2,2,53957
2025-10-06,ext_domain_3,82,5216,1695.0,15,6,11,312960
2025-10-06,ext_domain_6,43,1165,169.0,0,4,5,84297
2025-10-06,firm_4_domain,52,928,1915.0,11,1,2,839
2025-10-06,firm_2_domain,62,2051,197.0,0,3,5,17672
2025-10-06,ext_domain_7,49,1795,1265.0,0,5,8,84590
2025-10-06,firm_12_domain,3,5,0.0,0,0,0,0
2025-10-06,firm_8_domain,9,27,0.0,0,0,0,0
2025-10-06,firm_10_domain,25,235,1187.0,0,0,0,0
2025-10-06,firm_3_domain,50,284,513.0,0,3,3,10856
2025-10-06,ext_domain_10,7,64,0.0,0,0,0,0
2025-10-06,ext_domain_4,70,5348,2936.0,0,5,6,247601
2025-10-13,ext_domain_1,88,14700,1717.0,1,7,26,296881
2025-10-13,firm_9_domain,51,414,408.1,0,2,2,3091
2025-10-13,ext_domain_2,69,1020,1478.5,0,3,3,16115
2025-10-13,ext_domain_5,42,436,598.4,0,4,4,31746
2025-10-13,firm_5_domain,25,94,518.0,0,0,0,0
2025-10-13,firm_1_domain,59,6352,755.0,0,2,2,31948
2025-10-13,ext_domain_3,80,3849,295.0,0,5,11,169759
2025-10-13,ext_domain_6,15,33,8.0,5,0,0,0
2025-10-13,firm_6_domain,22,194,2.0,0,1,1,3132
2025-10-13,firm_2_domain,55,3935,343.0,0,5,5,78375
2025-10-13,ext_domain_7,46,1006,99.0,0,4,5,62170
2025-10-13,firm_12_domain,16,24,0.0,0,0,0,0
2025-10-13,firm_10_domain,6,107,0.0,0,0,0,0
2025-10-13,firm_3_domain,46,2361,235.0,0,5,5,47719
2025-10-13,ext_domain_4,71,5686,670.0,1,3,4,164394
2025-10-20,ext_domain_1,97,12461,1914.0,0,6,30,255232
2025-10-20,firm_9_domain,40,685,706.0,0,1,1,14849
2025-10-20,ext_domain_2,84,6836,1350.0,0,5,7,267847
2025-10-20,ext_domain_5,38,496,1160.5,0,5,5,26789
2025-10-20,firm_1_domain,66,4627,341.0,0,4,6,33510
2025-10-20,ext_domain_3,95,4672,1818.0,18,6,20,300551
2025-10-20,ext_domain_6,38,421,410.8,0,1,1,31178
2025-10-20,firm_2_domain,72,2122,758.9,0,3,5,5806
2025-10-20,ext_domain_7,60,3560,462.0,1,5,8,57531
2025-10-20,firm_12_domain,43,152,926.3,7,2,2,312
2025-10-20,firm_10_domain,17,46,0.0,0,0,0,0
2025-10-20,firm_3_domain,47,204,1361.9,5,3,4,2571
2025-10-20,ext_domain_10,16,280,0.0,0,0,0,0
2025-10-20,ext_domain_4,65,6405,1355.0,5,5,7,232319
2025-10-27,ext_domain_1,100,14700,949.0,5,6,26,213455
2025-10-27,firm_9_domain,59,825,244.0,1,1,1,2906
2025-10-27,ext_domain_2,118,6481,621.0,26,5,8,144507
2025-10-27,ext_domain_5,30,351,507.2,0,1,1,2055
2025-10-27,firm_5_domain,35,115,1125.5,0,0,0,0
2025-10-27,firm_1_domain,79,6066,1010.0,1,4,7,53357
2025-10-27,ext_domain_3,86,7374,684.0,11,7,16,308422
2025-10-27,ext_domain_6,56,1690,580.0,0,3,4,55347
2025-10-27,firm_2_domain,55,1949,556.7,0,6,8,24083
2025-10-27,ext_domain_7,47,575,688.4,0,3,3,18038
2025-10-27,firm_12_domain,37,168,787.9,0,1,1,2743
2025-10-27,firm_10_domain,42,910,268.0,0,1,1,1919
2025-10-27,firm_3_domain,40,355,472.7,0,3,3,6981
2025-10-27,ext_domain_10,7,17,0.0,0,0,0,0
2025-10-27,ext_domain_4,50,333,971.0,2,3,3,15607
2025-11-03,ext_domain_1,111,11260,1783.0,11,6,25,224140
2025-11-03,firm_9_domain,94,4181,441.0,17,6,10,65131
2025-11-03,ext_domain_2,91,6754,1171.0,19,5,9,309196
2025-11-03,ext_domain_5,36,191,1.0,1,1,1,1027
2025-11-03,firm_1_domain,78,7827,1272.0,0,5,7,99125
2025-11-03,ext_domain_3,110,8571,2003.0,37,6,13,444027
2025-11-03,ext_domain_6,58,1107,1404.3,9,5,6,65727
2025-11-03,firm_2_domain,47,1708,1840.7,0,3,3,20819
2025-11-03,ext_domain_7,48,1312,213.4,0,5,5,36422
2025-11-03,firm_8_domain,46,421,188.9,0,0,0,0
2025-11-03,firm_10_domain,23,113,0.0,0,0,0,0
2025-11-03,firm_3_domain,62,3807,701.0,3,5,5,43920
2025-11-03,ext_domain_10,3,3,0.0,0,0,0,0
2025-11-03,ext_domain_4,90,6420,1617.0,31,7,9,392022
2025-11-10,ext_domain_1,105,9241,2349.0,1,7,35,515262
2025-11-10,firm_9_domain,67,1126,3353.4,0,4,5,7933
2025-11-10,ext_domain_2,54,1442,268.4,0,5,6,119005
2025-11-10,ext_domain_5,2,2,0.0,0,0,0,0
2025-11-10,firm_5_domain,21,69,0.0,0,0,0,0
2025-11-10,firm_1_domain,69,4237,558.0,1,3,4,43054
2025-11-10,ext_domain_3,105,6892,1500.0,44,6,21,413049
2025-11-10,ext_domain_6,43,1497,202.0,0,3,3,14459
2025-11-10,firm_2_domain,52,705,845.3,0,3,3,11634
2025-11-10,ext_domain_7,41,636,84.0,0,3,3,39452
2025-11-10,ext_domain_8,1,1,0.0,0,0,0,0
2025-11-10,firm_12_domain,50,797,929.5,1,2,2,26839
2025-11-10,firm_8_domain,56,822,987.0,1,3,3,11476
2025-11-10,firm_10_domain,36,623,1023.2,0,1,1,9681
2025-11-10,firm_3_domain,45,259,136.3,0,1,1,1333
2025-11-10,ext_domain_10,12,164,0.0,0,0,0,0
2025-11-10,ext_domain_4,72,4117,612.0,13,6,7,306046
2025-11-17,ext_domain_1,93,7310,2236.0,1,6,38,575374
2025-11-17,firm_9_domain,48,999,227.0,0,3,3,36405
2025-11-17,ext_domain_2,66,3427,1064.1,0,6,8,80683
2025-11-17,ext_domain_5,34,428,819.2,0,2,2,26660
2025-11-17,firm_1_domain,86,6233,1295.0,10,4,7,76784
2025-11-17,ext_domain_3,98,7156,1550.0,8,6,17,574703
2025-11-17,ext_domain_6,28,260,108.0,1,2,2,23018
2025-11-17,firm_2_domain,63,1150,873.9,1,2,2,6550
2025-11-17,ext_domain_7,30,132,6.0,0,1,1,5406
2025-11-17,firm_12_domain,3,4,0.0,0,0,0,0
2025-11-17,firm_8_domain,4,64,0.0,0,0,0,0
2025-11-17,firm_10_domain,8,146,0.0,0,0,0,0
2025-11-17,firm_3_domain,37,138,42.3,0,1,1,7264
2025-11-17,ext_domain_10,8,55,0.0,0,0,0,0
2025-11-17,ext_domain_4,74,3564,340.0,1,7,10,193672
2025-11-24,ext_domain_1,95,5012,1932.3,9,6,21,501835
2025-11-24,firm_9_domain,55,829,396.6,1,4,8,38818
2025-11-24,ext_domain_2,51,2008,439.1,0,2,5,55341
2025-11-24,ext_domain_5,71,4690,1175.0,0,4,4,82451
2025-11-24,firm_5_domain,15,123,0.0,0,0,0,0
2025-11-24,firm_1_domain,89,4760,1479.0,3,6,15,170251
2025-11-24,ext_domain_3,82,4586,1697.2,13,5,14,331611
2025-11-24,ext_domain_6,43,354,935.5,0,3,3,31913
2025-11-24,firm_2_domain,49,1045,1062.1,0,2,2,5243
2025-11-24,ext_domain_7,1,1,0.0,0,0,0,0
2025-11-24,firm_10_domain,6,211,0.0,0,0,0,0
2025-11-24,firm_3_domain,29,180,2408.3,0,1,1,750
2025-11-24,ext_domain_10,23,268,2083.6,0,0,0,0
2025-11-24,ext_domain_4,61,1525,1607.6,0,2,3,96576
2025-12-01,ext_domain_1,108,9233,1888.0,8,7,27,745833
2025-12-01,firm_9_domain,50,385,2379.4,0,1,1,937
2025-12-01,ext_domain_2,108,9446,2931.0,12,6,11,308226
2025-12-01,ext_domain_5,59,2294,341.0,0,5,6,71554
2025-12-01,firm_1_domain,105,9581,1218.0,6,5,17,153433
2025-12-01,ext_domain_3,95,5769,1786.0,48,5,20,475721
2025-12-01,ext_domain_6,28,243,48.0,0,1,1,24898
2025-12-01,firm_2_domain,80,2468,601.0,1,4,4,11042
2025-12-01,ext_domain_7,57,1649,294.0,2,5,5,80835
2025-12-01,firm_12_domain,4,8,0.0,0,0,0,0
2025-12-01,firm_10_domain,7,143,0.0,0,0,0,0
2025-12-01,firm_3_domain,46,771,256.0,3,2,2,5712
2025-12-01,ext_domain_4,65,1506,331.0,1,4,5,86861
2025-12-08,ext_domain_1,108,7296,2067.0,13,7,35,636540
2025-12-08,firm_9_domain,33,1050,1387.7,0,3,3,2911
2025-12-08,ext_domain_2,87,4424,1886.0,21,6,13,226896
2025-12-08,ext_domain_5,46,401,572.7,2,1,1,10411
2025-12-08,firm_5_domain,4,4,0.0,0,0,0,0
2025-12-08,firm_1_domain,86,7924,1335.0,0,5,14,307691
2025-12-08,ext_domain_3,103,6963,2756.0,28,6,20,320876
2025-12-08,ext_domain_6,25,281,36.0,0,2,2,18705
2025-12-08,firm_6_domain,5,12,0.0,0,0,0,0
2025-12-08,firm_2_domain,49,1336,796.7,2,4,5,14279
2025-12-08,ext_domain_7,41,425,1028.6,0,2,3,26401
2025-12-08,ext_domain_8,7,12,0.0,1,0,0,0
2025-12-08,firm_12_domain,36,147,1151.1,0,1,1,33907
2025-12-08,firm_10_domain,35,340,243.4,1,0,0,0
2025-12-08,ext_domain_10,9,28,0.0,0,0,0,0
2025-12-08,ext_domain_4,56,2514,715.0,0,6,7,312023
2025-12-15,ext_domain_1,108,7092,2330.0,20,7,33,817837
2025-12-15,firm_9_domain,69,5628,1867.0,3,4,4,12071
2025-12-15,ext_domain_2,72,2061,741.2,0,3,5,109508
2025-12-15,ext_domain_5,37,382,957.2,0,1,1,84127
2025-12-15,firm_1_domain,92,5545,926.0,7,5,8,147819
2025-12-15,ext_domain_3,81,6312,1835.6,40,6,13,146995
2025-12-15,ext_domain_6,46,2096,317.0,0,3,4,47089
2025-12-15,firm_6_domain,43,89,65.0,22,1,1,26
2025-12-15,firm_4_domain,27,58,58.0,1,1,1,22
2025-12-15,firm_2_domain,60,3007,1809.0,9,2,2,12972
2025-12-15,ext_domain_7,39,543,188.0,0,4,5,28533
2025-12-15,firm_8_domain,40,1280,1262.2,0,1,1,283
2025-12-15,firm_10_domain,18,80,0.0,0,0,0,0
2025-12-15,ext_domain_10,11,32,0.0,0,0,0,0
2025-12-15,ext_domain_4,51,1840,320.0,0,4,6,134036
2025-12-22,ext_domain_1,76,10609,1757.4,1,7,16,355156
2025-12-22,firm_9_domain,44,356,1127.3,0,2,2,7373
2025-12-22,ext_domain_2,40,558,326.4,0,2,2,56444
2025-12-22,ext_domain_5,60,1007,941.9,9,5,6,80869
2025-12-22,firm_1_domain,63,5138,628.0,0,4,4,92156
2025-12-22,ext_domain_3,75,3097,451.0,1,4,6,143853
2025-12-22,ext_domain_6,29,572,888.1,0,2,3,27790
2025-12-22,firm_4_domain,84,6595,769.0,7,3,3,21705
2025-12-22,firm_2_domain,59,1619,360.0,0,2,2,67839
2025-12-22,ext_domain_7,41,439,403.0,0,3,4,2367
2025-12-22,firm_3_domain,10,20,0.0,0,0,0,0
2025-12-22,ext_domain_4,50,1809,492.0,1,5,7,206152
2025-12-29,ext_domain_1,64,3125,1137.0,0,4,10,143659
2025-12-29,firm_9_domain,44,259,204.8,0,1,2,22605
2025-12-29,ext_domain_2,77,5195,1124.0,18,4,6,259723
2025-12-29,ext_domain_5,31,233,80.0,0,2,2,40671
2025-12-29,firm_1_domain,78,2643,1124.0,14,3,6,122633
2025-12-29,ext_domain_3,75,4836,2525.0,11,4,8,181553
2025-12-29,ext_domain_6,33,331,1168.3,0,2,2,25806
2025-12-29,firm_4_domain,32,434,1527.3,0,1,1,6694
