smiles	Name	sa_score
OCC(O)COc1ccc(Cl)cc1	ZINC00000135	2.102
NC(=O)NC(=O)C(Cl)c1ccccc1	ZINC00000134	2.455
OC(c1ccccc1)(c1ccccc1)C1C[NH+]2CCC1CC2	ZINC01298963	4.530
C[NH2+]CC(C)c1ccccc1	ZINC04298801	3.471
Clc1cccc(Cl)c1N=C1NCCO1	ZINC13835972	3.267
[NH3+]C(Cc1ccccc1)C(=O)CCl	ZINC02504633	3.251
CC(C)Cn1cnc2c1c1ccccc1nc2N	ZINC19632912	2.230
CC(O)CN(C)c1ccc(NN)nn1	ZINC00000624	3.193
CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21C	ZINC00001727	4.461
CCC(C(=O)[O-])c1ccc(-c2ccccc2)cc1	ZINC00000111	2.505
CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O	ZINC03830255	3.832
CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O	ZINC03830256	3.832
Cn1cc(C(=O)c2cccc3ccccc32)cc1C(=O)[O-]	ZINC00001783	2.456
CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O	ZINC03830257	3.832
Cc1cccc(-c2nc3ccccc3c(Nc3ccc4[nH]ncc4c3)n2)n1	ZINC39279791	2.358
O=C([O-])C1CC2CCCCC2[NH2+]1	ZINC04899687	5.422
CC(=O)OCC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	ZINC00538219	4.187
O=C([O-])C1CC2CCCCC2[NH2+]1	ZINC04899686	5.422
O=C(OCc1ccccc1)C(O)c1ccccc1	ZINC00000078	2.038
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C	ZINC00608041	4.394
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	ZINC02570895	2.144
COCc1cccc(CC(O)C=CC2C(O)CC(=O)C2CCSCCCC(=O)OC)c1	ZINC03940680	3.934
CCC(=O)N(c1ccccc1)C1CC[NH+](C(C)Cc2ccccc2)CC1	ZINC01664586	3.582
CCC(=O)N(c1ccccc1)C1CC[NH+](C(C)Cc2ccccc2)CC1	ZINC01664587	3.582
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2	ZINC19340795	2.446
O=C([O-])Cc1cc(=O)[nH]c(=O)[nH]1	ZINC00403617	3.258
NC(=O)C([NH3+])Cc1c[nH]c2ccccc12	ZINC04899521	3.224
NC(=O)C([NH3+])Cc1ccc(O)cc1	ZINC04899513	3.280
O=C(c1cc2ccccc2o1)N1CCN(Cc2ccccc2)CC1	ZINC19632922	1.799
O=C(CO)C(O)C(O)CO	ZINC00902219	3.473
CC(Cc1ccccc1)NC(=O)C([NH3+])CCCC[NH3+]	ZINC11680943	3.967
C[NH+]1CCC(c2c(O)cc(=O)c3c(O)cc(-c4ccccc4Cl)oc2-3)C(O)C1	ZINC05966679	4.616
CN(C)c1ccc(O)c2c1CC1CC3C([NH+](C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O	ZINC04019704	4.713
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C	ZINC03650334	3.791
C[NH+]1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2	ZINC18130447	4.892
Cc1ccccc1NC(=O)C(C)[NH+]1CCCC1	ZINC00000051	3.809
O=S(=O)([O-])CCN1CCOCC1	ZINC19419111	2.776
C[NH+]1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1	ZINC19632927	3.379
CCCCCC=CCC=CCCCCCCCC(=O)[O-]	ZINC03802188	2.805
CC(CC([NH3+])C(=O)[O-])C(=O)[O-]	ZINC01747048	5.690
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(O)=C(C(N)=O)C(=O)C([NH+](C)C)C3C(O)C21	ZINC04019706	5.069
Cc1cc2nc3nc([O-])[nH]c(=O)c3nc2cc1C	ZINC12446789	3.079
CC1=CC(C)C2(CO)COC(c3ccc(O)cc3)C1C2C	ZINC38190856	4.749
CC[NH+]1CCC(=C2c3ccccc3CCc3ccccc32)C1C	ZINC02020004	3.925
