3루	3 루
선원	선 원
부침개	부 침 개
멜라닌	멜 라 닌
갸웃	갸 웃
연맹	연 맹
브라키오사우루스	브 라 키 오 사 우 루 스
분자동역학	분 자 동 역 학
계명	계 명
오미크론	오 미 크 론
갓난아기	갓 난 아 기
투표함	투 표 함
번지다	번 지 다
鬂	鬂
기울다	기 울 다
번역가	번 역 가
낼래	낼 래
반추	반 추
사회주의	사 회 주 의
놀라다	놀 라 다
재밌다	재 밌 다
수라간	수 라 간
곰작곰작	곰 작 곰 작
영예	영 예
퍄	퍄
-되	- 되
낱자	낱 자
어버이	어 버 이
차르	차 르
길차다	길 차 다
공식어	공 식 어
노면전차	노 면 전 차
아무튼	아 무 튼
니케아	니 케 아
수증기	수 증 기
상견례	상 견 례
면역학	면 역 학
한중	한 중
외무	외 무
똠얌	똠 얌
청천벽력	청 천 벽 력
일인칭	일 인 칭
통상적	통 상 적
붐비다	붐 비 다
랜섬웨어	랜 섬 웨 어
실험실	실 험 실
연휴	연 휴
그지	그 지
-자마자	- 자 마 자
조타	조 타
동원령	동 원 령
광야	광 야
곡셱	곡 셱
도마뱀	도 마 뱀
둥글다	둥 글 다
교의	교 의
황복	황 복
음어	음 어
조리사	조 리 사
대하소설	대 하 소 설
간질대다	간 질 대 다
퓨란	퓨 란
추억	추 억
五萬	五 萬
만루	만 루
제대	제 대
께끈하다	께 끈 하 다
빗속	빗 속
쇼핑하다	쇼 핑 하 다
비치다	비 치 다
예명	예 명
젖통	젖 통
투먼	투 먼
매독	매 독
옥중	옥 중
가벼워지다	가 벼 워 지 다
묘포	묘 포
한눈	한 눈
내측광근	내 측 광 근
찌릿하다	찌 릿 하 다
주사기	주 사 기
파스닙	파 스 닙
엿듣다	엿 듣 다
대화방	대 화 방
팔뚝	팔 뚝
테크네튬	테 크 네 튬
수박색	수 박 색
工作員	工 作 員
끄다	끄 다
실패	실 패
세뇌	세 뇌
영사하다	영 사 하 다
거부감	거 부 감
이윽고	이 윽 고
나발니	나 발 니
休日	休 日
錪	錪
연습장	연 습 장
애완묘	애 완 묘
주모자	주 모 자
미니스커트	미 니 스 커 트
지형학	지 형 학
풍물놀이	풍 물 놀 이
맘카페	맘 카 페
유가	유 가
경이롭다	경 이 롭 다
뭍	뭍
요절	요 절
한기	한 기
살살하다	살 살 하 다
중자	중 자
우주인	우 주 인
조림	조 림
더위팔기	더 위 팔 기
통솔자	통 솔 자
大統領令	大 統 領 令
-습니다	- 습 니 다
스풀	스 풀
고두하다	고 두 하 다
꿈적꿈적	꿈 적 꿈 적
두드러지다	두 드 러 지 다
골무	골 무
잠자코	잠 자 코
단종되다	단 종 되 다
병음	병 음
기척	기 척
적절히	적 절 히
활개	활 개
신시아	신 시 아
판정	판 정
끄스다	끄 스 다
암페어	암 페 어
단순어	단 순 어
-우-	- 우 -
에터	에 터
태	태
近親相姦	近 親 相 姦
지팡이	지 팡 이
짧은부리참돌고래	짧 은 부 리 참 돌 고 래
키스하다	키 스 하 다
먹킹이	먹 킹 이
범고래	범 고 래
식빵	식 빵
지각자	지 각 자
양국	양 국
사내아이	사 내 아 이
기별	기 별
아유르베다	아 유 르 베 다
관음	관 음
전리품	전 리 품
함대	함 대
관료제	관 료 제
부착되다	부 착 되 다
곰국	곰 국
억류	억 류
건드리다	건 드 리 다
익숙하다	익 숙 하 다
구경	구 경
남극해	남 극 해
가꾸가다	가 꾸 가 다
하구	하 구
退院	退 院
토마스	토 마 스
연흔	연 흔
흑기사	흑 기 사
위훈	위 훈
국유화	국 유 화
갈증	갈 증
목수	목 수
응원하다	응 원 하 다
마팔디네	마 팔 디 네
㴍	㴍
-으옵-	- 으 옵 -
네꾸다이	네 꾸 다 이
장군석	장 군 석
頂板	頂 板
秘匿	秘 匿
찾아가다	찾 아 가 다
포사삭	포 사 삭
ᇚ	ᇚ
가리개	가 리 개
야수선택	야 수 선 택
불량배	불 량 배
劫迫	劫 迫
현대	현 대
중매인	중 매 인
텔레비전	텔 레 비 전
볼링	볼 링
젓갈	젓 갈
앉다	앉 다
㴻	㴻
놋쇠	놋 쇠
이부자리	이 부 자 리
공개하다	공 개 하 다
用紙	用 紙
삼초	삼 초
逃去	逃 去
삼일	삼 일
관풍금	관 풍 금
논란	논 란
육각수	육 각 수
남한	남 한
몰매	몰 매
세탁하다	세 탁 하 다
운동하다	운 동 하 다
돌솥	돌 솥
아리스토텔레스	아 리 스 토 텔 레 스
색경	색 경
글고	글 고
투르크	투 르 크
마시다	마 시 다
폭로	폭 로
野球場	野 球 場
잔혹	잔 혹
배수관	배 수 관
가는돌고기	가 는 돌 고 기
連立	連 立
汽車驛	汽 車 驛
긷다	긷 다
미싱	미 싱
신성하다	신 성 하 다
종달새	종 달 새
벌끈	벌 끈
샘터	샘 터
애수	애 수
여적지	여 적 지
핸드볼	핸 드 볼
낙천주의	낙 천 주 의
할라페뇨	할 라 페 뇨
-는	- 는
회전목마	회 전 목 마
와가두구	와 가 두 구
파리채	파 리 채
애무하다	애 무 하 다
쌍동이	쌍 동 이
신경전달물질	신 경 전 달 물 질
초콜렛	초 콜 렛
입향순속	입 향 순 속
위상수학	위 상 수 학
갈고	갈 고
숙제	숙 제
반려조	반 려 조
너도밤나무	너 도 밤 나 무
지구라트	지 구 라 트
메인트	메 인 트
동기	동 기
파이즈리	파 이 즈 리
씁쓸하다	씁 쓸 하 다
소돔사과	소 돔 사 과
拙吟	拙 吟
아베크	아 베 크
유인원	유 인 원
폐	폐
임진강	임 진 강
인촨	인 촨
존중하다	존 중 하 다
털	털
들소	들 소
수집하다	수 집 하 다
훑다	훑 다
까치복	까 치 복
백경	백 경
미어지다	미 어 지 다
교전	교 전
토이기어	토 이 기 어
식물학	식 물 학
에티켓	에 티 켓
갈아대다	갈 아 대 다
루비듐	루 비 듐
국면	국 면
접미어	접 미 어
매도하다	매 도 하 다
정답다	정 답 다
지라	지 라
도배	도 배
총알열차	총 알 열 차
자명금	자 명 금
게니자	게 니 자
뻐석	뻐 석
흩날다	흩 날 다
공생	공 생
사진첩	사 진 첩
풀다	풀 다
일거일동	일 거 일 동
터부시되다	터 부 시 되 다
예언하다	예 언 하 다
디	디
지리학	지 리 학
懷中日記	懷 中 日 記
-으니께니	- 으 니 께 니
쬐다	쬐 다
서브컬처	서 브 컬 처
얄궂다	얄 궂 다
집권당	집 권 당
공폭	공 폭
응징하다	응 징 하 다
작품집	작 품 집
쟁기질하다	쟁 기 질 하 다
부지깽이	부 지 깽 이
카나다	카 나 다
로씨야인	로 씨 야 인
의생	의 생
-댓-	- 댓 -
나리	나 리
세배	세 배
야구	야 구
출가	출 가
사과나무	사 과 나 무
복습하다	복 습 하 다
䃐	䃐
세바스토폴	세 바 스 토 폴
선언	선 언
가얏고	가 얏 고
청동	청 동
오스뮴	오 스 뮴
전근	전 근
의학	의 학
데불다	데 불 다
時限爆彈	時 限 爆 彈
연봉	연 봉
성실	성 실
옥문	옥 문
영한	영 한
거름	거 름
지배인	지 배 인
송자	송 자
가주	가 주
지칭하다	지 칭 하 다
그만큼	그 만 큼
발정	발 정
댄스	댄 스
활력	활 력
식순	식 순
지슬	지 슬
男性語	男 性 語
테헤란	테 헤 란
특별히	특 별 히
모양	모 양
새홀리기	새 홀 리 기
설하다	설 하 다
그러므로	그 러 므 로
위도	위 도
据置臺	据 置 臺
육이오전쟁	육 이 오 전 쟁
폐급	폐 급
십각형	십 각 형
소비하다	소 비 하 다
두레	두 레
당첨	당 첨
모솔	모 솔
카란	카 란
백지	백 지
孤食	孤 食
완소	완 소
외투	외 투
가면극	가 면 극
황새	황 새
검출되다	검 출 되 다
개방되다	개 방 되 다
채팅	채 팅
멸종	멸 종
익살스럽다	익 살 스 럽 다
찻잎	찻 잎
재주	재 주
黨葬	黨 葬
이젠	이 젠
상상력	상 상 력
부사	부 사
대모	대 모
비루스	비 루 스
왜서	왜 서
반짝반짝	반 짝 반 짝
예카테린부르크	예 카 테 린 부 르 크
훑어읽다	훑 어 읽 다
낳다	낳 다
절대영역	절 대 영 역
선명	선 명
마선	마 선
괄약근	괄 약 근
쌍꺼풀	쌍 꺼 풀
近接	近 接
側位	側 位
忌避	忌 避
빠삭	빠 삭
직캠	직 캠
시읏	시 읏
소년	소 년
굼벵이	굼 벵 이
요사군	요 사 군
깃	깃
隊商	隊 商
고레말	고 레 말
흑설탕	흑 설 탕
에스컬레이터	에 스 컬 레 이 터
먹이그물	먹 이 그 물
우렁각시	우 렁 각 시
피알	피 알
양탄자	양 탄 자
萬民法	萬 民 法
構成員	構 成 員
미확인비행물체	미 확 인 비 행 물 체
오가다	오 가 다
호빵	호 빵
프락치	프 락 치
평양	평 양
-시니껴	- 시 니 껴
군	군
하반신	하 반 신
일고여덟	일 고 여 덟
探偵	探 偵
지붕	지 붕
욕조	욕 조
하퇴삼두근	하 퇴 삼 두 근
艀	艀
묵은지	묵 은 지
慶尙南道	慶 尙 南 道
장가	장 가
중문	중 문
자찬	자 찬
흰줄박이오리	흰 줄 박 이 오 리
후난	후 난
용맹하다	용 맹 하 다
합창단	합 창 단
하극상	하 극 상
다운로드	다 운 로 드
醵金	醵 金
화나다	화 나 다
성능	성 능
발끈	발 끈
평안도	평 안 도
내키다	내 키 다
안사람	안 사 람
베오그라드	베 오 그 라 드
知慧	知 慧
바대	바 대
불길	불 길
열쇠글	열 쇠 글
모	모
편린	편 린
격찬하다	격 찬 하 다
잠기다	잠 기 다
적삼	적 삼
경장근	경 장 근
-느니	- 느 니
세르비아	세 르 비 아
짓다	짓 다
체구	체 구
수바	수 바
故意四球	故 意 四 球
분포하다	분 포 하 다
착륙시키다	착 륙 시 키 다
귀순	귀 순
미안하다	미 안 하 다
해지다	해 지 다
벤토	벤 토
부서석	부 서 석
만년필	만 년 필
생식기	생 식 기
도벽	도 벽
동경하다	동 경 하 다
솜사탕	솜 사 탕
제설차	제 설 차
서구	서 구
잠비아	잠 비 아
전문화	전 문 화
敎人	敎 人
부끄러움	부 끄 러 움
잽싸다	잽 싸 다
고객	고 객
쓰딸린	쓰 딸 린
점심	점 심
청순	청 순
모잠비크	모 잠 비 크
電氣綜合樂器	電 氣 綜 合 樂 器
잣	잣
계획하다	계 획 하 다
오등	오 등
모래무지	모 래 무 지
홀	홀
올라가다	올 라 가 다
기마이	기 마 이
통합	통 합
부르주아지	부 르 주 아 지
바라보다	바 라 보 다
특	특
터치패드	터 치 패 드
默考	默 考
휴척	휴 척
큰집박쥐	큰 집 박 쥐
아	아
의존	의 존
켄터키	켄 터 키
가세	가 세
끽연하다	끽 연 하 다
구약성경	구 약 성 경
선입선출	선 입 선 출
검역	검 역
푸서석푸서석	푸 서 석 푸 서 석
쇼어라인	쇼 어 라 인
語學	語 學
먹히다	먹 히 다
페치카	페 치 카
철저하다	철 저 하 다
漕艇	漕 艇
부정부패	부 정 부 패
참패	참 패
뮈슬리	뮈 슬 리
-ㅁ둥	- ㅁ 둥
유효하다	유 효 하 다
어부	어 부
킹	킹
전무이사	전 무 이 사
쇠뇌	쇠 뇌
천성	천 성
와삭바삭	와 삭 바 삭
침략하다	침 략 하 다
승원	승 원
구실잣밤나무	구 실 잣 밤 나 무
바쿠	바 쿠
신교도	신 교 도
비중	비 중
오스트리아-헝가리	오 스 트 리 아 - 헝 가 리
해골	해 골
마수다	마 수 다
굳기름	굳 기 름
꾸물꾸물	꾸 물 꾸 물
염력	염 력
대머리	대 머 리
보이차	보 이 차
회중시계	회 중 시 계
모토	모 토
새끼주머니	새 끼 주 머 니
첫눈	첫 눈
일견	일 견
무지하다	무 지 하 다
뺏다	뺏 다
지병	지 병
簏	簏
판매원	판 매 원
與黨	與 黨
훈가자	훈 가 자
영양실조	영 양 실 조
충충	충 충
노른자	노 른 자
쉐수	쉐 수
구성되다	구 성 되 다
교하질쉬	교 하 질 쉬
線畫	線 畫
주저앉다	주 저 앉 다
십자	십 자
큰겨울잠쥐	큰 겨 울 잠 쥐
폭격기	폭 격 기
인원	인 원
태반	태 반
아나테마	아 나 테 마
퓨라잔	퓨 라 잔
송어	송 어
총영사	총 영 사
누쿠알로파	누 쿠 알 로 파
더럽다	더 럽 다
썰다	썰 다
양봉장	양 봉 장
양성애자	양 성 애 자
독하다	독 하 다
봉건	봉 건
비주얼노벨	비 주 얼 노 벨
솔로몬	솔 로 몬
-아서	- 아 서
오프숄더	오 프 숄 더
크롬	크 롬
울다	울 다
탄	탄
수뇨관	수 뇨 관
상류사회	상 류 사 회
궐	궐
탄창	탄 창
䯩	䯩
노력하다	노 력 하 다
안전가옥	안 전 가 옥
뼈마디	뼈 마 디
허가	허 가
냉기	냉 기
중태	중 태
숙명	숙 명
연조비가사	연 조 비 가 사
설득하다	설 득 하 다
술병	술 병
페난트리딘	페 난 트 리 딘
僻字	僻 字
황당	황 당
편견	편 견
브리지타운	브 리 지 타 운
넙치	넙 치
비상사태	비 상 사 태
우세	우 세
웅데	웅 데
음식	음 식
ㄲ	ㄲ
째까닥	째 까 닥
관찰	관 찰
東歐圈	東 歐 圈
-으니	- 으 니
신박하다	신 박 하 다
백인	백 인
성폭행하다	성 폭 행 하 다
-는다	- 는 다
綠末	綠 末
푼	푼
분리주의	분 리 주 의
튕기다	튕 기 다
自己愛	自 己 愛
극악	극 악
데메테르	데 메 테 르
정역학	정 역 학
쇼윈도	쇼 윈 도
지푸라기	지 푸 라 기
칠월	칠 월
병독	병 독
체외사정	체 외 사 정
싱커	싱 커
바삭바삭	바 삭 바 삭
새끼새	새 끼 새
회음부	회 음 부
재깍	재 깍
체내	체 내
포리지	포 리 지
밭쥐	밭 쥐
주둔지	주 둔 지
생신	생 신
廚房長	廚 房 長
우체국	우 체 국
민첩성	민 첩 성
터디다	터 디 다
중세국어	중 세 국 어
격차	격 차
-대	- 대
언급하다	언 급 하 다
췌장암	췌 장 암
대교구	대 교 구
수권	수 권
요리	요 리
서점	서 점
모식	모 식
꼼짝	꼼 짝
갈애	갈 애
외계인	외 계 인
손오공	손 오 공
봐주다	봐 주 다
佛敎	佛 敎
사다새	사 다 새
군소리	군 소 리
읊다	읊 다
-아	- 아
부리	부 리
번트	번 트
두릅	두 릅
ㅊ	ㅊ
눈송이	눈 송 이
앨버타	앨 버 타
흰자위	흰 자 위
덤불	덤 불
어븀	어 븀
프린스에드워드아일랜드	프 린 스 에 드 워 드 아 일 랜 드
-시까	- 시 까
단수	단 수
때문	때 문
왕바랭이	왕 바 랭 이
안즉	안 즉
癒着	癒 着
도둑질	도 둑 질
이단자	이 단 자
에스와티니	에 스 와 티 니
에다	에 다
오호츠크해	오 호 츠 크 해
그만하다	그 만 하 다
색소	색 소
주방장	주 방 장
갈색머리흑조	갈 색 머 리 흑 조
아스파라거스	아 스 파 라 거 스
오타와	오 타 와
빼들다	빼 들 다
산사태	산 사 태
보일러	보 일 러
텔펜	텔 펜
傍點	傍 點
십날	십 날
마달	마 달
박봉	박 봉
캥거루	캥 거 루
자귀나무	자 귀 나 무
고기후학	고 기 후 학
부글부글	부 글 부 글
테제	테 제
생선회	생 선 회
-는교	- 는 교
도다리	도 다 리
수태	수 태
현부인	현 부 인
포화지방	포 화 지 방
어린아이	어 린 아 이
북장	북 장
모퉁이	모 퉁 이
희롱하다	희 롱 하 다
意慾	意 慾
길림	길 림
광접	광 접
캐나다기러기	캐 나 다 기 러 기
푸짐하다	푸 짐 하 다
배탈	배 탈
菓子	菓 子
베어링	베 어 링
蒸溜水	蒸 溜 水
바다표범	바 다 표 범
제꺼덕	제 꺼 덕
하양	하 양
개가하다	개 가 하 다
명암	명 암
獄中	獄 中
노댁	노 댁
천간	천 간
벽지	벽 지
閊	閊
미하일	미 하 일
안락의자	안 락 의 자
춰	춰
등불	등 불
공갈하다	공 갈 하 다
선동	선 동
천주	천 주
토륨	토 륨
승전하다	승 전 하 다
볼똑	볼 똑
주둥치	주 둥 치
누르술탄	누 르 술 탄
주년	주 년
향후	향 후
放射能	放 射 能
파인더	파 인 더
삼십	삼 십
고되다	고 되 다
전번	전 번
개꿈	개 꿈
님재	님 재
어둠	어 둠
려권	려 권
애초	애 초
厥女	厥 女
나서다	나 서 다
엷파랗다	엷 파 랗 다
신랑	신 랑
사모아	사 모 아
누룩	누 룩
카놀라유	카 놀 라 유
청머리오리	청 머 리 오 리
탈주병	탈 주 병
탄알	탄 알
편중	편 중
이름씨	이 름 씨
써리다	써 리 다
문둥이박쥐	문 둥 이 박 쥐
나우루	나 우 루
면사	면 사
부탁하다	부 탁 하 다
듯하다	듯 하 다
유조차	유 조 차
민스크	민 스 크
송두리째	송 두 리 째
芢	芢
혈암	혈 암
洗濯室	洗 濯 室
다소	다 소
방어기제	방 어 기 제
교목	교 목
성망	성 망
찾아보다	찾 아 보 다
따오기	따 오 기
옥석	옥 석
국영하다	국 영 하 다
가공되다	가 공 되 다
묘약	묘 약
잔원	잔 원
물리화학	물 리 화 학
간섭하다	간 섭 하 다
적연	적 연
목간	목 간
篒	篒
팥밥	팥 밥
형태학	형 태 학
베닌	베 닌
대야	대 야
해결되다	해 결 되 다
풋내기	풋 내 기
노른자위	노 른 자 위
가깝다	가 깝 다
반려묘	반 려 묘
곤란하다	곤 란 하 다
가만두다	가 만 두 다
안도라라베야	안 도 라 라 베 야
가배	가 배
곪다	곪 다
奪還	奪 還
회의	회 의
응접	응 접
유괴	유 괴
민주사회주의	민 주 사 회 주 의
합자	합 자
불포화	불 포 화
재갈매기	재 갈 매 기
인내심	인 내 심
명단	명 단
창가	창 가
전쟁하다	전 쟁 하 다
볶다	볶 다
괘종시계	괘 종 시 계
균계	균 계
규정되다	규 정 되 다
이견	이 견
구마모또	구 마 모 또
문구점	문 구 점
品詞	品 詞
객가	객 가
군비	군 비
애틋하다	애 틋 하 다
꿉다	꿉 다
폐어	폐 어
쪽발이	쪽 발 이
매미	매 미
고소	고 소
덮다	덮 다
난관	난 관
-꾼	- 꾼
백량금	백 량 금
논단	논 단
강렬하다	강 렬 하 다
무효하다	무 효 하 다
흑기러기	흑 기 러 기
이하	이 하
부럼	부 럼
대천사	대 천 사
캐러멜	캐 러 멜
두만강자그사니	두 만 강 자 그 사 니
강아지	강 아 지
젓뱅어	젓 뱅 어
동작하다	동 작 하 다
다정스럽다	다 정 스 럽 다
쉬메일	쉬 메 일
봉우리	봉 우 리
달려오다	달 려 오 다
두음	두 음
생각하다	생 각 하 다
물통	물 통
알제리	알 제 리
검은머리흰따오기	검 은 머 리 흰 따 오 기
오물오물	오 물 오 물
우주론	우 주 론
잔차	잔 차
셀룰로이드	셀 룰 로 이 드
갯과	갯 과
나나니	나 나 니
敎材	敎 材
양하	양 하
파렴치하다	파 렴 치 하 다
안티오키아	안 티 오 키 아
열변	열 변
용감하다	용 감 하 다
엥간히	엥 간 히
구적	구 적
삼공	삼 공
낭독되다	낭 독 되 다
부검	부 검
핑계	핑 계
갈아신다	갈 아 신 다
초어	초 어
빈민굴	빈 민 굴
흑고니	흑 고 니
도덕	도 덕
사안	사 안
母斑	母 斑
유주	유 주
首長龍	首 長 龍
대서양연어	대 서 양 연 어
보수	보 수
비취	비 취
육이오	육 이 오
승하	승 하
마이애미	마 이 애 미
소개되다	소 개 되 다
횡령하다	횡 령 하 다
해파리	해 파 리
眞臘	眞 臘
賆	賆
동성애자	동 성 애 자
안경돌고래	안 경 돌 고 래
里程標	里 程 標
無責任	無 責 任
지슴	지 슴
솔딱새	솔 딱 새
따다	따 다
回敎	回 敎
핥다	핥 다
간간이	간 간 이
스압	스 압
-으면	- 으 면
흰개미	흰 개 미
추격	추 격
주정	주 정
비트박스	비 트 박 스
뿌리혹	뿌 리 혹
신수	신 수
적연하다	적 연 하 다
뱅뱅	뱅 뱅
交叉路	交 叉 路
탁구	탁 구
科擧	科 擧
유익하다	유 익 하 다
텃밭	텃 밭
리마	리 마
살치	살 치
아이띠	아 이 띠
빌어먹을	빌 어 먹 을
완곡어법	완 곡 어 법
오디	오 디
주키니	주 키 니
猠	猠
난간	난 간
戱曲集	戱 曲 集
던지다	던 지 다
꽃다발	꽃 다 발
관계대명사	관 계 대 명 사
로크포르	로 크 포 르
외부인	외 부 인
발행소	발 행 소
즐기다	즐 기 다
인민폐	인 민 폐
보장하다	보 장 하 다
옥사	옥 사
퉁	퉁
변하다	변 하 다
등록기	등 록 기
경보	경 보
점주	점 주
給油	給 油
읊조리다	읊 조 리 다
항의	항 의
장가가다	장 가 가 다
내주다	내 주 다
발탁	발 탁
설기	설 기
생물권	생 물 권
가공품	가 공 품
희끗희끗	희 끗 희 끗
旁牌	旁 牌
앵무새	앵 무 새
타동사	타 동 사
菜食主義	菜 食 主 義
요크셔	요 크 셔
대국	대 국
꼬리표	꼬 리 표
설교	설 교
구조하다	구 조 하 다
㬨	㬨
큰철갑상어	큰 철 갑 상 어
다행	다 행
서푼	서 푼
부임하다	부 임 하 다
路面電車	路 面 電 車
慶尙道	慶 尙 道
갑충	갑 충
입구	입 구
묵살	묵 살
끄집다	끄 집 다
도랑	도 랑
슴베	슴 베
마니교	마 니 교
해상도	해 상 도
임부	임 부
바라다	바 라 다
국민	국 민
레알리즘	레 알 리 즘
캐넌	캐 넌
직관	직 관
角木	角 木
토끼박쥐	토 끼 박 쥐
중재인	중 재 인
아점	아 점
작성하다	작 성 하 다
출퇴근하다	출 퇴 근 하 다
험	험
물러서다	물 러 서 다
건너오다	건 너 오 다
㐙	㐙
노스다코타	노 스 다 코 타
영사관	영 사 관
구경꾼	구 경 꾼
꼭대기	꼭 대 기
뚜렷하다	뚜 렷 하 다
똥싸다	똥 싸 다
체온계	체 온 계
간데없이	간 데 없 이
수오리	수 오 리
피곤하다	피 곤 하 다
획	획
너페	너 페
즉흥	즉 흥
신명기	신 명 기
엄만	엄 만
뺑소니치다	뺑 소 니 치 다
철밥통	철 밥 통
스무째	스 무 째
고명하다	고 명 하 다
다락같다	다 락 같 다
침목	침 목
비숍	비 숍
