accessorize	accessorise
contextualizing	contextualising
criminalize	criminalise
criminalized	criminalised
criminalizes	criminalises
criminalizing	criminalising
criticize	criticise
criticized	criticised
criticizes	criticises
criticizing	criticising
crystallization	crystallisation
crystallize	crystallise
crystallized	crystallised
crystallizes	crystallises
crystallizing	crystallising
customize	customise
customized	customised
customizes	customises
customizing	customising
decentralization	decentralisation
decentralize	decentralise
decentralized	decentralised
decentralizes	decentralises
decentralizing	decentralising
decriminalization	decriminalisation
decriminalize	decriminalise
decriminalized	decriminalised
decriminalizes	decriminalises
decriminalizing	decriminalising
dehumanization	dehumanisation
dehumanize	dehumanise
dehumanized	dehumanised
dehumanizes	dehumanises
dehumanizing	dehumanising
demeanor	demeanour
demilitarization	demilitarisation
demilitarize	demilitarise
demilitarized	demilitarised
demilitarizes	demilitarises
demilitarizing	demilitarising
demobilization	demobilisation
demobilize	demobilise
demobilized	demobilised
demobilizes	demobilises
demobilizing	demobilising
democratization	democratisation
democratize	democratise
democratized	democratised
democratizes	democratises
democratizing	democratising
demonize	demonise
demonized	demonised
demonizes	demonises
demonizing	demonising
demoralization	demoralisation
demoralize	demoralise
demoralized	demoralised
demoralizes	demoralises
demoralizing	demoralising
denationalization	denationalisation
denationalize	denationalise
denationalized	denationalised
denationalizes	denationalises
denationalizing	denationalising
deodorize	deodorise
deodorized	deodorised
deodorizes	deodorises
deodorizing	deodorising
depersonalize	depersonalise
depersonalized	depersonalised
depersonalizes	depersonalises
depersonalizing	depersonalising
deputize	deputise
deputized	deputised
deputizes	deputises
deputizing	deputising
desensitization	desensitisation
desensitize	desensitise
desensitized	desensitised
desensitizes	desensitises
desensitizing	desensitising
destabilization	destabilisation
destabilize	destabilise
destabilized	destabilised
destabilizes	destabilises
destabilizing	destabilising
digitize	digitise
digitized	digitised
digitizes	digitises
digitizing	digitising
discolor	discolour
discolored	discoloured
discoloring	discolouring
discolors	discolours
disfavor	disfavour
dishonor	dishonour
dishonorable	dishonourable
dishonorably	dishonourably
dishonored	dishonoured
dishonoring	dishonouring
dishonors	dishonours
disorganization	disorganisation
disorganized	disorganised
dramatization	dramatisation
dramatizations	dramatisations
dramatize	dramatise
dramatized	dramatised
dramatizes	dramatises
dramatizing	dramatising
economize	economise
economized	economised
economizes	economises
economizing	economising
editorialize	editorialise
editorialized	editorialised
editorializes	editorialises
editorializing	editorialising
empathize	empathise
empathized	empathised
empathizes	empathises
empathizing	empathising
emphasize	emphasise
emphasized	emphasised
emphasizes	emphasises
emphasizing	emphasising
enamored	enamoured
endeavor	endeavour
endeavored	endeavoured
endeavoring	endeavouring
endeavors	endeavours
energize	energise
energized	energised
energizes	energises
energizing	energising
epicenter	epicentre
epicenters	epicentres
epitomize	epitomise
epitomized	epitomised
epitomizes	epitomises
epitomizing	epitomising
equalization	equalisation
equalize	equalise
equalized	equalised
equalizer	equaliser
equalizers	equalisers
equalizes	equalises
equalizing	equalising
eulogize	eulogise
eulogized	eulogised
eulogizes	eulogises
eulogizing	eulogising
evangelize	evangelise
evangelized	evangelised
evangelizes	evangelises
evangelizing	evangelising
exorcize	exorcise
exorcized	exorcised
exorcizes	exorcises
exorcizing	exorcising
extemporization	extemporisation
extemporize	extemporise
extemporized	extemporised
extemporizes	extemporises
extemporizing	extemporising
externalization	externalisation
externalizations	externalisations
externalize	externalise
externalized	externalised
externalizes	externalises
externalizing	externalising
factorize	factorise
factorized	factorised
factorizes	factorises
factorizing	factorising
familiarization	familiarisation
familiarize	familiarise
familiarized	familiarised
familiarizes	familiarises
familiarizing	familiarising
fantasize	fantasise
fantasized	fantasised
fantasizes	fantasises
fantasizing	fantasising
favor	favour
favorable	favourable
favorably	favourably
favored	favoured
favoring	favouring
favorite	favourite
favorites	favourites
favoritism	favouritism
favors	favours
feminize	feminise
feminized	feminised
feminizes	feminises
feminizing	feminising
fertilization	fertilisation
fertilize	fertilise
fertilized	fertilised
fertilizer	fertiliser
fertilizers	fertilisers
fertilizes	fertilises
fertilizing	fertilising
fervor	fervour
fiber	fibre
fiberglass	fibreglass
fibers	fibres
fictionalization	fictionalisation
fictionalizations	fictionalisations
fictionalize	fictionalise
fictionalized	fictionalised
fictionalizes	fictionalises
fictionalizing	fictionalising
finalization	finalisation
finalize	finalise
finalized	finalised
finalizes	finalises
finalizing	finalising
flavor	flavour
flavored	flavoured
flavoring	flavouring
flavorings	flavourings
flavorless	flavourless
flavors	flavours
flavorsome	flavoursome
formalization	formalisation
formalize	formalise
formalized	formalised
formalizes	formalises
formalizing	formalising
fossilization	fossilisation
fossilize	fossilise
fossilized	fossilised
fossilizes	fossilises
fossilizing	fossilising
fraternization	fraternisation
fraternize	fraternise
fraternized	fraternised
fraternizes	fraternises
fraternizing	fraternising
galvanize	galvanise
galvanized	galvanised
galvanizes	galvanises
galvanizing	galvanising
generalization	generalisation
generalizations	generalisations
generalize	generalise
generalized	generalised
generalizes	generalises
generalizing	generalising
ghettoize	ghettoise
ghettoized	ghettoised
ghettoizes	ghettoises
ghettoizing	ghettoising
glamor	glamour
glamorize	glamorise
glamorized	glamorised
glamorizes	glamorises
glamorizing	glamorising
globalization	globalisation
globalize	globalise
globalized	globalised
globalizes	globalises
globalizing	globalising
goiter	goitre
goiters	goitres
gram	gramme
grams	grammes
gray	grey
grayed	greyed
graying	greying
grayish	greyish
grayness	greyness
grays	greys
harbor	harbour
harbored	harboured
harboring	harbouring
harbors	harbours
harmonization	harmonisation
harmonize	harmonise
harmonized	harmonised
harmonizes	harmonises
harmonizing	harmonising
homogenize	homogenise
homogenized	homogenised
homogenizes	homogenises
homogenizing	homogenising
honor	honour
honorable	honourable
honorably	honourably
honored	honoured
honoring	honouring
honors	honours
hospitalization	hospitalisation
hospitalize	hospitalise
hospitalized	hospitalised
hospitalizes	hospitalises
hospitalizing	hospitalising
humanize	humanise
humanized	humanised
humanizes	humanises
humanizing	humanising
humor	humour
humored	humoured
humoring	humouring
humorless	humourless
humors	humours
hybridize	hybridise
hybridized	hybridised
hybridizes	hybridises
hybridizing	hybridising
hypnotize	hypnotise
hypnotized	hypnotised
hypnotizes	hypnotises
hypnotizing	hypnotising
hypothesize	hypothesise
hypothesized	hypothesised
hypothesizes	hypothesises
hypothesizing	hypothesising
idealization	idealisation
idealize	idealise
idealized	idealised
idealizes	idealises
idealizing	idealising
idolize	idolise
idolized	idolised
idolizes	idolises
idolizing	idolising
immobilization	immobilisation
immobilize	immobilise
immobilized	immobilised
immobilizer	immobiliser
immobilizers	immobilisers
immobilizes	immobilises
immobilizing	immobilising
immortalize	immortalise
immortalized	immortalised
immortalizes	immortalises
immortalizing	immortalising
immunization	immunisation
immunize	immunise
immunized	immunised
immunizes	immunises
immunizing	immunising
individualize	individualise
individualized	individualised
individualizes	individualises
individualizing	individualising
industrialize	industrialise
industrialized	industrialised
industrializes	industrialises
industrializing	industrialising
inflection	inflexion
inflections	inflexions
initialize	initialise
initialized	initialised
initializes	initialises
initializing	initialising
institutionalization	institutionalisation
institutionalize	institutionalise
institutionalized	institutionalised
institutionalizes	institutionalises
institutionalizing	institutionalising
intellectualize	intellectualise
intellectualized	intellectualised
intellectualizes	intellectualises
intellectualizing	intellectualising
internalization	internalisation
internalize	internalise
internalized	internalised
internalizes	internalises
internalizing	internalising
internationalization	internationalisation
internationalize	internationalise
internationalized	internationalised
internationalizes	internationalises
internationalizing	internationalising
ionization	ionisation
ionize	ionise
ionized	ionised
ionizer	ioniser
ionizers	ionisers
ionizes	ionises
ionizing	ionising
italicize	italicise
italicized	italicised
italicizes	italicises
italicizing	italicising
itemize	itemise
itemized	itemised
itemizes	itemises
itemizing	itemising
jeopardize	jeopardise
jeopardized	jeopardised
jeopardizes	jeopardises
jeopardizing	jeopardising
kilogram	kilogramme
kilograms	kilogrammes
kilometer	kilometre
kilometers	kilometres
labor	labour
labored	laboured
laborer	labourer
laborers	labourers
laboring	labouring
labors	labours
lackluster	lacklustre
legalization	legalisation
legalize	legalise
legalized	legalised
legalizes	legalises
legalizing	legalising
legitimize	legitimise
legitimized	legitimised
legitimizes	legitimises
legitimizing	legitimising
liberalization	liberalisation
liberalize	liberalise
liberalized	liberalised
liberalizes	liberalises
liberalizing	liberalising
lionization	lionisation
lionize	lionise
lionized	lionised
lionizes	lionises
lionizing	lionising
liquidize	liquidise
liquidized	liquidised
liquidizer	liquidiser
liquidizers	liquidisers
liquidizes	liquidises
liquidizing	liquidising
liter	litre
liters	litres
localize	localise
localized	localised
localizes	localises
localizing	localising
louver	louvre
louvers	louvres
luster	lustre
magnetize	magnetise
magnetized	magnetised
magnetizes	magnetises
magnetizing	magnetising
maneuver	manoeuvre
maneuvers	manoeuvres
marginalization	marginalisation
marginalize	marginalise
marginalized	marginalised
marginalizes	marginalises
marginalizing	marginalising
materialization	materialisation
materialize	materialise
materialized	materialised
materializes	materialises
materializing	materialising
maximization	maximisation
maximize	maximise
maximized	maximised
maximizes	maximises
maximizing	maximising
meager	meagre
mechanization	mechanisation
mechanize	mechanise
mechanized	mechanised
mechanizes	mechanises
mechanizing	mechanising
memorialize	memorialise
memorialized	memorialised
memorializes	memorialises
memorializing	memorialising
memorize	memorise
memorized	memorised
memorizes	memorises
memorizing	memorising
mesmerize	mesmerise
mesmerized	mesmerised
mesmerizes	mesmerises
mesmerizing	mesmerising
metabolize	metabolise
metabolized	metabolised
metabolizes	metabolises
metabolizing	metabolising
meter	metre
meters	metres
micrometer	micrometre
micrometers	micrometres
militarize	militarise
militarized	militarised
militarizes	militarises
militarizing	militarising
milligram	milligramme
milligrams	milligrammes
milliliter	millilitre
milliliters	millilitres
millimeter	millimetre
millimeters	millimetres
miniaturization	miniaturisation
miniaturize	miniaturise
miniaturized	miniaturised
miniaturizes	miniaturises
miniaturizing	miniaturising
minimize	minimise
minimized	minimised
minimizes	minimises
minimizing	minimising
misbehavior	misbehaviour
misdemeanor	misdemeanour
misdemeanors	misdemeanours
miter	mitre
miters	mitres
mobilization	mobilisation
mobilize	mobilise
mobilized	mobilised
mobilizes	mobilises
mobilizing	mobilising
modernize	modernise
modernized	modernised
modernizes	modernises
modernizing	modernising
moisturize	moisturise
moisturized	moisturised
moisturizer	moisturiser
moisturizers	moisturisers
moisturizes	moisturises
moisturizing	moisturising
monopolization	monopolisation
monopolize	monopolise
monopolized	monopolised
monopolizes	monopolises
monopolizing	monopolising
moralize	moralise
moralized	moralised
moralizes	moralises
moralizing	moralising
motorized	motorised
multicolored	multicoloured
nationalization	nationalisation
nationalizations	nationalisations
nationalize	nationalise
nationalized	nationalised
nationalizes	nationalises
nationalizing	nationalising
naturalization	naturalisation
naturalize	naturalise
naturalized	naturalised
naturalizes	naturalises
naturalizing	naturalising
neighbor	neighbour
neighborhood	neighbourhood
neighborhoods	neighbourhoods
neighboring	neighbouring
neighborliness	neighbourliness
neighborly	neighbourly
neighbors	neighbours
neutralization	neutralisation
neutralize	neutralise
neutralized	neutralised
neutralizes	neutralises
neutralizing	neutralising
normalization	normalisation
normalize	normalise
normalized	normalised
normalizes	normalises
normalizing	normalising
odor	odour
odorless	odourless
odors	odours
optimization	optimisation
optimizations	optimisations
optimize	optimise
optimized	optimised
optimizes	optimises
optimizing	optimising
organization	organisation
organizational	organisational
organizations	organisations
organize	organise
organized	organised
organizer	organiser
organizers	organisers
organizes	organises
organizing	organising
ostracize	ostracise
ostracized	ostracised
ostracizes	ostracises
ostracizing	ostracising
outmaneuver	outmanoeuvre
outmaneuvers	outmanoeuvres
overemphasize	overemphasise
overemphasized	overemphasised
overemphasizes	overemphasises
overemphasizing	overemphasising
oxidization	oxidisation
oxidize	oxidise
oxidized	oxidised
oxidizes	oxidises
oxidizing	oxidising
paralyze	paralyse
paralyzed	paralysed
paralyzes	paralyses
paralyzing	paralysing
parlor	parlour
parlors	parlours
particularize	particularise
particularized	particularised
particularizes	particularises
particularizing	particularising
passivization	passivisation
passivize	passivise
passivized	passivised
passivizes	passivises
passivizing	passivising
pasteurization	pasteurisation
pasteurize	pasteurise
pasteurized	pasteurised
pasteurizes	pasteurises
pasteurizing	pasteurising
patronize	patronise
patronized	patronised
patronizes	patronises
patronizing	patronising
patronizingly	patronisingly
pedestrianization	pedestrianisation
pedestrianize	pedestrianise
pedestrianized	pedestrianised
pedestrianizes	pedestrianises
pedestrianizing	pedestrianising
penalize	penalise
penalized	penalised
penalizes	penalises
penalizing	penalising
personalize	personalise
personalized	personalised
personalizes	personalises
personalizing	personalising
philosophize	philosophise
philosophized	philosophised
philosophizes	philosophises
philosophizing	philosophising
plagiarize	plagiarise
plagiarized	plagiarised
plagiarizes	plagiarises
plagiarizing	plagiarising
polarization	polarisation
polarize	polarise
polarized	polarised
polarizes	polarises
polarizing	polarising
politicization	politicisation
politicize	politicise
politicized	politicised
politicizes	politicises
politicizing	politicising
popularization	popularisation
popularize	popularise
popularized	popularised
popularizes	popularises
popularizing	popularising
practice	practise
practiced	practised
practices	practises
practicing	practising
pressurization	pressurisation
pressurize	pressurise
pressurized	pressurised
pressurizes	pressurises
pressurizing	pressurising
prioritization	prioritisation
prioritize	prioritise
prioritized	prioritised
prioritizes	prioritises
prioritizing	prioritising
privatization	privatisation
privatizations	privatisations
privatize	privatise
privatized	privatised
privatizes	privatises
privatizing	privatising
professionalization	professionalisation
professionalize	professionalise
professionalized	professionalised
professionalizes	professionalises
professionalizing	professionalising
program	programme
programs	programmes
propagandize	propagandise
propagandized	propagandised
propagandizes	propagandises
propagandizing	propagandising
proselytize	proselytise
proselytized	proselytised
proselytizer	proselytiser
proselytizers	proselytisers
proselytizes	proselytises
proselytizing	proselytising
psychoanalyze	psychoanalyse
psychoanalyzed	psychoanalysed
psychoanalyzes	psychoanalyses
psychoanalyzing	psychoanalysing
publicize	publicise
publicized	publicised
publicizes	publicises
publicizing	publicising
pulverization	pulverisation
pulverize	pulverise
pulverized	pulverised
pulverizes	pulverises
pulverizing	pulverising
radicalize	radicalise
radicalized	radicalised
radicalizes	radicalises
radicalizing	radicalising
rancor	rancour
randomize	randomise
randomized	randomised
randomizes	randomises
randomizing	randomising
rationalization	rationalisation
rationalizations	rationalisations
rationalize	rationalise
rationalized	rationalised
rationalizes	rationalises
rationalizing	rationalising
realization	realisation
realizations	realisations
realize	realise
realized	realised
realizes	realises
realizing	realising
recognizably	recognisably
recognize	recognise
recognized	recognised
recognizes	recognises
recognizing	recognising
reconnoiter	reconnoitre
reconnoitered	reconnoitred
reconnoitering	reconnoitring
reconnoiters	reconnoitres
regularization	regularisation
regularize	regularise
regularized	regularised
regularizes	regularises
regularizing	regularising
reorganization	reorganisation
reorganizations	reorganisations
reorganize	reorganise
reorganized	reorganised
reorganizes	reorganises
reorganizing	reorganising
revitalize	revitalise
revitalized	revitalised
revitalizes	revitalises
revitalizing	revitalising
revolutionize	revolutionise
revolutionized	revolutionised
revolutionizes	revolutionises
revolutionizing	revolutionising
rhapsodize	rhapsodise
rhapsodized	rhapsodised
rhapsodizes	rhapsodises
rhapsodizing	rhapsodising
rigor	rigour
rigors	rigours
ritualized	ritualised
romanticize	romanticise
romanticized	romanticised
romanticizes	romanticises
romanticizing	romanticising
rumor	rumour
rumored	rumoured
rumors	rumours
saber	sabre
sabers	sabres
saltpeter	saltpetre
sanitize	sanitise
sanitized	sanitised
sanitizes	sanitises
sanitizing	sanitising
satirize	satirise
satirized	satirised
satirizes	satirises
satirizing	satirising
savior	saviour
saviors	saviours
savor	savour
savored	savoured
savories	savouries
savoring	savouring
savors	savours
savory	savoury
scandalize	scandalise
scandalized	scandalised
scandalizes	scandalises
scandalizing	scandalising
scepter	sceptre
scepters	sceptres
scrutinize	scrutinise
scrutinized	scrutinised
scrutinizes	scrutinises
scrutinizing	scrutinising
secularization	secularisation
secularize	secularise
secularized	secularised
secularizes	secularises
secularizing	secularising
sensationalize	sensationalise
sensationalized	sensationalised
sensationalizes	sensationalises
sensationalizing	sensationalising
sensitize	sensitise
sensitized	sensitised
sensitizes	sensitises
sensitizing	sensitising
sentimentalize	sentimentalise
sentimentalized	sentimentalised
sentimentalizes	sentimentalises
sentimentalizing	sentimentalising
sepulcher	sepulchre
sepulchers	sepulchres
serialization	serialisation
serializations	serialisations
serialize	serialise
serialized	serialised
serializes	serialises
serializing	serialising
sermonize	sermonise
sermonized	sermonised
sermonizes	sermonises
sermonizing	sermonising
signalize	signalise
signalized	signalised
signalizes	signalises
signalizing	signalising
socialization	socialisation
socialize	socialise
socialized	socialised
socializes	socialises
socializing	socialising
sodomize	sodomise
sodomized	sodomised
sodomizes	sodomises
sodomizing	sodomising
solemnize	solemnise
solemnized	solemnised
solemnizes	solemnises
solemnizing	solemnising
somber	sombre
specialization	specialisation
specializations	specialisations
specialize	specialise
specialized	specialised
specializes	specialises
specializing	specialising
specter	spectre
specters	spectres
splendor	splendour
splendors	splendours
stabilization	stabilisation
stabilize	stabilise
stabilized	stabilised
stabilizer	stabiliser
stabilizers	stabilisers
stabilizes	stabilises
stabilizing	stabilising
standardization	standardisation
standardize	standardise
standardized	standardised
standardizes	standardises
standardizing	standardising
sterilization	sterilisation
sterilizations	sterilisations
sterilize	sterilise
sterilized	sterilised
sterilizer	steriliser
sterilizers	sterilisers
sterilizes	sterilises
sterilizing	sterilising
stigmatization	stigmatisation
stigmatize	stigmatise
stigmatized	stigmatised
stigmatizes	stigmatises
stigmatizing	stigmatising
subsidization	subsidisation
subsidize	subsidise
subsidized	subsidised
subsidizer	subsidiser
subsidizers	subsidisers
subsidizes	subsidises
subsidizing	subsidising
succor	succour
succored	succoured
succoring	succouring
succors	succours
summarize	summarise
summarized	summarised
summarizes	summarises
summarizing	summarising
symbolize	symbolise
symbolized	symbolised
symbolizes	symbolises
symbolizing	symbolising
sympathize	sympathise
sympathized	sympathised
sympathizer	sympathiser
sympathizers	sympathisers
sympathizes	sympathises
sympathizing	sympathising
synchronization	synchronisation
synchronize	synchronise
synchronized	synchronised
synchronizes	synchronises
synchronizing	synchronising
synthesize	synthesise
synthesized	synthesised
synthesizer	synthesiser
synthesizers	synthesisers
synthesizes	synthesises
synthesizing	synthesising
systematization	systematisation
systematize	systematise
systematized	systematised
systematizes	systematises
systematizing	systematising
tantalize	tantalise
tantalized	tantalised
tantalizes	tantalises
tantalizing	tantalising
tantalizingly	tantalisingly
technicolor	technicolour
temporize	temporise
temporized	temporised
temporizes	temporises
temporizing	temporising
tenderize	tenderise
tenderized	tenderised
tenderizes	tenderises
tenderizing	tenderising
terrorize	terrorise
terrorized	terrorised
terrorizes	terrorises
terrorizing	terrorising
theater	theatre
theatergoer	theatregoer
theatergoers	theatregoers
theaters	theatres
theorize	theorise
theorized	theorised
theorizes	theorises
theorizing	theorising
tranquilize	tranquillise
tranquilized	tranquillised
tranquilizer	tranquilliser
tranquilizers	tranquillisers
tranquilizes	tranquillises
tranquilizing	tranquillising
transistorized	transistorised
traumatize	traumatise
traumatized	traumatised
traumatizes	traumatises
traumatizing	traumatising
tricolor	tricolour
tricolors	tricolours
trivialize	trivialise
trivialized	trivialised
trivializes	trivialises
trivializing	trivialising
tumor	tumour
tumors	tumours
tyrannize	tyrannise
tyrannized	tyrannised
tyrannizes	tyrannises
tyrannizing	tyrannising
unauthorized	unauthorised
uncivilized	uncivilised
underutilized	underutilised
unfavorable	unfavourable
unfavorably	unfavourably
unionization	unionisation
unionize	unionise
unionized	unionised
unionizes	unionises
unionizing	unionising
unorganized	unorganised
unrecognized	unrecognised
unsavory	unsavoury
urbanization	urbanisation
urbanize	urbanise
urbanized	urbanised
urbanizes	urbanises
urbanizing	urbanising
utilization	utilisation
utilize	utilise
utilized	utilised
utilizes	utilises
utilizing	utilising
valor	valour
vandalize	vandalise
vandalized	vandalised
vandalizes	vandalises
vandalizing	vandalising
vapor	vapour
vaporization	vaporisation
vaporize	vaporise
vaporized	vaporised
vaporizes	vaporises
vaporizing	vaporising
vapors	vapours
verbalize	verbalise
verbalized	verbalised
verbalizes	verbalises
verbalizing	verbalising
victimization	victimisation
victimize	victimise
victimized	victimised
victimizes	victimises
victimizing	victimising
vigor	vigour
visualization	visualisation
visualizations	visualisations
visualize	visualise
visualized	visualised
visualizes	visualises
visualizing	visualising
vocalization	vocalisation
vocalizations	vocalisations
vocalize	vocalise
vocalized	vocalised
vocalizes	vocalises
vocalizing	vocalising
vulcanized	vulcanised
vulgarization	vulgarisation
vulgarize	vulgarise
vulgarized	vulgarised
vulgarizes	vulgarises
vulgarizing	vulgarising
watercolor	watercolour
watercolors	watercolours
westernization	westernisation
westernize	westernise
westernized	westernised
westernizes	westernises
westernizing	westernising
womanize	womanise
womanized	womanised
womanizer	womaniser
womanizers	womanisers
womanizes	womanises
womanizing	womanising
yogurt	yoghourt
yogurts	yoghourts
