,Transferability Metric,Source Dataset,Transferability Metric Score,Test Mean IoU,Target Dataset
227,leep,bdd,-1.5449639558792114,0.51978600025177,suim
228,leep,ade,-1.4568451642990112,0.5315997600555421,suim
229,leep,camvid,-1.5725523233413696,0.5042344331741333,suim
230,leep,coco,-1.228001832962036,0.5499356985092163,suim
231,leep,kitti,-1.5680923461914062,0.5226122140884399,suim
232,leep,pcontext,-1.4177861213684082,0.5260260105133057,suim
233,leep,vkitti2,-1.6023411750793457,0.5284412503242493,suim
234,leep,sunrgbd,-1.6014095544815063,0.4881995022296906,suim
235,leep,pvoc,-1.616469144821167,0.5354160070419312,suim
236,leep,isaid,-1.6196683645248413,0.5341091752052307,suim
237,leep,scannet,-1.595763087272644,0.4776470065116882,suim
238,leep,isprs,-1.636161208152771,0.4729554951190949,suim
239,leep,vgallery,-1.7909737825393677,0.5112492442131042,suim
240,leep,city,-1.144592523574829,0.5642663836479187,vkitti2
241,leep,mapillary,-0.8053413629531859,0.5690399408340454,vkitti2
242,leep,idd,-1.1631475687026978,0.5647382140159607,vkitti2
243,leep,bdd,-1.1473921537399292,0.5633907914161682,vkitti2
244,leep,ade,-1.0575357675552368,0.5583362579345703,vkitti2
245,leep,camvid,-1.4530586004257202,0.5628300905227661,vkitti2
246,leep,coco,-1.30101215839386,0.5554596781730652,vkitti2
247,leep,kitti,-1.224071025848389,0.5572342872619629,vkitti2
248,leep,pcontext,-1.2113654613494873,0.550104558467865,vkitti2
249,leep,sunrgbd,-2.156296968460083,0.5493016242980957,vkitti2
250,leep,pvoc,-2.216113328933716,0.5499657988548279,vkitti2
251,leep,isaid,-2.1791429519653316,0.5564932227134705,vkitti2
252,leep,scannet,-2.1783092021942143,0.5458134412765503,vkitti2
253,leep,suim,-2.0966455936431885,0.5539441108703613,vkitti2
254,leep,isprs,-2.2972800731658936,0.5381138920783997,vkitti2
255,leep,vgallery,-2.307368755340576,0.5599456429481506,vkitti2
256,leep,city,-1.5562125444412231,0.7756106853485107,vgallery
257,leep,mapillary,-1.2270427942276,0.7825044393539429,vgallery
258,leep,idd,-1.3663880825042725,0.7802566289901733,vgallery
259,leep,bdd,-1.533459186553955,0.772309422492981,vgallery
260,leep,ade,-0.6228112578392029,0.7795850038528442,vgallery
261,leep,camvid,-1.5020755529403689,0.7796114087104797,vgallery
262,leep,coco,-0.995469570159912,0.7805051803588867,vgallery
263,leep,kitti,-1.2957587242126465,0.7769100069999695,vgallery
264,leep,pcontext,-1.0302039384841921,0.777569055557251,vgallery
265,leep,vkitti2,-1.3675377368927002,0.7770513296127319,vgallery
266,leep,sunrgbd,-1.0796531438827517,0.7795549631118774,vgallery
267,leep,pvoc,-1.8755712509155276,0.7717735767364502,vgallery
268,leep,isaid,-1.3340715169906616,0.7764548063278198,vgallery
269,leep,scannet,-1.1813923120498655,0.7724939584732056,vgallery
270,leep,suim,-1.464755654335022,0.7694535851478577,vgallery
271,leep,isprs,-1.785651445388794,0.7636131644248962,vgallery
272,nleep,scannet,-0.829731822013855,0.4221469461917877,isprs
273,nleep,coco,-0.8171319365501404,0.4565313756465912,isprs
274,nleep,sunrgbd,-0.8669205904006958,0.4203411638736725,isprs
275,nleep,ade,-0.8438439965248108,0.4453455805778504,isprs
276,nleep,pcontext,-0.7758119106292725,0.4495431780815125,isprs
277,nleep,mapillary,-0.8283225297927856,0.4501448273658752,isprs
278,nleep,city,-0.7926551103591919,0.4564622938632965,isprs
279,nleep,idd,-0.818126916885376,0.43382176756858826,isprs
280,nleep,camvid,-0.7665252089500427,0.4344685673713684,isprs
281,nleep,vkitti2,-0.8372439742088318,0.4517599940299988,isprs
282,nleep,kitti,-0.7997728586196899,0.4510539174079895,isprs
283,nleep,isaid,-0.7897744178771973,0.4944362640380859,isprs
284,nleep,pvoc,-0.8684203624725342,0.4292912483215332,isprs
285,nleep,bdd,-0.8321720361709595,0.4523641467094421,isprs
286,nleep,suim,-0.8265278935432434,0.4439345300197601,isprs
287,nleep,vgallery,-0.8924907445907593,0.4303898811340332,isprs
288,nleep,scannet,-0.6094439625740051,0.3751470446586609,isaid
289,nleep,coco,-0.5766872763633728,0.3897742629051209,isaid
290,nleep,sunrgbd,-0.5720174312591553,0.3648094832897186,isaid
291,nleep,ade,-0.6426140666007996,0.3740013241767883,isaid
292,nleep,pcontext,-0.5476645827293396,0.3941115736961365,isaid
293,nleep,mapillary,-0.6872875690460205,0.3856968879699707,isaid
294,nleep,city,-0.6392639875411987,0.3564017713069916,isaid
295,nleep,idd,-0.6658636331558228,0.3871359825134277,isaid
296,nleep,camvid,-0.590361475944519,0.340665340423584,isaid
297,nleep,vkitti2,-0.5841273069381714,0.34070298075675964,isaid
298,nleep,kitti,-0.5709398984909058,0.3703555762767792,isaid
299,nleep,pvoc,-0.684829592704773,0.37150999903678894,isaid
300,nleep,bdd,-0.6564831137657166,0.37296321988105774,isaid
301,nleep,suim,-0.6236642003059387,0.3906171917915344,isaid
302,nleep,vgallery,-0.740321695804596,0.34656187891960144,isaid
303,nleep,isprs,-0.5728102326393127,0.3542763292789459,isaid
304,nleep,scannet,-1.321413278579712,0.2000553458929062,pcontext
305,nleep,coco,-0.7524868845939636,0.3932097852230072,pcontext
306,nleep,sunrgbd,-1.3051656484603882,0.22788189351558685,pcontext
307,nleep,ade,-0.945822298526764,0.2815335690975189,pcontext
308,nleep,mapillary,-0.9743385314941406,0.264154851436615,pcontext
309,nleep,city,-1.0963714122772217,0.2516387104988098,pcontext
310,nleep,idd,-1.1025406122207642,0.2551575005054474,pcontext
311,nleep,camvid,-1.152486801147461,0.2508440613746643,pcontext
312,nleep,vkitti2,-1.281455636024475,0.2500828206539154,pcontext
313,nleep,kitti,-1.250017166137695,0.2606618106365204,pcontext
314,nleep,isaid,-1.4492369890213013,0.2616758942604065,pcontext
315,nleep,pvoc,-1.3179973363876345,0.3578269183635712,pcontext
316,nleep,bdd,-1.350122570991516,0.2467824965715409,pcontext
317,nleep,suim,-1.5622458457946775,0.2489817589521408,pcontext
318,nleep,vgallery,-1.5827798843383791,0.2583250105381012,pcontext
319,nleep,isprs,-1.6873445510864258,0.2445549666881561,pcontext
320,nleep,scannet,-0.9612299799919128,0.3684181272983551,pvoc
321,nleep,coco,-0.3227355778217316,0.7060430645942688,pvoc
322,nleep,sunrgbd,-0.9705803990364076,0.3951655030250549,pvoc
323,nleep,ade,-0.6252062916755676,0.4697454869747162,pvoc
324,nleep,pcontext,-0.3513139486312866,0.6937801837921143,pvoc
325,nleep,mapillary,-0.632898211479187,0.4716634154319763,pvoc
326,nleep,city,-0.7270823121070862,0.4720245599746704,pvoc
327,nleep,idd,-0.7028789520263672,0.4713362157344818,pvoc
328,nleep,camvid,-0.8130017518997192,0.4688556194305421,pvoc
329,nleep,vkitti2,-0.9928256273269652,0.4732002913951874,pvoc
330,nleep,kitti,-0.8925575017929077,0.4870017766952514,pvoc
331,nleep,isaid,-1.0146902799606323,0.4951044321060181,pvoc
332,nleep,bdd,-0.9083418846130372,0.4732373654842377,pvoc
333,nleep,suim,-1.071035861968994,0.4747683107852936,pvoc
334,nleep,vgallery,-1.1716378927230835,0.4802064001560211,pvoc
335,nleep,isprs,-1.219707489013672,0.4237203598022461,pvoc
336,nleep,scannet,-2.1408534049987797,0.2047383189201355,ade
337,nleep,coco,-1.4331026077270508,0.2600853443145752,ade
338,nleep,sunrgbd,-2.0273993015289307,0.2202808111906052,ade
339,nleep,pcontext,-1.7418056726455688,0.2244292497634888,ade
340,nleep,mapillary,-1.7502259016036987,0.2286905199289322,ade
341,nleep,city,-1.9770674705505369,0.2267426252365113,ade
342,nleep,idd,-1.957417726516724,0.2251771241426468,ade
343,nleep,camvid,-1.949768543243408,0.223785862326622,ade
344,nleep,vkitti2,-2.1505560874938965,0.2286168932914734,ade
345,nleep,kitti,-2.0895445346832275,0.22527043521404266,ade
346,nleep,isaid,-2.2659802436828613,0.2322429120540619,ade
347,nleep,pvoc,-2.306437492370605,0.2116183042526245,ade
348,nleep,bdd,-2.1726343631744385,0.2162834405899048,ade
349,nleep,suim,-2.5095174312591557,0.21790504455566406,ade
350,nleep,vgallery,-2.5338778495788574,0.2225400060415268,ade
351,nleep,isprs,-2.526817798614502,0.2188767045736313,ade
352,nleep,scannet,-2.247421741485596,0.2632288038730621,coco
353,nleep,sunrgbd,-2.274718761444092,0.2804397642612457,coco
354,nleep,ade,-1.6280399560928345,0.28686341643333435,coco
355,nleep,pcontext,-1.6109542846679688,0.2982653379440308,coco
356,nleep,mapillary,-1.8569903373718264,0.2878898084163666,coco
357,nleep,city,-2.0913279056549072,0.2927364706993103,coco
358,nleep,idd,-2.0863618850708012,0.2935314178466797,coco
359,nleep,camvid,-2.110414743423462,0.2974616587162018,coco
360,nleep,vkitti2,-2.277851104736328,0.2976023256778717,coco
361,nleep,kitti,-2.219478130340576,0.30201491713523865,coco
362,nleep,isaid,-2.4261066913604736,0.30158302187919617,coco
363,nleep,pvoc,-2.188362836837769,0.29352959990501404,coco
364,nleep,bdd,-2.3634183406829834,0.2868475019931793,coco
365,nleep,suim,-2.576427698135376,0.2897903621196747,coco
366,nleep,vgallery,-2.6806888580322266,0.30154022574424744,coco
367,nleep,isprs,-2.7524189949035645,0.2880822420120239,coco
368,nleep,scannet,-1.2095372676849363,0.4453966617584229,kitti
369,nleep,coco,-0.9378378391265868,0.4881167113780975,kitti
370,nleep,sunrgbd,-1.1670578718185425,0.4326200783252716,kitti
371,nleep,ade,-0.8647246956825256,0.485243022441864,kitti
372,nleep,pcontext,-0.9507747888565063,0.4734027087688446,kitti
373,nleep,mapillary,-0.6404581069946289,0.5075771808624268,kitti
374,nleep,city,-0.6946889758110046,0.5097879767417908,kitti
375,nleep,idd,-0.7491417527198792,0.4975958466529846,kitti
376,nleep,camvid,-0.9014998078346252,0.4701007604598999,kitti
377,nleep,vkitti2,-0.9850724935531616,0.4637660086154938,kitti
378,nleep,isaid,-1.2527892589569092,0.4679950475692749,kitti
379,nleep,pvoc,-1.227929949760437,0.4672366976737976,kitti
380,nleep,bdd,-0.8722853660583496,0.4863439500331879,kitti
381,nleep,suim,-1.2174798250198364,0.4559333622455597,kitti
382,nleep,vgallery,-1.158234715461731,0.4682630896568298,kitti
383,nleep,isprs,-1.27638578414917,0.4465798139572144,kitti
384,nleep,scannet,-1.2492560148239136,0.5097765922546387,camvid
385,nleep,coco,-0.9605880975723268,0.5046649575233461,camvid
386,nleep,sunrgbd,-1.1854736804962158,0.5146802067756653,camvid
387,nleep,ade,-0.9217097163200378,0.5447724461555481,camvid
388,nleep,pcontext,-0.9839511513710022,0.5107795000076294,camvid
389,nleep,mapillary,-0.6378408074378967,0.5760424733161926,camvid
390,nleep,city,-0.7492334246635437,0.5564266443252563,camvid
391,nleep,idd,-0.7429368495941162,0.5358354449272156,camvid
392,nleep,vkitti2,-0.9894670844078064,0.4893212914466858,camvid
393,nleep,kitti,-0.8932991623878479,0.5371167063713074,camvid
394,nleep,isaid,-1.218061923980713,0.4989903271198273,camvid
395,nleep,pvoc,-1.180050492286682,0.5047959685325623,camvid
396,nleep,bdd,-0.8270619511604309,0.5494073033332825,camvid
397,nleep,suim,-1.1522350311279297,0.48915234208107,camvid
398,nleep,vgallery,-1.1027398109436035,0.5069730281829834,camvid
399,nleep,isprs,-1.2013951539993286,0.4892949759960175,camvid
400,nleep,scannet,-1.4957247972488403,0.3926692306995392,city
401,nleep,coco,-1.130537748336792,0.44930359721183777,city
402,nleep,sunrgbd,-1.3798871040344238,0.405397355556488,city
403,nleep,ade,-1.050317883491516,0.4418688416481018,city
404,nleep,pcontext,-1.18511962890625,0.43079546093940735,city
405,nleep,mapillary,-0.8056560158729553,0.5052567720413208,city
406,nleep,idd,-0.9554668664932252,0.4694615602493286,city
407,nleep,camvid,-1.0916956663131714,0.4288424551486969,city
408,nleep,vkitti2,-1.2344956398010254,0.42208772897720337,city
409,nleep,kitti,-1.0848466157913208,0.4268321096897125,city
410,nleep,isaid,-1.446881651878357,0.4230812191963196,city
411,nleep,pvoc,-1.3789608478546145,0.4246866703033447,city
412,nleep,bdd,-1.0359214544296265,0.4592298865318298,city
413,nleep,suim,-1.4071004390716553,0.4214944541454315,city
414,nleep,vgallery,-1.3643696308135986,0.4197588264942169,city
415,nleep,isprs,-1.500757336616516,0.4000628888607025,city
416,nleep,scannet,-1.5507678985595703,0.351782500743866,idd
417,nleep,coco,-1.1013127565383911,0.4091227948665619,idd
418,nleep,sunrgbd,-1.4755467176437378,0.3651407957077025,idd
419,nleep,ade,-1.171172857284546,0.3875559270381928,idd
420,nleep,pcontext,-1.1886749267578125,0.3870647251605988,idd
421,nleep,mapillary,-0.8803383111953735,0.4325865209102631,idd
422,nleep,city,-1.0674641132354736,0.3985193967819214,idd
423,nleep,camvid,-1.1964330673217771,0.37062591314315796,idd
424,nleep,vkitti2,-1.310152888298035,0.3845299482345581,idd
425,nleep,kitti,-1.225534200668335,0.37919020652771,idd
426,nleep,isaid,-1.6352385282516482,0.3802219033241272,idd
427,nleep,pvoc,-1.4340581893920898,0.38511568307876587,idd
428,nleep,bdd,-1.1189312934875488,0.3977397382259369,idd
429,nleep,suim,-1.5281713008880615,0.3766075372695923,idd
430,nleep,vgallery,-1.5488414764404297,0.3705231547355652,idd
431,nleep,isprs,-1.677910566329956,0.3619232177734375,idd
