Code	Locale	What is your level of proficiency with the target language?	"Does the target language use abbreviations formed from the first character of each word in a phrase (e.g., ""NATO"" <  ""North American Treaty Organization"", ""CIA"" < ""Central Intelligence Agency"")?"	Please provide 2-3 examples of abbreviations formed from the first character of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed from the first syllable of each word in a phrase (e.g., ""FiDi"" < ""Financial District"", ""ForEx"" < ""foreign exchange"")?"	Please provide 2-3 examples of abbreviations formed from the first syllable of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words (e.g., ""Col."" < ""Colonel"", ""Ave."" < ""Avenue"")?"	Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes (e.g., Australian English ""footie"" < ""football"", with an -ie augment, ""ambo"" < ""ambulance"" with an -o augment)?"	"Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)"	"Does the target language use abbreviations formed by deleting characters (e.g., particularly vowels) from the middle of words (e.g., ""Blvd."" < ""Boulevard"", ""Sgt."" < ""Sergeant"")?"	Please provide 2-3 examples of abbreviations formed by deleting characters from the middle of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any orthographic tricks to mark the inflection of abbreviations (e.g., Spanish ""'EE UU."" < ""Estados Unidos"" 'United States', with the doubling used to indicate that the abbreviation is plural)?"	Please provide 2-3 examples of inflected abbreviations in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any particular orthographic tricks to abbreviate reduplication (e.g., Indonesian ""orang2"" < ""orangorang"" 'people', with ""2"" used to indicate reduplication)? Answer ""No"" if the target language does not have productive reduplication."	Please provide 2-3 examples of abbreviations for reduplication in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	Does the target language use any other style of abbreviation not yet covered?	Please provide 2-3 examples of these other style or styles, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to discussions of other styles of abbreviation in the target language.)
hi	Hindi	4	Yes	(Full) हरि नगर डिपो (Abbreviated form) ह न डिपो (English gloss) Hari Nagar Depot	Yes	(Full form): भारतीय जनता पार्टी (Abbreviated) भा जा पा  (English): Bharatiya Janata Party	No		No		No		No		No		No	
nl	Dutch	5	Yes	AFM - Autoriteit Financiële Markten (Authority on Financial Markets, a regulator) RTL - Radio Televisie Luxemburg (Radio Television Luxembourg, a broadcaster) VWA - Voedsel en Waren Autoriteit (Food and Goods Authority, the equivalent of the FDA)	Yes	CaDo: Calamiteitendoorgang (special access ramps for emergency services to enter tunnels or highways) Rabobank: Raiffeisen-Boerenleenbank (a farmers' bank)	Yes	Kol. - Kolonel (colonel) Prof. - Professor (professor)	No		Yes	"Heiwg --> Heiweg (""road"" = ""weg"", eliding the ""e"" there) common pattern in street names like ""laan"" which becomes ""ln"": Eikenlaan -> Eikenln (Oak Ln/Oak Lane)"	No		No		No	
ml	Malayalam	5	No		No		Yes	സഖാ, സഖാവ്, sakhaavu ഗവ, ഗവണ്മെൻ്റ്, government	No		No		No		No		Yes	It uses abbreviation used in English by pronouncing that each letter specifically. example:  US, യുഎസ്, /yu.es/ 
tr	Turkish	5	Yes	ODTÜ: Orta Doğu Teknik Üniversitesi - Middle East Technical University, ABD: Amerika Birleşik Devletleri - America United States, TDK: Türk Dil Kurumu - Turkish Language Association 	Yes	 PETKİM: petrokimya - petrochemical, YURTKUR: yurtlar kurumu - dormitories association 	Yes	müh: mühendislik - engineering, sok: sokak - road, ekon: ekonomi - economy	No		Yes	sk: sokak - road, çvş: çavuş - sergeant, yrd: yardımcı - assistant	No		No		No	
ur	Urdu	3	No		No		No		No		No		No		No		No	
ur	Urdu	5	No		Yes	A.S: Assalaamu Alaikum - Greetings, R.a.h: Rahmatullah Alaihi: Mercy be upon	Yes	Hz: Hafiz - Memorised, Al: Aalim - Scholar	No		No		No		No		No	
ar-ms	Arabic (Modern Standard)	4	No		No		Yes	(ص)  صلى الله عليه سلم  (ر) رضي الله عنه 	No		No		No		No		No	
es	Spanish	3	No		No		No		No		No		No		No		No	
ur	Urdu	5	No		No		No		No		No		No		No		No	
ur	Urdu	5	No		No		No		No		No		No		No		No	
ur	Urdu	5	No		No		No		No		No		No		No		No	
ar-ms	Arabic (Modern Standard)	5	No		No		No		No		Yes	Root words can be used, but not for abbreviations! 	No		No		Yes	"*ح = حديث (in arabic)   م = مونث    مث  = مثني                                                                                                                   etc (Et cetera) = إلخ (إلي آخر )       *Also Depends on the definition of ""abbreviation"". For example, Hamas and Fatah (the main political parties in Palestine) are both acronyms. Fatah is actually a reverse acronym. Please find the links below: https://en.wikipedia.org/wiki/Hamas#Etymology https://en.wikipedia.org/wiki/Fatah#Etymology  *Sometimes the abbreviation can be used in Arabic but the full form of the word will be translated into Arabic.  e.g. 1. BBC (British Broadcasting Corporation) = بي بي سي (هيت الإذاعة البريطانية) 2. NATO (North Atlantic Treaty Organisation) = ناتو (حلف شمال الأطلسي)  * KM = كم    CM = سم    MM = مم    KG = كج    M = م   "
hi	Hindi	5	No		No		No		No		No		No		No		No	
it	Italian	4	Yes	NATO - L'Organizzazione del Trattato del Nord Atlantico  USA - Stati Uniti d'America UNO - Organizzazione delle Nazioni Unite	Yes	ing., ingg -ingegnere, ingegneri (engineer) prof., proff- professore, professori (professor) 	Yes	ca.circa - (circle) -generally used in the mentioning the address. example: street no 22, Baldini circle. add. addendum -(addendum )-item of additional material added at the end of a book or other publication.	No		No		Yes	USA -Stati Uniti d'America UNO-Organizzazione delle Nazioni Unite	Yes	Tedesco -German indiano -Indian	No	
hi	Hindi	4	No		No		No		No		No		No		No		No	
es	Spanish	3	No		No		No		No		No		Yes	fds = Fin de semana (Weekend),pti = Para tu información (FYI – for your information),cdt = Cuídate.  (Take care. “of yourself”). 	Yes	j is jota, b is v, ll is ya	No	
ar-ms	Arabic (Modern Standard)	4	No		No		No		No		No		No		No		No	
ar-ms	Arabic (Modern Standard)	4	No		No		No		No		No		No		No		Yes	ش ذ م م : شركة ذات مسؤولية محدودة م .ذ.ش.و.ذ.م.م  :  المؤسسة ذات الشخص الوحيد و ذات مسؤولية محدودة 
ja	Japanese	4	No		No		Yes	リモコン is abbreviated for original word リモートコントロール-Remote control(English meaning) 携帯 is abbreviated for original word 携帯電話-Mobile phone(English Meaning) アメフト is abbreviated for original word アメリカン・フットボール-American football(English meaning)	Yes	Truncated word メアド for Email address(English word) Truncated word スーパー for Super market(English word) Truncated word ホモ for Homosexual(English word) Augmentated word パソコン for Personal computer(English word)	No		Yes	シーエム(CM) -commercial message(English meaning) ブイティーアール(VTR)-Video tape recording(English meaning) オーエル (OL)-Office Lady(English meaning) There is no direct JP to JP word ainflection as we have in English language like EE UU-Estados Unidos United States 	Yes	別々-Separately(English word) Here 々 is the reduplication word 人々-People(English word) Here 々 is the reduplication word 様々-Various(English word) Here 々 is the reduplication word 	Yes	Long Kanji names-- Kanji name 日経 is short word for full kanji  日本経済新聞(Nihon Keizai Shinbun) meaning Japan Economic Times(English word) 
ja	Japanese	4	No		No		No		No		No		No		No		No	
ru	Russian	4	Yes	БЧБ:  бе́ло-червоный-белый 	Yes	 ГЛОНА́ССа : ГЛОба́льная НАвигацио́нная Спу́тниковая Систе́ма	Yes	 грампласти́нка : граммофо́нная пласти́нка нардеп: наро́дный депута́т	Yes	госзака́за: госуда́рственный зака́з местко́ма:ме́стный комите́т	Yes	д.-в.-н. : древневерхненеме́цкий зпт:запятая	No		No		No	
ru	Russian	3	No		Yes	Госдума -Госуда́рственная ду́ма  комсомо́л-Коммунисти́ческий сою́з молодёжи	Yes	 грампласти́нка : граммофо́нная пласти́нка нардеп: наро́дный депута́т 	Yes	 госзака́за: госуда́рственный зака́з  местко́ма:ме́стный комите́т 	Yes	д.-в.-н. : древневерхненеме́цкий зпт:запятая	No		No		No	
en	English	4	Yes	ISRO - Indian Space Research Organisation, CBI - Central Bureau of Investigation.	Yes	CAPEX - Capital Expenditure, Com. - Commission	Yes	Brig Gen - Brigadier General, MAJ - Major	No		Yes	Pvt - Private, Ltd - Limited.	No		No		No	
ru	Russian	5	Yes	(i)ФВР -Федеральное Бюро Расследований (ii)ЕРП-Планирование ресурсов предприятия	Yes	(i)МИВИ-Множественное нарушение зрения нарушение зрения 	Yes	(i)АДД-АДРЕС 	Yes	Еда-Гурман  ,танец-танцор	Yes	ПМ-ПРИМЕР, 	Yes	ЕЕ:-Расширенное эссе, UU-Ольстер Юнионист	Yes	пока-пока ,отбивная котлета.	No	
ja	Japanese	3	No		No		No		No		No		No		No		No	
bn	Bengali	5	No		No		No		No		No		No		No		No	
hi	Hindi	5	No		No		No		No		No		No		No		No	
pt-pt	Portuguese (European)	3	No		No		Yes	avenida (av) jardim (jd)   francisco (fran) professora (prof)	Yes	voce vc  abs abracos	Yes	voce vc porque pq bora (vamos embora)	No		No		No	
pt-pt	Portuguese (European)	3	No		No		Yes	Avenida- AV. , Obrigado-Obg. , Doutor- Dr.	No		Yes	voce- vc , professor - prof.	No		No		No	
pt-pt	Portuguese (European)	3	No		No		Yes	Obrigado , avenida , doutor 	No		Yes	Doutor, Voce, Professor	No		No		No	
ml	Malayalam	5	No		No		No		No		No		No		No		Yes	ബഹുമാനപെട്ട  :  ബഹു ,  സഖാവ് : സ: , സ്വന്തം ലേഖകൻ : സ്വ ലെ 
ml	Malayalam	5	Yes	evde-evide(where), pk-pinne kanam(see you later)	No		No		No		No		No		No		No	
bn	Bengali	5	Yes	su-parbhat = SP, subho janmodin = SJ	No		No		No		No		No		No		No	
pt-pt	Portuguese (European)	5	No		No		No		No		No		No		No		No	
nl	Dutch	3	No		No		No		No		No		No		No		No	
ko	Korean	5	No		Yes	전경련(전국경제인연합회)(The Federation of Korean Industries), 노조(노동조합)(Labor Union)	No		No		No		No		No		No	
id	Indonesian	5	Yes	PLN: Perusahaan Listrik Negara, BPN: Badan Pertanahan Nasional, PPKM: Pemberlakukan Pembatasan Kegiatan Masyarakat.	Yes	Kemenkeu: Kementerian Keuangan, Jateng: Jawa Tengah, Bappenas: Badan Perencanaan Pembangunan Nasional.	Yes	Kab: Kabupaten, Faks: Faksimile, No: Nomor.	No		Yes	drg: dokter gigi, bpk: bapak.Gg: gang.	No		Yes	makan2, jalan2, hati2.	Yes	tap: ketetapan, hansip: pertahanan sipil, hubla: perhubungan laut
ko	Korean	5	No		Yes	과기부: 과학기술정보통신부 Ministry(부) of Science(과) and ICT(기) 집시법: 집회 및 시위에 관한 법률 Enforcement decree(법) of the assembly(집) and demonstration(시) ACT 고대: 고려대학교 Korea(고) University(대)	No		No		Yes	샘/쌤: 선생님 Teacher 극혐: 극도로 혐호 Really hate/dislike 취존: 취향입니다. 존중해주세요 it's my taste. Please respect.	No		No		Yes	Using a mix of languages into Korean 노(No - English)잼(Fun-Korean) - Not fun 낫(Not - English)닝겐(Human-Japanses) - Not Human 핵(Main/real-Korean)인싸(Insider-English) - Real insider
ko	Korean	5	Yes	한국,대한민국,South Korea / 대학,대학교,University	No		No		No		No		No		No		No	
