LigandId,DockingScore,Smiles,dG,dGError
65,-8.914,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cc(CO)cc1Cl,6.121,0.47
66,-8.227,Cc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,11.682,0.451
67,-9.171,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(O)ccc1Cl,-2.812,0.443
68,-8.323,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cc(CF)cc1Cl,8.12,0.466
69,-9.053,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1ccccc1Cl,3.701,0.461
70,-8.977,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,8.781,0.507
71,-8.642,COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,-0.432,0.472
72,-8.277,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(F)c1Cl,-0.109,0.443
73,-8.55,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCCCC3)c2)c(Cl)c1,6.681,0.483
74,-9.218,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,4.306,0.457
75,-8.681,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c1Cl,12.365,0.455
76,-8.326,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(Cl)ccc1F,4.438,0.445
77,-8.114,Nc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,16.295,0.457
78,-8.591,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1Cl,11.498,0.471
79,-8.622,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(F)cc1Cl,6.384,0.454
80,-8.051,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1ccc(F)cc1Cl,6.509,0.467
81,-8.714,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c(Cl)c1,9.829,0.47
82,-8.264,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccc(Cl)cc1F,6.943,0.446
83,-8.699,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(Cl)cc(Cl)cc1Cl,-2.286,0.465
84,-8.47,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(F)ccc(F)c1Cl,-0.462,0.449
85,-8.607,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1cc(Cl)ccc1Cl,-2.331,0.456
86,-8.251,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,7.966,0.478
87,-8.241,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,9.705,0.466
88,-8.051,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCCC2)c1,11.6,0.494
89,-8.826,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(Cl)cc(CO)cc1Cl,10.238,0.482
90,-8.983,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(Cl)cc(CO)cc1Cl,12.008,0.493
91,-8.361,O=C(Nc1ccnc(NC(=O)C2CCCCC2)c1)c1c(Cl)cc(CO)cc1Cl,10.628,0.502
92,-8.819,CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(=O)C3CC3)cc2Cl)ccn1,6.394,0.527
93,-9.025,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1cc(O)ccc1Cl,5.214,0.469
94,-8.405,Cc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1,7.018,0.467
95,-8.047,COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,5.284,0.485
96,-9.32,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cc(O)ccc1Cl,0.004,0.454
97,-8.386,O=C(Nc1ccnc(NC(=O)C2CCCCC2)c1)c1cc(O)ccc1Cl,1.2,0.481
98,-8.312,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cc(Cl)ccc1F,6.058,0.449
99,-8.563,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,11.016,0.452
100,-9.185,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(F)cccc1Cl,-6.199,0.445
101,-8.861,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(Cl)cc(Cl)cc1Cl,0.904,0.477
102,-8.104,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cccc(F)c1Cl,3.794,0.453
103,-9.158,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1c(F)cccc1Cl,-8.834,0.448
104,-8.256,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(Cl)cc1F,10.887,0.458
105,-9.043,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1c(F)cccc1Cl,-1.892,0.446
106,-8.3,CC(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(=O)C3CC3)cc2Cl)ccn1,8.693,0.511
107,-8.469,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1ccc(Cl)cc1Cl,2.863,0.463
108,-9.664,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1c(Cl)cc(NC(=O)C2CC2)cc1Cl,9.29,0.521
109,-8.279,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1cccc(Cl)c1,3.732,0.45
110,-8.501,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cc(Cl)ccc1Cl,-4.067,0.453
111,-8.584,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(F)ccc(F)c1Cl,1.61,0.454
112,-9.601,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1c(F)cccc1Cl,-3.602,0.446
113,-9.316,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c(Cl)c1,-1.038,0.466
114,-8.133,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(F)ccc(F)c1Cl,2.89,0.467
115,-9.304,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1ccccc1Cl,-8.193,0.441
116,-8.572,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1ccccc1Cl,-2.074,0.444
117,-8.664,O=C1CC(C(=O)Nc2cc(NC(=O)c3ccccc3Cl)ccn2)C1,-1.423,0.451
118,-8.687,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cc(Cl)ccc1Cl,-0.943,0.452
119,-8.415,COc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c1,3.442,0.461
120,-8.534,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(O)c1Cl,3.894,0.446
121,-8.166,Cc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,7.632,0.447
122,-8.541,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,13.686,0.45
123,-8.169,NC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(F)cccc2Cl)ccn1,-3.657,0.468
124,-8.782,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccc(O)cc1Cl,-2.299,0.445
125,-8.521,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,10.11,0.455
126,-8.223,O=C(Nc1ccnc(NC(=O)C2CCOC2)c1)c1ccccc1Cl,4.33,0.458
127,-8.13,Cc1cc(Cl)ccc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,12.575,0.454
128,-8.902,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,6.1,0.446
129,-8.694,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1cc(Cl)ccc1Cl,0.409,0.464
130,-8.278,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1c(Cl)cccc1Br,4.343,0.459
131,-8.684,CC1CC1C(=O)Nc1cc(NC(=O)c2ccccc2Cl)ccn1,-0.957,0.451
132,-8.782,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(F)cccc1F,-1.437,0.432
133,-8.387,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1ccc(Cl)cc1Cl,9.065,0.458
134,-8.246,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cccc(Cl)c1,3.372,0.445
135,-9.553,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1c(F)cccc1Cl,-0.341,0.452
136,-9.415,O=C(Nc1cc(NC(=O)C2CCCC2)ncc1F)c1c(F)cccc1Cl,-0.908,0.467
137,-9.103,O=C(Nc1cc(NC(=O)C2CCCC2)ncc1F)c1ccccc1Cl,-0.653,0.461
138,-9.174,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c(Cl)c1,-1.086,0.459
139,-9.253,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1ccccc1Cl,-5.855,0.454
140,-8.505,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1ccc(Cl)cc1Cl,9.236,0.455
141,-8.411,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c(Cl)c1,1.87,0.477
142,-9.418,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c(Cl)c1,-0.811,0.458
143,-8.092,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cccc(Cl)c1,7.673,0.447
144,-9.093,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC(O)C2)c1,10.67,0.466
145,-8.104,COc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1,12.186,0.475
146,-9.047,O=C(Nc1ccnc(NC(=O)C2CC2CO)c1)c1c(Cl)cccc1Cl,-3.501,0.466
147,-9.334,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(F)cccc1Cl,-2.982,0.466
148,-9.1,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1c(Cl)cc(Cl)cc1Cl,5.449,0.461
149,-8.314,O=C1CC(C(=O)Nc2cc(NC(=O)c3c(Cl)cc(Cl)cc3Cl)ccn2)C1,5.805,0.472
150,-8.303,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1c(Cl)cc(Cl)cc1Cl,6.389,0.463
151,-8.022,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1ccc(Cl)cc1,9.964,0.446
152,-8.455,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1c(Cl)cccc1Br,6.574,0.458
153,-8.621,O=C(Nc1ccnc(NC(=O)C(F)F)c1)c1c(Cl)cc(NC(=O)C2CC2)cc1Cl,4.227,0.518
154,-8.844,N#CC1CC1C(=O)Nc1cc(NC(=O)c2ccccc2Cl)ccn1,6.908,0.456
155,-8.388,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1cccc(Cl)c1,8.225,0.457
156,-8.837,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(O)cc1Cl,1.421,0.458
157,-8.685,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(Cl)cccc1Br,-1.361,0.455
158,-8.64,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC(O)C3)c2)c(Cl)c1,5.552,0.482
159,-8.021,Cc1cc(Cl)ccc1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,14.259,0.472
160,-8.662,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1cccc(O)c1Cl,6.112,0.47
161,-9.408,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC(O)C3)c2)c(Cl)c1,2.159,0.476
162,-8.315,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cccc(O)c1Cl,5.611,0.459
163,-8.751,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1ccc(Cl)cc1Cl,6.414,0.473
164,-8.281,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,11.728,0.463
165,-8.49,O=C(Nc1ccnc(NC(=O)C2CCCCC2)c1)c1cccc(O)c1Cl,7.588,0.483
166,-8.278,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1ccc(O)cc1Cl,1.359,0.468
167,-8.583,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c(Cl)c1,11.436,0.475
168,-8.186,Nc1ccccc1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,20.575,0.446
169,-8.701,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(F)cccc1F,1.848,0.459
170,-8.834,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(F)cccc1F,-1.906,0.446
171,-8.7,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cc(F)ccc1Cl,1.072,0.445
172,-8.397,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c(Cl)c1,6.566,0.471
173,-8.663,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1cc(F)ccc1Cl,-6.013,0.451
174,-8.243,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,8.134,0.458
175,-8.527,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c(Cl)c1,5.488,0.469
176,-8.469,O=C(Nc1ccnc(NC(=O)C2CCCO2)c1)c1c(Cl)cccc1Cl,4.768,0.47
177,-8.472,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1ccc(Cl)cc1,13.17,0.46
178,-8.823,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c1,-5.123,0.453
179,-8.789,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cc(F)ccc1Cl,1.079,0.446
180,-8.701,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(F)cc(F)cc1F,-1.91,0.439
181,-8.031,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1ccccc1,9.412,0.44
182,-8.863,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(Cl)cccc1Br,1.597,0.468
183,-9.487,CC(=O)NCC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,0.305,0.504
184,-8.456,CC(O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,8.582,0.487
185,-8.305,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1cc(Cl)ccc1Cl,3.13,0.455
186,-8.995,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1cc(Cl)ccc1Cl,-7.885,0.447
187,-9.251,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1cc(F)ccc1Cl,-4.061,0.445
188,-8.104,O=C1CC(C(=O)Nc2cc(NC(=O)c3cc(Cl)ccc3Cl)ccn2)C1,-2.216,0.464
189,-8.852,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,0.683,0.459
190,-8.347,COc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,17.2,0.458
191,-8.456,COc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,8.277,0.465
192,-8.263,COC(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(=O)C3CC3)cc2Cl)ccn1,2.749,0.514
193,-8.229,COc1cc(Cl)cc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,10.738,0.469
194,-8.765,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,11.722,0.454
195,-8.428,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(F)c1F,1.558,0.433
196,-8.352,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccccc1F,7.256,0.441
197,-8.525,Cc1cccc(C)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,14.361,0.452
198,-8.063,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1ccccc1F,9.162,0.455
199,-8.055,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cccc(F)c1,7.701,0.442
200,-8.099,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1,13.3,0.459
201,-8.718,O=C(Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1)NC1CC1,-7.6,0.458
202,-8.367,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c1,12.333,0.446
203,-8.512,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1cccc(Cl)c1F,-0.744,0.454
204,-8.486,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c(Cl)c1,12.197,0.472
205,-8.504,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2COC2)c1,10.362,0.451
206,-8.482,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC(=O)C2)c1,9.773,0.46
207,-8.354,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,14.354,0.45
208,-8.815,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c1,5.598,0.451
209,-8.788,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1c(F)cccc1Cl,-1.455,0.451
210,-8.437,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cccc(Cl)c1F,9.618,0.45
211,-8.581,N#CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(Cl)cc2Cl)ccn1,-3.102,0.472
212,-8.129,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,15.433,0.453
213,-8.992,O=C1CC(C(=O)Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)C1,-2.814,0.459
214,-8.64,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cccc(Cl)c1F,-2.133,0.445
215,-8.619,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c(Cl)c1,10.417,0.469
216,-8.508,CC1CC1C(=O)Nc1cc(NC(=O)c2cc(Cl)ccc2Cl)ccn1,2.941,0.46
217,-9.08,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c1,0.027,0.447
218,-9.211,Nc1cccc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC2)ncc1F,1.492,0.446
219,-8.691,CC(O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,7.777,0.496
220,-8.332,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(F)cc(F)cc1F,6.424,0.462
221,-8.489,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)cc1,18.543,0.462
222,-8.808,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(F)cc(F)cc1F,6.574,0.449
223,-8.641,O=C(Nc1ccnc(NC(=O)C2CCCCC2)c1)c1c(F)cc(F)cc1F,10.095,0.472
224,-8.042,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(F)cc1,16.114,0.444
225,-8.601,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)cc1,14.271,0.448
