methodA,methodB,originalName,answerValue
jpegli-q90-yuv444,jpegli-q85-yuv444,3156482,B
jpegli-q65-yuv444,jpegli-q60-yuv444,2079234,B
mozjpeg-q90-yuv444,jpegli-q90-yuv444,2736139,A
libjpeg-turbo-q70-yuv420,jpegli-q75-yuv444,7552578,A
libjpeg-turbo-q60-yuv420,jpegli-q60-yuv444,164595,B
jpegli-q95-yuv444,jpegli-q95-yuv420,70497,B
jpegli-q95-yuv444,jpegli-q85-yuv444,21169144185_3f7977cb5a_o,B
mozjpeg-q80-yuv422,libjpeg-turbo-q90-yuv444,164595,A
mozjpeg-q85-yuv422,jpegli-q70-yuv420,adriankierman-report-page,B
mozjpeg-q75-yuv420,jpegli-q70-yuv444,1475938,A
libjpeg-turbo-q65-yuv420,jpegli-q65-yuv420,159550,A
mozjpeg-q80-yuv422,jpegli-q85-yuv420,adriankierman-report-page,A
jpegli-q80-yuv420,jpegli-q65-yuv444,6292444,A
mozjpeg-q90-yuv444,mozjpeg-q85-yuv422,1418519,A
libjpeg-turbo-q60-yuv420,jpegli-q75-yuv420,1044329,A
libjpeg-turbo-q60-yuv420,libjpeg-turbo-q55-yuv420,6292444,A
mozjpeg-q75-yuv420,jpegli-q75-yuv420,3156482,A
libjpeg-turbo-q75-yuv420,libjpeg-turbo-q70-yuv420,3762075,B
mozjpeg-q95-yuv444,libjpeg-turbo-q95-yuv444,pexels-photo-2802032,A
mozjpeg-q80-yuv422,libjpeg-turbo-q60-yuv420,6078297,B
libjpeg-turbo-q55-yuv420,jpegli-q65-yuv420,373965,A
jpegli-q85-yuv420,jpegli-q80-yuv420,3316926,B
jpegli-q80-yuv444,jpegli-q65-yuv420,7552578,B
libjpeg-turbo-q85-yuv422,jpegli-q80-yuv420,2775196,B
jpegli-q65-yuv444,jpegli-q65-yuv420,5458393,B
jpegli-q90-yuv444,jpegli-q70-yuv420,3637739,B
jpegli-q80-yuv444,jpegli-q75-yuv420,1544947,A
libjpeg-turbo-q85-yuv422,jpegli-q55-yuv444,ularapi_Semarang_City_Logo,A
mozjpeg-q95-yuv444,mozjpeg-q80-yuv422,159550,B
libjpeg-turbo-q95-yuv444,jpegli-q95-yuv420,1420710,A
libjpeg-turbo-q75-yuv420,libjpeg-turbo-q70-yuv420,2887497,A
libjpeg-turbo-q70-yuv420,jpegli-q70-yuv444,792079,A
mozjpeg-q75-yuv420,jpegli-q55-yuv444,pexels-photo-4210863,A
libjpeg-turbo-q65-yuv420,jpegli-q95-yuv444,2389166,A
libjpeg-turbo-q85-yuv422,jpegli-q85-yuv444,1475938,A
libjpeg-turbo-q70-yuv420,jpegli-q80-yuv420,164595,A
jpegli-q85-yuv420,jpegli-q80-yuv420,1189261,B
jpegli-q85-yuv420,jpegli-q65-yuv444,2736139,B
jpegli-q85-yuv444,jpegli-q80-yuv444,2079234,B
mozjpeg-q85-yuv422,libjpeg-turbo-q75-yuv420,3762075,A
libjpeg-turbo-q85-yuv422,jpegli-q90-yuv420,3653963,B
libjpeg-turbo-q90-yuv444,jpegli-q75-yuv420,1279330,B
mozjpeg-q70-yuv420,libjpeg-turbo-q55-yuv420,6078297,A
libjpeg-turbo-q80-yuv422,jpegli-q75-yuv420,1420710,B
mozjpeg-q85-yuv422,jpegli-q65-yuv444,3316926_opo25u,A
mozjpeg-q85-yuv422,libjpeg-turbo-q85-yuv422,ularapi_Semarang_City_Logo,A
libjpeg-turbo-q65-yuv420,jpegli-q70-yuv444,2670327,A
mozjpeg-q90-yuv444,jpegli-q70-yuv444,adriankierman-report-page,B
libjpeg-turbo-q70-yuv420,libjpeg-turbo-q55-yuv420,2936831,B
libjpeg-turbo-q75-yuv420,jpegli-q70-yuv444,159550,A
jpegli-q75-yuv444,jpegli-q70-yuv444,3637739,B
jpegli-q85-yuv420,jpegli-q60-yuv444,3653963,B
mozjpeg-q75-yuv420,libjpeg-turbo-q70-yuv420,2079234,B
mozjpeg-q90-yuv444,libjpeg-turbo-q85-yuv422,2775196,B
mozjpeg-q70-yuv420,jpegli-q75-yuv420,1279330,A
libjpeg-turbo-q75-yuv420,libjpeg-turbo-q70-yuv420,2670327,A
mozjpeg-q70-yuv420,libjpeg-turbo-q70-yuv420,pexels-photo-2802032,B
jpegli-q90-yuv420,jpegli-q75-yuv444,6292444,A
jpegli-q70-yuv420,jpegli-q65-yuv420,1531677,B
libjpeg-turbo-q70-yuv420,jpegli-q55-yuv444,1624487,A
libjpeg-turbo-q75-yuv420,jpegli-q55-yuv444,pexels-photo-1933873,A
libjpeg-turbo-q70-yuv420,libjpeg-turbo-q55-yuv420,3637739,A
libjpeg-turbo-q75-yuv420,libjpeg-turbo-q65-yuv420,1279330,A
libjpeg-turbo-q55-yuv420,jpegli-q60-yuv444,2887497,A
jpegli-q80-yuv420,jpegli-q75-yuv444,adriankierman-report-page,A
libjpeg-turbo-q85-yuv422,jpegli-q85-yuv444,2389166,A
mozjpeg-q70-yuv420,jpegli-q90-yuv420,1189261,A
mozjpeg-q85-yuv422,jpegli-q80-yuv444,2775196,A
jpegli-q95-yuv444,jpegli-q90-yuv444,adriankierman-report-page,B
libjpeg-turbo-q75-yuv420,jpegli-q75-yuv420,792079,A
mozjpeg-q80-yuv422,jpegli-q75-yuv444,1624487,A
mozjpeg-q75-yuv420,libjpeg-turbo-q55-yuv420,2190188,B
mozjpeg-q70-yuv420,libjpeg-turbo-q70-yuv420,792079,B
mozjpeg-q80-yuv422,libjpeg-turbo-q55-yuv420,1044329,B
mozjpeg-q75-yuv420,libjpeg-turbo-q75-yuv420,162520,A
jpegli-q70-yuv444,jpegli-q70-yuv420,2736139,B
mozjpeg-q85-yuv422,jpegli-q90-yuv420,3762075,A
mozjpeg-q70-yuv420,libjpeg-turbo-q70-yuv420,adriankierman-report-page,B
mozjpeg-q90-yuv444,mozjpeg-q80-yuv422,3156482,B
libjpeg-turbo-q85-yuv422,libjpeg-turbo-q80-yuv422,1418519,B
jpegli-q80-yuv420,jpegli-q70-yuv444,2079234,A
mozjpeg-q75-yuv420,mozjpeg-q70-yuv420,pexels-photo-2686358,A
libjpeg-turbo-q80-yuv422,jpegli-q95-yuv420,1279330,A
jpegli-q90-yuv420,jpegli-q80-yuv420,6078297,B
mozjpeg-q95-yuv444,jpegli-q70-yuv444,792079,B
jpegli-q95-yuv420,jpegli-q65-yuv444,373965,B
libjpeg-turbo-q90-yuv444,jpegli-q60-yuv444,162520,B
libjpeg-turbo-q80-yuv422,jpegli-q60-yuv444,3637739,B
libjpeg-turbo-q65-yuv420,jpegli-q90-yuv420,2253934,A
mozjpeg-q85-yuv422,jpegli-q75-yuv420,6292444,B
mozjpeg-q95-yuv444,jpegli-q60-yuv444,2887497,B
mozjpeg-q85-yuv422,jpegli-q70-yuv444,3316926_opo25u,B
libjpeg-turbo-q60-yuv420,jpegli-q55-yuv444,7062219,A
jpegli-q95-yuv420,jpegli-q70-yuv444,1044329,A
jpegli-q80-yuv420,jpegli-q65-yuv444,ularapi_Semarang_City_Logo,A
jpegli-q85-yuv444,jpegli-q55-yuv444,3316926_opo25u,B
jpegli-q95-yuv444,jpegli-q90-yuv444,pexels-photo-4210863,B
jpegli-q90-yuv420,jpegli-q70-yuv444,pexels-photo-2686358,B
mozjpeg-q90-yuv444,jpegli-q90-yuv444,2670327,B
libjpeg-turbo-q95-yuv444,jpegli-q95-yuv420,2389166,B
mozjpeg-q80-yuv422,jpegli-q95-yuv420,4215100,A
libjpeg-turbo-q85-yuv422,jpegli-q90-yuv444,844297,B
mozjpeg-q80-yuv422,libjpeg-turbo-q65-yuv420,373965,B
jpegli-q70-yuv420,jpegli-q60-yuv444,225228,B
jpegli-q95-yuv420,jpegli-q90-yuv420,1279330,A
jpegli-q85-yuv420,jpegli-q75-yuv420,pexels-photo-2686358,B
jpegli-q80-yuv420,jpegli-q75-yuv444,1531677,A
libjpeg-turbo-q80-yuv422,libjpeg-turbo-q75-yuv420,1531677,B
mozjpeg-q95-yuv444,libjpeg-turbo-q95-yuv444,3156482,B
mozjpeg-q75-yuv420,libjpeg-turbo-q65-yuv420,pexels-photo-4210863,B
libjpeg-turbo-q55-yuv420,jpegli-q60-yuv444,3316926_opo25u,A
mozjpeg-q95-yuv444,jpegli-q95-yuv444,1418519,B
mozjpeg-q85-yuv422,jpegli-q90-yuv420,2190188,A
mozjpeg-q90-yuv444,mozjpeg-q85-yuv422,164595,B
jpegli-q70-yuv420,jpegli-q65-yuv420,1189261,B
jpegli-q80-yuv420,jpegli-q60-yuv444,pexels-photo-2802032,B
libjpeg-turbo-q90-yuv444,libjpeg-turbo-q80-yuv422,3156482,B
jpegli-q85-yuv444,jpegli-q75-yuv444,pexels-photo-4210863,B
mozjpeg-q85-yuv422,jpegli-q90-yuv444,2190188,A
mozjpeg-q85-yuv422,jpegli-q65-yuv444,pexels-photo-1933873,B
jpegli-q85-yuv444,jpegli-q85-yuv420,844297,B
jpegli-q80-yuv444,jpegli-q60-yuv444,2079234,B
mozjpeg-q90-yuv444,jpegli-q80-yuv444,3316926_opo25u,B
mozjpeg-q95-yuv444,mozjpeg-q80-yuv422,2775196,B
jpegli-q85-yuv444,jpegli-q80-yuv444,pexels-photo-2686358,B
jpegli-q80-yuv444,jpegli-q75-yuv420,ularapi_Semarang_City_Logo,B
libjpeg-turbo-q70-yuv420,jpegli-q65-yuv420,1544947,B
libjpeg-turbo-q95-yuv444,jpegli-q85-yuv420,1279330,A
libjpeg-turbo-q95-yuv444,jpegli-q80-yuv444,297394,B
jpegli-q80-yuv444,jpegli-q70-yuv444,225228,B
jpegli-q70-yuv444,jpegli-q65-yuv420,5055743,B
libjpeg-turbo-q65-yuv420,libjpeg-turbo-q55-yuv420,7062219,B
mozjpeg-q90-yuv444,libjpeg-turbo-q85-yuv422,2670327,B
libjpeg-turbo-q95-yuv444,jpegli-q60-yuv444,1531677,B
mozjpeg-q85-yuv422,mozjpeg-q80-yuv422,pexels-photo-4210863,A
jpegli-q90-yuv420,jpegli-q80-yuv420,164595,B
jpegli-q90-yuv444,jpegli-q85-yuv420,1544947,A
jpegli-q90-yuv420,jpegli-q85-yuv444,844297,A
libjpeg-turbo-q85-yuv422,jpegli-q90-yuv420,844297,A
mozjpeg-q75-yuv420,jpegli-q70-yuv444,2079234,A
libjpeg-turbo-q70-yuv420,jpegli-q75-yuv444,pexels-photo-2686358,A
libjpeg-turbo-q80-yuv422,libjpeg-turbo-q60-yuv420,225228,B
mozjpeg-q80-yuv422,jpegli-q60-yuv444,3316926_opo25u,B
jpegli-q70-yuv444,jpegli-q70-yuv420,3653963,B
mozjpeg-q75-yuv420,jpegli-q65-yuv420,1544947,A
jpegli-q90-yuv444,jpegli-q85-yuv444,792079,B
jpegli-q75-yuv444,jpegli-q75-yuv420,5055743,B
libjpeg-turbo-q80-yuv422,libjpeg-turbo-q70-yuv420,1544947,B
mozjpeg-q85-yuv422,jpegli-q95-yuv420,2887497,A
libjpeg-turbo-q75-yuv420,jpegli-q75-yuv444,2936831,B
libjpeg-turbo-q75-yuv420,libjpeg-turbo-q60-yuv420,1044329,B
jpegli-q75-yuv420,jpegli-q70-yuv420,adriankierman-report-page,B
libjpeg-turbo-q65-yuv420,jpegli-q80-yuv420,164595,A
libjpeg-turbo-q60-yuv420,jpegli-q65-yuv444,2079234,A
jpegli-q95-yuv420,jpegli-q80-yuv420,4215100,B
mozjpeg-q70-yuv420,jpegli-q80-yuv420,3316926_opo25u,A
libjpeg-turbo-q90-yuv444,jpegli-q65-yuv444,pexels-photo-2802032,B
libjpeg-turbo-q55-yuv420,jpegli-q75-yuv444,3316926,A
mozjpeg-q95-yuv444,jpegli-q85-yuv420,3637739,B
jpegli-q75-yuv444,jpegli-q55-yuv444,70497,B
jpegli-q70-yuv444,jpegli-q65-yuv420,2253934,B
libjpeg-turbo-q55-yuv420,jpegli-q75-yuv444,6078297,A
mozjpeg-q95-yuv444,jpegli-q95-yuv444,1025469,B
libjpeg-turbo-q90-yuv444,jpegli-q80-yuv444,792079,B
libjpeg-turbo-q65-yuv420,jpegli-q65-yuv444,1531677,B
mozjpeg-q85-yuv422,jpegli-q90-yuv420,382297,B
libjpeg-turbo-q80-yuv422,jpegli-q90-yuv420,3762075,A
jpegli-q80-yuv420,jpegli-q75-yuv420,2936831,B
mozjpeg-q80-yuv422,jpegli-q65-yuv444,1044329,A
jpegli-q95-yuv444,jpegli-q75-yuv444,3653963,B
mozjpeg-q85-yuv422,jpegli-q65-yuv444,2079234,B
jpegli-q95-yuv420,jpegli-q90-yuv420,2736139,A
libjpeg-turbo-q85-yuv422,jpegli-q60-yuv444,2389166,B
libjpeg-turbo-q85-yuv422,libjpeg-turbo-q65-yuv420,21169144185_3f7977cb5a_o,B
libjpeg-turbo-q90-yuv444,jpegli-q95-yuv444,adriankierman-report-page,A
mozjpeg-q70-yuv420,jpegli-q95-yuv420,164595,A
libjpeg-turbo-q65-yuv420,jpegli-q70-yuv420,5458393,A
libjpeg-turbo-q85-yuv422,libjpeg-turbo-q80-yuv422,2389166,B
jpegli-q75-yuv420,jpegli-q60-yuv444,3653963,B
jpegli-q95-yuv444,jpegli-q95-yuv420,6078297,A
libjpeg-turbo-q95-yuv444,libjpeg-turbo-q90-yuv444,162520,B
mozjpeg-q80-yuv422,jpegli-q80-yuv444,162520,A
mozjpeg-q75-yuv420,jpegli-q60-yuv444,3762075,B
libjpeg-turbo-q85-yuv422,jpegli-q90-yuv444,pexels-photo-2802032,A
jpegli-q95-yuv444,jpegli-q85-yuv444,pexels-photo-4210863,B
jpegli-q85-yuv444,jpegli-q70-yuv420,2936831,B
libjpeg-turbo-q85-yuv422,jpegli-q85-yuv420,382297,B
libjpeg-turbo-q65-yuv420,jpegli-q70-yuv420,2936831,B
jpegli-q90-yuv420,jpegli-q85-yuv420,3156482,B
jpegli-q60-yuv444,jpegli-q55-yuv444,3762075,B
libjpeg-turbo-q85-yuv422,jpegli-q85-yuv444,2670327,A
mozjpeg-q80-yuv422,jpegli-q75-yuv420,pexels-photo-1933873,A
mozjpeg-q80-yuv422,jpegli-q70-yuv444,3316926_opo25u,B
jpegli-q80-yuv444,jpegli-q70-yuv444,2389166,B
libjpeg-turbo-q90-yuv444,jpegli-q80-yuv420,164595,B
libjpeg-turbo-q55-yuv420,jpegli-q70-yuv444,3156482,A
mozjpeg-q95-yuv444,mozjpeg-q90-yuv444,1189261,A
mozjpeg-q90-yuv444,jpegli-q75-yuv444,adriankierman-report-page,B
jpegli-q80-yuv420,jpegli-q60-yuv444,2887497,A
libjpeg-turbo-q95-yuv444,jpegli-q85-yuv420,70497,B
libjpeg-turbo-q80-yuv422,jpegli-q65-yuv444,pexels-photo-2802032,B
libjpeg-turbo-q95-yuv444,jpegli-q95-yuv444,2389166,A
jpegli-q80-yuv444,jpegli-q65-yuv444,2775196,B
mozjpeg-q75-yuv420,libjpeg-turbo-q95-yuv444,2190188,A
libjpeg-turbo-q55-yuv420,jpegli-q65-yuv444,3653963,A
jpegli-q70-yuv420,jpegli-q65-yuv444,2670327,A
libjpeg-turbo-q90-yuv444,jpegli-q70-yuv420,pexels-photo-2802032,B
mozjpeg-q85-yuv422,libjpeg-turbo-q85-yuv422,1624487,A
libjpeg-turbo-q60-yuv420,jpegli-q55-yuv444,2389166,A
mozjpeg-q85-yuv422,mozjpeg-q80-yuv422,6078297,B
jpegli-q80-yuv420,jpegli-q70-yuv420,3637739,B
jpegli-q70-yuv420,jpegli-q65-yuv420,3637739,B
mozjpeg-q80-yuv422,jpegli-q95-yuv420,adriankierman-report-page,B
libjpeg-turbo-q55-yuv420,jpegli-q65-yuv444,1279330,A
libjpeg-turbo-q95-yuv444,jpegli-q85-yuv444,6292444,B
libjpeg-turbo-q55-yuv420,jpegli-q55-yuv444,1624487,A
jpegli-q80-yuv444,jpegli-q65-yuv420,1624487,B
jpegli-q60-yuv444,jpegli-q55-yuv444,1624487,A
libjpeg-turbo-q75-yuv420,jpegli-q90-yuv444,6292444,A
mozjpeg-q75-yuv420,mozjpeg-q70-yuv420,1624487,B
mozjpeg-q95-yuv444,jpegli-q95-yuv420,3637739,B
libjpeg-turbo-q95-yuv444,libjpeg-turbo-q90-yuv444,7552578,B
mozjpeg-q85-yuv422,jpegli-q75-yuv444,3316926_opo25u,B
jpegli-q95-yuv420,jpegli-q75-yuv444,pexels-photo-2686358,B
libjpeg-turbo-q65-yuv420,jpegli-q55-yuv444,1624487,A
jpegli-q95-yuv444,jpegli-q95-yuv420,225228,B
jpegli-q65-yuv420,jpegli-q60-yuv444,adriankierman-report-page,A
jpegli-q80-yuv420,jpegli-q55-yuv444,2190188,A
libjpeg-turbo-q55-yuv420,jpegli-q55-yuv444,3316926_opo25u,A
jpegli-q95-yuv420,jpegli-q80-yuv444,7552578,B
libjpeg-turbo-q95-yuv444,libjpeg-turbo-q90-yuv444,6292444,B
libjpeg-turbo-q55-yuv420,jpegli-q65-yuv420,4215100,A
libjpeg-turbo-q55-yuv420,jpegli-q80-yuv420,3637739,A
libjpeg-turbo-q90-yuv444,libjpeg-turbo-q75-yuv420,6078297,B
libjpeg-turbo-q90-yuv444,jpegli-q95-yuv420,5458393,A
mozjpeg-q85-yuv422,libjpeg-turbo-q60-yuv420,2887497,B
jpegli-q90-yuv420,jpegli-q80-yuv444,792079,A
jpegli-q80-yuv444,jpegli-q75-yuv420,pexels-photo-2686358,B
libjpeg-turbo-q60-yuv420,jpegli-q60-yuv444,6292444,B
mozjpeg-q80-yuv422,jpegli-q70-yuv444,2670327,B
mozjpeg-q90-yuv444,mozjpeg-q85-yuv422,3637739,B
libjpeg-turbo-q70-yuv420,libjpeg-turbo-q55-yuv420,5458393,B
libjpeg-turbo-q95-yuv444,libjpeg-turbo-q85-yuv422,7062219,B
mozjpeg-q80-yuv422,jpegli-q75-yuv420,382297,B
jpegli-q85-yuv420,jpegli-q80-yuv444,2936831,A
jpegli-q70-yuv444,jpegli-q55-yuv444,21169144185_3f7977cb5a_o,B
libjpeg-turbo-q65-yuv420,jpegli-q70-yuv444,3316926_opo25u,A
mozjpeg-q85-yuv422,libjpeg-turbo-q80-yuv422,225228,B
libjpeg-turbo-q80-yuv422,jpegli-q80-yuv420,297394,B
libjpeg-turbo-q85-yuv422,jpegli-q90-yuv420,792079,A
jpegli-q95-yuv420,jpegli-q85-yuv444,2736139,B
libjpeg-turbo-q90-yuv444,jpegli-q85-yuv444,1279330,B
mozjpeg-q70-yuv420,jpegli-q55-yuv444,2936831,B
mozjpeg-q75-yuv420,libjpeg-turbo-q75-yuv420,3316926,B
libjpeg-turbo-q95-yuv444,jpegli-q90-yuv444,6078297,A
mozjpeg-q85-yuv422,jpegli-q80-yuv444,adriankierman-report-page,A
mozjpeg-q95-yuv444,jpegli-q95-yuv444,1044329,A
libjpeg-turbo-q95-yuv444,jpegli-q90-yuv444,1279330,B
mozjpeg-q95-yuv444,libjpeg-turbo-q95-yuv444,373965,A
libjpeg-turbo-q95-yuv444,libjpeg-turbo-q80-yuv422,2079234,B
mozjpeg-q90-yuv444,libjpeg-turbo-q95-yuv444,2775196,A
libjpeg-turbo-q55-yuv420,jpegli-q70-yuv420,pexels-photo-2802032,A
libjpeg-turbo-q85-yuv422,jpegli-q95-yuv444,792079,A
libjpeg-turbo-q85-yuv422,jpegli-q60-yuv444,ularapi_Semarang_City_Logo,A
jpegli-q95-yuv444,jpegli-q95-yuv420,2670327,B
mozjpeg-q90-yuv444,jpegli-q85-yuv420,2079234,A
libjpeg-turbo-q90-yuv444,jpegli-q80-yuv444,3637739,B
mozjpeg-q95-yuv444,mozjpeg-q85-yuv422,2775196,B
mozjpeg-q80-yuv422,jpegli-q70-yuv444,297394,A
jpegli-q65-yuv444,jpegli-q55-yuv444,7062219,B
mozjpeg-q90-yuv444,jpegli-q55-yuv444,1624487,B
jpegli-q95-yuv444,jpegli-q75-yuv420,2190188,B
libjpeg-turbo-q85-yuv422,jpegli-q70-yuv420,1418519,B
libjpeg-turbo-q75-yuv420,libjpeg-turbo-q70-yuv420,pexels-photo-4210863,B
jpegli-q95-yuv444,jpegli-q85-yuv420,3156482,B
mozjpeg-q75-yuv420,libjpeg-turbo-q75-yuv420,382297,A
jpegli-q85-yuv420,jpegli-q75-yuv420,1531677,B
jpegli-q90-yuv444,jpegli-q85-yuv444,164595,B
mozjpeg-q85-yuv422,jpegli-q80-yuv420,pexels-photo-1933873,A
libjpeg-turbo-q80-yuv422,jpegli-q70-yuv444,pexels-photo-4210863,A
jpegli-q90-yuv420,jpegli-q85-yuv444,1418519,B
mozjpeg-q95-yuv444,jpegli-q55-yuv444,1279330,B
libjpeg-turbo-q65-yuv420,jpegli-q85-yuv420,2670327,A
jpegli-q80-yuv444,jpegli-q60-yuv444,ularapi_Semarang_City_Logo,B
jpegli-q85-yuv420,jpegli-q80-yuv444,pexels-photo-1933873,A
mozjpeg-q85-yuv422,libjpeg-turbo-q90-yuv444,6292444,A
libjpeg-turbo-q80-yuv422,libjpeg-turbo-q65-yuv420,70497,B
mozjpeg-q80-yuv422,jpegli-q90-yuv420,2887497,A
libjpeg-turbo-q95-yuv444,jpegli-q80-yuv444,1531677,B
libjpeg-turbo-q90-yuv444,jpegli-q90-yuv444,7552578,B
libjpeg-turbo-q65-yuv420,jpegli-q70-yuv444,792079,A
mozjpeg-q80-yuv422,jpegli-q75-yuv420,2887497,B
libjpeg-turbo-q75-yuv420,jpegli-q65-yuv420,2936831,B
jpegli-q85-yuv420,jpegli-q80-yuv420,21169144185_3f7977cb5a_o,B
mozjpeg-q90-yuv444,libjpeg-turbo-q85-yuv422,2887497,B
libjpeg-turbo-q90-yuv444,jpegli-q95-yuv420,2775196,B
mozjpeg-q90-yuv444,jpegli-q80-yuv444,adriankierman-report-page,A
jpegli-q95-yuv420,jpegli-q90-yuv420,7552578,B
libjpeg-turbo-q75-yuv420,jpegli-q70-yuv420,3637739,A
libjpeg-turbo-q90-yuv444,libjpeg-turbo-q85-yuv422,ularapi_Semarang_City_Logo,B
mozjpeg-q90-yuv444,jpegli-q75-yuv420,2389166,B
libjpeg-turbo-q70-yuv420,jpegli-q70-yuv444,792079,A
jpegli-q95-yuv444,jpegli-q80-yuv444,1044329,B
mozjpeg-q75-yuv420,libjpeg-turbo-q85-yuv422,792079,A
libjpeg-turbo-q70-yuv420,libjpeg-turbo-q65-yuv420,6292444,B
libjpeg-turbo-q85-yuv422,jpegli-q80-yuv420,1475938,B
libjpeg-turbo-q85-yuv422,libjpeg-turbo-q60-yuv420,844297,B
libjpeg-turbo-q85-yuv422,jpegli-q85-yuv420,pexels-photo-2802032,A
mozjpeg-q95-yuv444,libjpeg-turbo-q95-yuv444,2079234,A
jpegli-q75-yuv420,jpegli-q70-yuv444,3637739,A
mozjpeg-q80-yuv422,jpegli-q85-yuv444,1624487,A
mozjpeg-q75-yuv420,jpegli-q65-yuv420,2736139,A
libjpeg-turbo-q65-yuv420,jpegli-q65-yuv420,297394,A
mozjpeg-q85-yuv422,jpegli-q95-yuv420,pexels-photo-2802032,A
jpegli-q85-yuv444,jpegli-q70-yuv444,164595,B
libjpeg-turbo-q80-yuv422,jpegli-q95-yuv420,7552578,A
mozjpeg-q85-yuv422,jpegli-q85-yuv444,2775196,A
libjpeg-turbo-q60-yuv420,jpegli-q75-yuv420,2936831,A
jpegli-q85-yuv444,jpegli-q85-yuv420,1420710,B
libjpeg-turbo-q90-yuv444,jpegli-q90-yuv420,ularapi_Semarang_City_Logo,B
jpegli-q95-yuv444,jpegli-q90-yuv444,ularapi_Semarang_City_Logo,A
mozjpeg-q80-yuv422,jpegli-q75-yuv420,pexels-photo-4210863,B
libjpeg-turbo-q60-yuv420,jpegli-q60-yuv444,2389166,A
libjpeg-turbo-q80-yuv422,jpegli-q80-yuv420,2079234,A
jpegli-q90-yuv420,jpegli-q70-yuv444,162520,B
mozjpeg-q80-yuv422,jpegli-q90-yuv444,159550,A
mozjpeg-q75-yuv420,jpegli-q80-yuv444,1025469,A
mozjpeg-q95-yuv444,libjpeg-turbo-q95-yuv444,1544947,A
libjpeg-turbo-q65-yuv420,jpegli-q80-yuv420,1279330,A
mozjpeg-q80-yuv422,libjpeg-turbo-q80-yuv422,3762075,B
libjpeg-turbo-q85-yuv422,jpegli-q75-yuv444,1418519,B
jpegli-q85-yuv420,jpegli-q65-yuv444,pexels-photo-4210863,A
libjpeg-turbo-q70-yuv420,libjpeg-turbo-q55-yuv420,ularapi_Semarang_City_Logo,B
libjpeg-turbo-q60-yuv420,jpegli-q80-yuv420,5055743,A
jpegli-q85-yuv420,jpegli-q75-yuv444,1420710,B
mozjpeg-q70-yuv420,libjpeg-turbo-q65-yuv420,21169144185_3f7977cb5a_o,B
jpegli-q80-yuv420,jpegli-q75-yuv444,1475938,A
mozjpeg-q90-yuv444,jpegli-q60-yuv444,792079,B
libjpeg-turbo-q55-yuv420,jpegli-q65-yuv420,adriankierman-report-page,A
libjpeg-turbo-q75-yuv420,jpegli-q60-yuv444,1624487,A
libjpeg-turbo-q95-yuv444,jpegli-q80-yuv444,382297,B
libjpeg-turbo-q90-yuv444,libjpeg-turbo-q80-yuv422,3762075,B
mozjpeg-q90-yuv444,jpegli-q90-yuv420,225228,A
libjpeg-turbo-q75-yuv420,jpegli-q90-yuv444,pexels-photo-1933873,A
jpegli-q90-yuv444,jpegli-q75-yuv420,2389166,B
mozjpeg-q80-yuv422,jpegli-q70-yuv420,6292444,A
