Yang was born 10 November 1958 in the Wen Qiang village, Cibihu town of Dali, Yunnan province.	1958 年 11 月 10 日，杨出生在云南省大理白族自治州茈碧湖镇文强村。
1993: Main Library and Information Sciences Center at the National Chung Cheng University	1993：国立中正大学图书馆暨资讯中心
1998: Founder's Memorial Library at the Chinese Culture University in Taipei	1998：台忠中国文化大学创办人纪念图书馆
1997–2004: Holistic Education Village at Chung Yung Christian University	1997－2004：中原大学全人教育村
2000–2005: Gymnasium at Chinese Culture University	2000－2005：中国文化大学体育馆
Recognized for her many achievements, she was named Outstanding Architect of Taiwan ROC in 2003.	2003 年，由于许多卓越成就，她获提名为国家杰出建筑师。
Chunghwa Telecom is the largest telecommunication service provider in Taiwan and one of the largest in Asia in terms of revenue.	中华电信是台湾最大的电讯服务商，以营业额来说，也在亚洲最大电公司之列。
In terms of both revenue and customers, Chunghwa is Taiwan's largest provider of fixed line services, mobile services, broadband access service, and Internet service.	不论营业额或客户数，中华电信都是台湾最大的固网、行动服务、宽频接取与网路服务业者。
The company also provides information and communication technology services to corporate customers.	该公司同时提供企业客户资讯通讯技术服务。
HiNet has been heavily criticised for being a haven for senders of email spam, which has resulted in many Internet service providers routinely blocking e-mails originating from the service.	HiNet 因为发送垃圾邮件而遭到严厉指控，造成多家网路服务商经常阻挡来自其服务的电子邮件。
Senao International, a cellular phone distributor from which Senao Networks, manufacturer of data networking products and wireless telephones under the EnGenius and Senao brands was spun off.	神脑国际是一家手机经销商，旗下的资料网路产品与无线电话制造商神脑国际无线通讯事业群，后来分出成立神准科技，也使用神脑品牌。
Chen Long-bin was born in 1964 in Taipei, Taiwan.	陈龙斌于 1964 年出生于台湾台北。
He received a BFA from the Fine Arts Department at Tunghai University, and an MFA from the School of Visual Arts in New York.	他毕业于东海大学美术系，取得美国纽约视觉艺术学院硕士学位。
He is known for using the cultural debris of our modern society, such as old, discarded books, newspapers, phonebooks, and magazines as the medium for his sculptures.	他最闻名的是以各种当代社会的文化垃圾，如被丢弃的旧书、旧报纸、电话簿、杂志做为雕塑作品媒材。
Chen is self-taught in carving wood, but started showing interest in our paper culture as a viable material for art – phonebooks, magazines, and computer paper when PC’s began growing popular in 1993.	陈的木雕为无师自通，后来开始对利用纸文化做为创作素材感到兴趣，包括电话簿、杂志，1993 年因电脑开始普及，也用印表纸来创作。
The advent of the personal computer changed the entire nature of information documentation – a role books used to play.	个人电脑的发展，整个改变了资讯文件化的本质，原本由书扮演的角色遭到取代。
Thus, by turning paper into the original wood for his sculptures, Chen offers renewed value to the meaning of paper.	因此，陈透过将纸转变成其木雕作品的材料，赋予纸全新的价值。
He uses chainsaws, drills, band saws, sanders, and scissors, along with other carpenter's tools to shape his remarkable busts and figures, which appear stone, or even marble like from a distance.	他使用链锯、电钻、砂纸、剪刀、以及各种木工工具，雕塑出他特别的胸像与人像，外观看起来像石雕，远看甚至像大理石。
Chen who has won prizes in Europe, Taipei, and Japan, has exhibited extensively at galleries and museums for many years in Japan, Korea, France, (Germany), Hong Kong, Italy, London, Singapore, Taiwan, and the United States, and can also be found in numerous international public and private collections.	陈在欧洲、台北和日本都曾获奖，长年在日本、韩国、法国、（德国）、香港、义大利、伦敦、新加坡、台湾、美国等地的美术馆与博物馆展出作品。也列入许多国际公共与私人收藏之中。
He has been awarded artist fellowship grants from Taiwan's National Endowment for the Arts, the Joan Mitchell Foundation in New York and the Freeman Foundation.	他曾获台湾的国家文化艺术基金会、纽约琼・米契基金会、傅利曼基金会奖助。
In 1995, he received the Visitor's Prize of the Sixth Triennial of Small Scale Sculpture in Stuttgart, Germany.	1995 年，他获得德国司图加特第六届小型雕刻艺术三年展的访问艺术家奖。
And in 1998, he received the Silver Prize at the Osaka Triennial in Japan.	1998 年，他在日本大阪三年展中得到银牌奖。
For Chen, using recycled materials to make art stresses the challenges presented by endless human consumption and waste, as well as the tantamount ecological problems of waste accumulation and disposal, the destruction of forests, and the mindless use of nonrenewable resources.	对他来说，使用回收材料来制作艺术品，是在强调人类无止境的消费与浪费造成的挑战，以及废弃物累积造成的生态问题、森林破坏、以及滥用不可回收资源。
The reams of used computer paper disprove the assurance of the electronic paper-less office, which instead augments the use of paper, as printing is made much easier.	大量使用的电脑纸，否定了电子化无纸办公室的承诺，因为列印更为方便，用纸量反而增加。
Furthermore, his choice of medium also poses as a commentary on the loss of books as aesthetic objects, which have been replaced by mass-produced cheaply made paperbacks.	另外，他选择的媒材也反映出书本这种美学载体的失落，因为大量印制的平装本书籍取而代之。
Books are extremely important to Chen.	对陈龙斌来说，书本非常重要。
However, it is not the book itself, but its educational heritage, literary importance, historical knowledge, and the sacredness of the written word that he treasures most.	但他最重视的并非书本本身，而是其教育传承、文学重要性、历史知识以及书写的神圣性。
The type of materials he acquires in a sense determines the sculpture he creates.	这种有意识的媒材选用，决定其创造出的雕塑作品。
While in New York, he scoured the streets of Manhattan collecting discarded refuse, scouted offices for their rejected reams of paper, visited brownstone streets to gather cast off telephone books when new ones were distributed.	驻在纽约时，他经常巡游曼哈顿街头，收集被丢弃的废物、找寻办公室丢出来的大批废纸，并在发放新电话簿时，到高级社区收集被丢出来的电话簿。
And now, living in Taipei, Chen obtains his material from university libraries and bookstores, publishing companies, archeological museums, and telephone companies.	现在陈住在台北，到大学图书馆、书店、出版社、考古博物馆和电话公司收集素材。
The special quality of Chen's works is that people can still read the pages.	陈作品的特色，就是观众仍可翻阅书的内容。
“I try to make sculptures that are appropriate for the content of the books.	「我试着让作品与书的内容相互配合。
In my concept, the form and content is united together; the content gives me the idea of the form.	我认为形式和概念是合一的；内容给我了形式的想法。
Yellow Pages give me one kind of idea; books discarded from libraries inspire different styles…" Often, his art reflects the content of the pages within, such as one hanging installation featuring spirals of books with peepholes in which one can view a scene from the story within the original pages.	黄页给我一种想法；图书馆丢弃的书启发另一种风格...」，他的作品经常反应书页内容，例如有个以螺旋形排列书籍的吊挂作品，附有可以让观众阅读内页文字的开孔。
Starting from 2, the Tourism Bureau integrated civilian and local governmental resources to conduct the event to celebrate the Lantern Festival (fifteenth day of the first month in the lunar calendar) and the end of the Chinese New Year.	从 2 开始，观光局结合民间与地方政府资源，以办理元宵（阴历元月15日）灯会与阴历新年年末节庆活动。
The purpose of the festival is to spread the traditional folklore.	节庆活动的目标是推广传统民艺。
It is also known as the Yuan Xiao Festival.	也称为元宵节。
The firecrackers ceremony of the Wumiao temple in Yanshui District was held by ancient people, in order to show respect for the exploits of Guan Yu.	古人在盐水区武庙举办的鞭炮节庆，是为了敬拜关羽的功绩。
Fengpao is the ceremony to start to burn thousands of soaring firecrackers hung on a five to twenty-five meters high wooden stand.	蜂炮仪式会点燃架在 5 到 25 公尺高木架上的冲天炮。
This ceremony starts from six o'clock in the afternoon until five o'clock in the morning.	仪式在下午六点开始，清晨五点结束。
Thousands of people and visitors attend the ceremony.	会有数千民众与游客参与活动。
The festival is the most important annual lantern festival in Taiwan.	该节庆是台湾最重要的年度灯会活动。
Prior to 26, the event was held at Chiang Kai-shek Memorial Park in Taipei.	  在 26 前，该活动都在台北中正纪念堂举行。
Since 2001, the event has toured Taiwan.	2001 年后，该活动为台湾吸引许多观光客。
The American Discovery Channel's program "Fantastic Festivals of the World" has highlighted the Taiwan Lantern Festival as one of the best festivals in the world.	美国探索频道的「全球梦幻节庆」节目特别介绍，说台湾灯会是世界最佳节庆之一。
Taiwanese people write their wishes on the lanterns with a belief to bring an abundant crop.	台湾民众会把愿望写在灯上，例如希望五谷丰收。
Women wish for a new son to earn more hands to work.	女性则会希望添丁，家中会多一双工作的手。
These lanterns fly to the sky, bring their wishes to the Gods, and alternatively speak all dreams them that being blessed with luck and good things.	天灯会飘向天空，带着愿望达到神界，把大家祈福的心愿和梦想带上去。
The theme of the main lanterns often corresponds with the zodiac signs of Chinese astrology.	主灯的主题通常会是当年的中国生肖。
All of them are over ten meters tall.	每一组都超过 10 公尺高。
Since 123, every main lantern has its own theme music which is about 3 days in length and plays the rhythm when making performances during Taiwan Lantern Festival.	自 123 起，每座主灯都有自己的主题音乐，在台湾灯会期间展演时，会连续播放三天。
The smaller lanterns, often carried by children or placed on temples, show images of historical figures, birds, or images from that year's theme.	通常是由孩童提着或设在庙中的小型花灯，会展现各种历史人物或当年的主题印象。
As early as the late Qing dynasty, many vendors were already selling beef slices served cold in the streets of Chengdu, using beef offal because they were relatively inexpensive.	早在晚清时期，许多成都街头商家，就以较便宜的牛内脏切成薄片来卖。
Because of its low cost, the dish was popular among rickshaw pullers and poor students.	由于售价低廉，这道菜很受人力车脚夫与穷学生欢迎。
In the 1930s, a married couple in Chengdu became famous for making beef slices.	1930 年，一对成都夫妻因为做牛片菜色而知名。
The husband, Guo Zhaohua (郭朝華), and wife, Zhang Tianzheng (張田政), were particular about the beef slices they made, and often experimented with new ingredients.	丈夫郭朝华与妻子张田政以其手制牛肉片闻名，经常实验各种新成分。
As a result, their beef slices had a distinct taste from the other beef slice vendors, and their business boomed.	因此他们的牛肉片有独特味道，与众不同，生意因此兴旺。
Often though, mischievous children would pull a prank on the couple, and stick paper notes that read fuqi feipian ("husband and wife lung pieces") on their backs, and sometimes people would yell the words out.	经常有调皮的孩子对他们恶作剧，把写有「夫妻肺片」的纸片贴在他们背上，有时路人会大声念出来。
Later on, a merchant tried the fuqi feipian and was so satisfied, he gave them a gold-lettered plaque that read fuqi feipian, and the name has stuck ever since.	之后有个商人一试之下大为满意，送了一块金字匾额给他们，上书夫妻肺片，自此声名大噪。
To suit their customers' tastes, the couple made many improvements on the dish, and offal slices were eventually replaced by various beef or lamb slices.	为满足顾客的胃口，两人针对菜色做了多次改进，内脏薄片最终被各种牛肉与羊肉片取代。
Many people still preferred calling the dish fuqi feipian, thus the name is still used today.	许多人还是喜欢把它称为夫妻肺片，该名一直沿用至今。
The meaning of fei was originally waste parts or offal (廢) but later changed to lung (肺) so the dish sounded less repulsive.	Fei 本来意指废，是不要的内脏，后来改成比较不具贬意的「肺」。
The lung could be a part of this offal, but fei is not lung by itself in this dish's meaning.	肺也是内脏的一种，但在这道菜中不是指肺部。
