The economy of the municipality is mainly based on textile and food industries.	A economia do município tem base principalmente nos setores têxtil e alimentício.
The name "Universidade Estadual Paulista" was suggested by the first rector of UNESP, Professor Luiz Ferreira Martins, and the name "Júlio de Mesquita Filho" was suggested by Prof. Dr.	O nome "Universidade Estadual Paulista" foi sugerido pelo primeiro reitor da UNESP, Professor Luiz Ferreira Martins, e o nome "Júlio de Mesquita Filho" foi sugerido pelo Prof. Dr.
Moacyr Expedito Marret Vaz Guimarães, then President of the State Council of Education (EEC).	Moacyr Expedito Marret Vaz Guimarães, presidente do Conselho Estadual de Educação (CEE).
UNESP has a total of 1,900 laboratories and 30 libraries, which together have around 900,000 books available.	A UNESP tem um total de 1.900 laboratórios e 30 bibliotecas, que juntos possuem cerca de 900.000 livros disponíveis.
In addition the facilities encompass museums, gardens, parks, botanical gardens and five experimental farms, totaling an area of 62.8 million m², of which 745.4 thousand m² are developed area.	Além disso, as instalações contam com museus, jardins, parques, jardins botânicos e cinco fazendas experimentais, totalizando uma área de 62,8 milhões de m², das quais 745,4 mil m² são de área desenvolvida.
The university also owns the Hospital de Clínicas de Botucatu and manages the State Hospital of Bauru, which together have around 800 beds, as well as veterinary hospitals and dentistry, psychology, speech therapy and physiotherapy clinics.	A universidade também é dona do Hospital de Clínicas de Botucatu e administra o Hospital Estadual de Bauru, que juntos contam com cerca de 800 leitos, além de hospitais veterinários e clínicas de odontologia, psicologia, terapia fala e fisioterapia.
UNESP is governed by a rector, appointed by the state governor who chooses the final candidate from a list of three nominees.	A UNESP é governada por um reitor, indicado pelo governador do estado, que escolhe o candidato final de uma lista com três indicados.
The nominees are selected through elections, taking place among university’s academics held every four years.	Os indicados são selecionados por meio de eleições, disputadas entre os acadêmicos da universidade a cada quatro anos.
Usually, the governor selects the winner of those elections.	Normalmente, o governador selecione o vencedor dessas eleições.
The rector presides over the University Council, composed of directors of every institute in the system and academic representatives.	O reitor preside sobre o Conselho da Universidade, composto por diretores de cada instituto no sistema e por representantes acadêmicos.
There are ten students representatives.	Há dez representantes estudantis.
The council makes most decisions that affect the university.	O conselho toma grande parte das decisões que afetam a universidade.
Each institute (there are campuses with more than one) has one director and a council who rules with a degree of autonomy.	Cada instituto (há campi com mais de um) tem um diretor e um conselho que administra com um nível de autonomia.
UNESP employs about 3,500 teachers, in addition to another 10,600 employees in various positions.	A UNESP emprega cerca de 3.500 professores, além de outros 10.600 funcionários em posições diversas.
The university provides 171 options for undergraduate courses in 62 higher education professions, with a total of over 45,000 students, of which 5,600 new professionals are trained annually by UNESP.	A universidade fornece 171 opções para cursos de graduação em 62 profissionais de ensino superior, com um total de mais de 45.000 estudantes, dentre eles, 5.600 novos profissionais são treinados anualmente pela UNESP.
About 10,000 students study in 118 postgraduate programs, with 117 academic masters, 6 professional masters and 93 academic doctorates.	Aproximadamente, 10 mil alunos estudam em 118 programas de pós-graduação, com 117 mestrados acadêmicos, 6 mestrados profissionais e 93 doutorados acadêmicos.
The academic year at UNESP follows a two-semester schedule, with slight differences depending on the courses and programs chosen.	O ano acadêmico na UNESP segue uma agenda de dois semestres, com ligeiras diferenças dependendo dos cursos e dos programas escolhidos.
The spring semester runs from August - December and the fall semester from February - June.	O semestre de primavera ocorre de agosto a dezembro, e o semestre de outono ocorre de fevereiro a junho.
In the recent decade Brazil has generally become more widely recognized as a good academic environment (developing alongside the rest of the countries economy).	Na década recente, o Brasil tornou-se mais amplamente reconhecido como um bom ambiente acadêmico (que se desenvolveu junto com o restante da economia do país).
But with the economic crisis some universities in Brazil have struggled in the last years; the number of publications authored and co-authored from UNESP however, has continually risen since 2012.	Mas com a crise econômica, algumas universidades no Brasil tiveram dificuldades nos últimos anos; no entanto, o número de publicações de autoria e coautoria da UNESP aumentou continuamente desde 2012.
Rezende played volleyball from 1979 to 1985, and competed in two Olympics, winning a silver medal at the 1984 Summer Olympics.	Rezende jogou voleibol de 1979 a 1985 e competiu em duas Olímpiadas, conquistando uma medalha de prata nas Olímpiadas de 1984.
He also finished fifth at the 1980 Summer Olympics and won a gold medal at the 1983 Pan American Games.	Ele também terminou em quinto nas Olímpiadas de 1980 e conquistou uma medalha de ouro nos Jogos Pan-americanos de 1983.
Rezende played in Fluminense, Volley Atlantica Boavista, Flamengo and Vasco da Gama from 1972 to 1988.	Rezende jogou no Fluminense, Vôlei Atlântica Boavista, Flamengo e Vasco da Gama de 1972 a 1988.
With Atlântica Boavista he was the winner of Brazil Super League in 1981.	Com o Atlântica Boavista ele conquistou a Superliga do Brasil em 1981.
In 1988, he stopped playing to work started his coaching career as an assistant to Bebeto de Freitas at the 1988 Summer Olympics.	Em 1988, ele parou de jogar para iniciar uma carreira de treinador como assistente de Bebeto de Freitas na Olímpiada de 1988.
In 1990 he became the coach of Italian female team Perugia, and remained there for two years.	Em 1990, ele tornou-se treinador da equipe feminina italiana Perugia e permaneceu lá por dois anos.
In 1990 he became coach of Brazil female team That year.	Em 1990, ele tornou-se treinador da equipe feminina brasileira.
Rezende with Brazil team placed second in the FIVB World Championship and won the FIVB World Grand Prix.	Rezende, com a equipe brasileira, ficou em segundo lugar no Campeonato Mundial FIVB e conquistou o Grande Prix Mundial da FIVB.
In 1996, the team won the bronze medal at the Atlanta Olympic Games and the gold medal at the FIVB World Grand Prix.	Em 1996, a equipe conquistou a medalha de bronze nos Jogos Olímpicos de Atlanta e a medalha de ouro no Grand Prix Mundial da FIVB.
In 1998 Rezende led the Brazilians to a South American title, earned qualification for the FIVB World Championship and won bronze in the FIVB World Grand Championship Cup in Japan.	Em 1998, Rezende conduziu as brasileiras a um título Sul-americano, conquistou a classificação para o Campeonato Mundial da FIVB e conquistou o bronze na Copa dos Campeões do Mundo da FIVB no Japão.
In 1999, Bernardinho won the gold medal at the Pan American Games in Winnipeg, a silver medal in the FIVB World Grand Prix, gold in the South American Championship for the third time, and bronze at the FIVB World Cup.	Em 1999, Bernardinho conquistou a medalha de ouro nos Jogos Pan-americanos em Winnipeg, uma medalha de prata no Grand Prix Mundial da FIVB, ouro no Campeonato Sul-americano pela terceira vez e bronze na Copa do Mundo da FIVB.
In 2000, he led Brazil to third place in the FIVB World Grand Prix and at the Olympic Games in Sydney 2000. two gold medalist in Montreux Volley Masters he was another achievement.	Em 2000, ele conduziu o Brasil ao terceiro lugar no Grand Prix do Mundo da FIVB nos Jogos Olímpicos em Sydney 2000. Outra conquista foram duas medalhas de ouro no Masters de Vôlei de Montreux.
Rezend leaving in 2000 female team.	Rezende deixou a equipe feminina em 2000.
Since 2001, Bernardinho has been the coach of the Brazil male national team, with whom he won two Olympic titles in 2004 and 2016.	Desde 2001, Bernardinho assumiu como treinador da equipe masculina do Brasil, com a qual conquistou dois títulos Olímpicos em 2004 e 2016.
After this success Rezende accepted the challenge of leading the Brazilian Men in 2001.	Após o sucesso, Rezende aceitou o desafio de conduzir a equipe brasileira em 2001.
The choice could not have been better.	A escolha não podia ter sido melhor.
Bernardinho led the team to memorable victories including first place in the 2001 and 2003 editions of the FIVB World League and the gold medal at the 2002 FIVB World Championship.	Bernardinho conduziu a equipe a vitórias memoráveis, incluindo o primeiro lugar nas edições de 2001 e 2003 da Liga Mundial da FIVB e a medalha de ouro no Campeonato Mundial da FIVB de 2002.
In 2003, Bernardinho's star shone even stronger.	Em 2003, a estrela de Bernardinho brilhou ainda mais.
He guided the team to titles in the FIVB World League and the FIVB World Cup, and bronze at the Pan American Games in Dominican Republic.	Ele conduziu a equipe a títulos na Liga Mundial da FIVB e na Copa do Mundo da FIVB, e ao bronze nos Jogos Pan-americanos na República Dominicana.
In July 2004, Brazil claimed their fourth FIVB World League title.	Em julho de 2004, o Brasil conquistou o quarto título da Liga Mundial da FIVB.
In August, the team won its second Olympic gold medal in Athens and make new historic team.	Em agosto, a equipe conquistou sua segunda medalha de ouro olímpica em Atenas e formou uma nova equipe histórica.
Bernardinho returned at the end of the year to the Superliga to coach Rexona-Ades.	No final do ano, Bernardinho retornou à Superliga para treinar o Rexona-Ades.
In 2005, still coaching the Brazilian men team, he earned another four international medals, gold in the FIVB World League, gold at the South American Championship and gold at the FIVB World Grand Champions Cup in Japan.	Em 2005, ainda treinando a equipe masculina do Brasil, ele conquistou outras quatro medalhas internacionais, ouro na Liga Mundial da FIVB, ouro no Campeonato Sul-americano e ouro na Copa dos Campeões do Mundo da FIVB no Japão.
He also won silver at the America's Cup.	Ele também ganhou a prata na Copa América.
In 2006, Bernardinho won the FIVB World League, for the fifth time, and the FIVB World Championship for the second time.	Em 2006, Bernardinho conquistou a Liga Mundial da FIVB pela quinta vez e o Campeonato Mundial da FIVB pela segunda vez.
The success didn't let up in 2007, with victories in the FIVB World League, the FIVB World Cup, the Pan American Games and the South American Championship.	O sucesso não o abandonou em 2007, com vitórias na Liga Mundial da FIVB, na Copa do Mundo da FIVB, nos Jogos Pan-americanos e no Campeonato Sul-americano.
He also led a young team to second place at the America's Cup.	Ele também conduziu uma equipe jovem a um segundo lugar na Copa América .
In 2008, Brazil failed in the most important tournaments of the season, finishing second in Beijing Olympic Games and fourth in the FIVB World League, which Final Round was played in Rio de Janeiro.	Em 2008, o Brasil fracassou nos torneios mais importantes da temporada, terminando em segundo nos Jogos Olímpicos de Pequim e em quarto na Liga Mundial da FIVB, cuja partida final foi disputada no Rio de Janeiro.
In 2009, however, the coach commanded a renewed team that won the FIVB World League, the FIVB World Grand Championship Cup and the South American Championship.	Em 2009, no entanto, o treinador comandou uma equipe renomada que conquistou a Liga Mundial da FIVB, a Copa dos Campeões do Mundo da FIVB e o Campeonato Sul-americano.
In 2010, Brazil started the season winning the ninth title of the FIVB World League, overcoming the Italian record.	Em 2010, o Brasil começou a temporada conquistando o novo título da Liga Mundial da FIVB, superando o recorde italiano.
In the end of the year, Bernardo his third FIVB World Championship title with Brazil.	No final do ano, Bernardo conquistou o terceiro Campeonato Mundial da FIVB com o Brasil.
In 2011, Rezende led the Brazilian national team winning the silver medal in the FIVB World League, title and the South American Championship.	Em 2011, Rezende liderou a equipe nacional brasileira na conquista da medalha de prata na Liga Mundial da FIVB do título do Campeonato Sul-americano.
In the end of the year, Brazil assured its spot in London Olympic Games by finishing third in the FIVB World Cup.	No final do ano, o Brasil garantiu um lugar nos Jogos Olímpicos de Londres ao terminar em terceiro na Copa do Mundo da FIVB.
Start 2016 with a silver medal in 2016 FIVB World League.	Começou 2016 com uma medalha de prata na Liga Mundial da FIVB de 2016.
Rezende for the fourth time accede in final and winning match final against Italy and won gold medal Rio 2016.	Rezende chegou pela quarta vez à final, enfrentando a Itália, e conquistou a medalha de ouro na Rio 2016.
Since 1999, Rezende is married to volleyball player Fernanda Venturini, with whom he has two daughters.	Desde 1999, Rezende é casado com a jogadora de vôlei Fernanda Venturini, com quem tem duas filhas.
From his previous marriage to player Vera Mossa he had a son who is currently the setter and captain of the Brazilian volleyball team, Bruno Rezende (Bruninho).	Ele teve um filho em seu casamento anterior com a jogadora Vera Mossa, e o rapaz é o atual levantador e capitão da equipe brasileira de vôlei, Bruno Rezende (Bruninho).
In the 16th century, the area of the present district was crossed by the trail connecting the Indian villages of Piratininga and Biacica or Imbiacica (now Itaim Paulista, Vila Curuçá and part of Jardim Helena).	No século 16, a área do bairro atual era cruzada pela trilha que conecta as vilas indígenas de Piratininga e Biacica ou Imbiacica (hoje Itaim Paulista, Vila Curuçá e parte do Jardim Helena).
That trail was also used by the early colonial explorers (bandeirantes).	Essa trilha também era usada pelos primeiros exploradores coloniais (bandeirantes).
Some historians claim that the lands were part of the domain (sesmaria) granted by the Portuguese Crown to João Ramalho.	Alguns historiadores dizem que as terras faziam parte do domínio (sesmaria) concedido pela Coroa portuguesa a João Ramalho.
One of the first permanent residents was in fact the explorer Francisco Velho, who settled along the Aricanduva, on land belonging to Brás Cubas.	Um dos primeiros residentes permanentes era, na verdade, o explorador Francisco Velho, que se acomodou ao longo do Aricanduva, na terra pertencente a Brás Cubas.
Over the following centuries the region became occupied by large farms.	Nos séculos seguintes a região ficou ocupada por grandes fazendas.
The most famous was a property formerly called Tucuri or Bom Retiro, which was acquired in 1865 by Councillor Carrão and then became known as Chácara Carrão.	A mais famosa era um propriedade anteriormente chamada Tucuri ou Bom Retiro, que foi adquirida em 1865 por Councillor Carrão e depois ficou conhecida como Chácara Carrão.
Around the turn of the 20th century, immigrant workers from Portugal, Italy, Spain, and later from Japan came to the area to work at Carrão's farm and at a wool mill, the Lanifícios Minerva S/A, built there in 1906 by Belgian entrepreneurs Paschoal Boronheid and Fernand Delcroix.	Perto do século 20, trabalhadores imigrantes de Portugal, Itália, Espanha e, mais tarde, do Japão vieram para a área para trabalhar na fazenda de Carrão e em uma fábrica de lã, a Lanifícios Minerva S/A, construída em 1906 pelos empreendedores belgas Paschoal Boronheid e Fernand Delcroix.
An urbanized borough, Vila Carrão, was established in 1917.	Um bairro urbanizado, Vila Carrão, foi fundado em 1917.
Another major factor in the area's development was the installation in the 1930s of a large cotton mill, the Cotonifício Guilherme Giorgi, which at its height employed 2800 workers.	Outro grande fator para o desenvolvimento da área foi a instalação nos anos 1930 de uma grande fábrica de lã, a Cotonifício Guilherme Giorgi, que, no auge, empregou 2800 trabalhadores.
The remaining lands of Chácara carrão were urbanized and became the boroughs of Vila Nova Manchester (1922), Vila Santa Isabel (1931), and Jardim Têxtil.	As terras restantes da Chácara Carrão foram urbanizadas e se tornaram distritos da Vila Nova Manchester (1922), Vila Santa Isabel (1931) e Jardim Têxtil.
By the 1950s the area which is now the Carrão district was almost entirely urbanized and integrated with the São Paulo urban area.	Nos anos 1950, a área que hoje é o bairro Carrão foi quase totalmente urbanizada e integrada à área urbana de São Paulo.
The Carrão district was created in 1991 by an act of then mayor Luiza Erundina.	O bairro Carrão foi criado em 1991 por uma ação da então prefeita Luiza Erundina.
Until then, the land was part of the Tatuapé district.	Até então, a área fazia parte do bairro Tatuapé.
It comprises the following neighborhoods: Carrãozinho, Chácara Santo Antonio, Chácara Califórnia, Vila Carrão, Vila Nova Manchester, Vila Santa Isabel, and Vila São Vicente.	Ela abrange os seguintes bairros: Carrãozinho, Chácara Santo Antônio, Chácara Califórnia, Vila Carrão, Vila Nova Manchester, Vila Santa Isabel e Vila São Vicente.
The new district boundaries deviated somewhat from the historical borough boundaries.	Os limites do novo bairro desviam um pouco dos limites históricos do bairro.
In particular, the Carrão metro station, until then part of the Vila Carrão borough, is now in the Tatupé district.	Particularmente, a estação de metrô Carrão, até então parte do bairro  Vila Carrão, hoje faz parte do bairro Tatuapé.
Carrão and the neighboring district of Vila Formosa share the Vila Formosa Cemetery (est.	Carrão e o bairro vizinho de Vila Formosa compartilham o cemitério Vila Formosa (est.
1949).	1949).
It is believed to be the largest cemetery in Latin America, with 780,000 m² and more than 1,400,000 "permanent residents".	Acredita-se ser o maior cemitério na América Latina, com 780.000 m² e mais de 1.400.000 "residentes permanentes".
Floodplain ecosystems such as the Pantanal are defined by their seasonal inundation and desiccation.	Ecossistemas de planícies aluviais, como o Pantanal, são definidas por inundações e dessecamento sazonais.
They shift between phases of standing water and phases of dry soil, when the water table can be well below the root region.	Elas alternam entre fases de água parada e fases de solo seco, quando o lençol d'água pode ficar muito abaixo da região das raízes.
Soils range from high levels of sand in higher areas to higher amounts of clay and silt in riverine areas.	Os solos variam de uma grande quantidade de areia em áreas mais altas a grandes quantidades de argila e sedimentos em áreas ribeirinhas.
Elevation of the Pantanal ranges from 80 to 150 m (260 to 490 ft) above sea level.	A elevação do Pantanal varia de 80 a 150 m (260 a 490 pés) acima do nível do mar. .
Annual rainfall over the flood basin is between 1,000 and 1,500 mm (39 and 59 in), with most rainfall occurring between November and March.	A precipitação anual sobre a área de inundação está entre 1.000 e 1.500 mm (39 e 59 in), sendo que grande parte da precipitação ocorre entre novembro e março.
In the Paraguay River portion of the Pantanal, water levels rise between two meters to five meters seasonally; water fluctuations in other parts of the Pantanal are less than this.	Na parte do Pantanal que abrange o Rio Paraguai, os níveis da água sobem cerca de dois a cinco metros por estação; as flutuações hídricas em outras partes do Pantanal são inferiores a essa.
Flood waters tend to flow slowly (2 to 10 cm (0.79 to 3.94 in) per second) due to the low gradients and high resistance offered by the dense vegetation.	A água de inundação costuma fluir lentamente (2 a 10 cm (0,79 a 3,94 in) por segundo) devido à baixa inclinação e alta resistência oferecida pela vegetação densa.
When rising river waters first contact previously dry soil, the waters become oxygen-depleted, rendering the water environs anoxic.	Quando a água elevada do rio entra em contato pela primeira vez com o solo antes ressecado, ela fica destituída de oxigênio, tornando-a anóxica nas cercanias.
Many natural fish kills can occur if there are no oxygenated water refuges available (the reason for this remains speculative: it may be due to the growth of toxin-producing bacteria in the deoxygenated water rather than as a direct result of lack of oxygen (McClain 2002)).	Muitas mortes naturais de peixes podem ocorrer se não houver refúgios oxigenados disponíveis (o motivo disso permanece especulativo: talvez seja por causa do crescimento de bactérias produtoras de toxina na água desoxigenada em vez de ser o resultado direto da falta de oxigênio (McClain 2002)).
The vegetation of the Pantanal, often referred to as the "Pantanal complex", is a mixture of plant communities typical of a variety of surrounding biome regions: these include moist tropical Amazonian rainforest plants, semiarid woodland plants typical of northeast Brazil, Brazilian cerrado savanna plants and plants of the Chaco savannas of Bolivia and Paraguay.	A vegetação do Pantanal, normalmente chamada de "complexo Pantanal", é uma combinação de comunidades de plantas típicas de uma variedade dos biomas da região ao redor: entre elas estão as plantas da úmida floresta Amazônica, plantas da mata semiárida típicas do nordeste brasileiro, plantas de savana do cerrado brasileiro e plantas de savana do Chaco da Bolívia e do Paraguai.
Forests usually occur at higher altitudes of the region, while grasslands cover the seasonally inundated areas.	As florestas costumam ocorrer em altitudes mais elevadas da região, enquanto as pradarias cobrem as áreas inundadas sazonalmente.
The key limiting factors for growth are inundation and, even more importantly, water-stress during the dry season.	Os principais fatores limitadores do crescimento são inundação e, principalmente, a falta de água durante a temporada seca.
According to Embrapa, approximately 2000 different plants have been identified in the Pantanal biome and classified according to their potential, with some presenting significant medicinal promise.	Segundo a Embrapa, aproximadamente 2000 plantas diferentes foram identificadas no bioma do Pantanal e classificadas de acordo com o potencial, sendo que algumas apresentam um potencial medicinal considerável.
A portion of the Pantanal in Brazil has been protected as the Pantanal Matogrossense National Park.	Uma parte do Pantanal no Brasil foi protegida como o Parque Nacional do Pantanal Matogrossense.
This 1,350 square kilometres (520 sq mi) park, established in September 1981, is located in the municipality of Poconé in the State of Mato Grosso, between the mouths of the Baía de São Marcos and the Gurupi Rivers.	Esse parque de 1.350 km² (520 mi²), fundado em setembro de 1981, está localizado no município de Poconé no Estado de Mato Grosso, entre as fozes dos rios Baía de São Marcos e Gurupi.
The park was designated a Ramsar Site of International Importance under the Ramsar Convention on May 24, 1993.	O parque foi designado como um Sítio Ramsar de Importância Internacional sob a Convenção de Ramsar em 24 de maio de 1993.
The SESC Pantanal Private Natural Heritage Reserve (Reserva Particular do Patrimonio Natural SESC Pantanal) is a privately owned reserve in Brazil, established in 1998 and 878.7 km² (339.3 sq mi) in size.	A Reserva Particular do Patrimônio Natural SESC Pantanal (SESC Pantanal Private Natural Heritage Reserve) é uma reserva particular no Brasil, fundada em 1998 e com 878,7 km² (339,3 mi²).
It is located in the north-eastern portion, known as "Poconé" Pantanal, not far from the Pantanal National Park.	Ela está localizada na parte nordeste, conhecida como "Poconé" Pantanal, perto do Parque Nacional do Pantanal.
It is a mix of permanent rivers, seasonal streams, permanent and seasonal floodplain freshwater lakes, shrub-dominated wetlands and seasonally flooded forests, all dedicated to nature preservation, and was designated a Ramsar Site of International Importance under the Ramsar Convention.	É uma combinação de rios permanentes, córregos sazonais, lagos de água doce permanentes e sazonais na planície aluvial, pântanos dominados por arbustos e florestas inundadas sazonalmente, tudo isso dedicado à preservação da natureza e indicada como Sítio Ramsar de Importância Internacional sob a Convenção de Ramsar.
Otuquis National Park and Integrated Management Natural Area is a national park of Bolivia in the Pantanal.	O Parque Nacional de Otuquis e Área Natural de Gestão Integrada é um parque nacional da Bolívia no Pantanal.
The entrance to Otuquis National park is through the town of Puerto Suarez.	A entrada para o Parque Nacional de Otuquis é pela cidade de Puerto Suarez.
