Yang was born 10 November 1958 in the Wen Qiang village, Cibihu town of Dali, Yunnan province.	1958 年 11 月 10 日，楊出生在雲南省大理白族自治州茈碧湖鎮文強村。
They couple met in 1990 and married in 1995, but Yang wants to dance long-term dieting and cannot be pregnant.	兩人於 1990 年相識，1995 年結婚，但楊因為長期舞蹈而不孕。
After getting her bachelor's degree in Architecture at the National Central University in Chongqing, China, Wang Chiu-Hwa moved to Seattle to continue her studies at the University of Washington in 1946.	在重慶的國立中央大學取得建築學士學位後，王秋華於 1946 年遷至西雅圖，在華盛頓大學繼續學業。
She then studied a Masters of Architecture at Columbia University in New York.	之後他在紐約哥倫比亞大學攻讀建築碩士學位。
From 1953 to 1979, Wang Chiu-Hwa worked with American architect Percival Goodman in New York.	1953 年到 1979 年間，王秋華在紐約和美國建築師 Percival Goodman  共事。
She began working for him part-time as designer while still his student, and then worked for him full-time for almost thirty years, starting as an associate in 1960 and then becoming a partner.	她在向 Goodman 學習時，也以半工半讀方式參與設計工作，之後和他全職工作長達近三十年；1960 年開始時是其設計師，之後成為合夥人。
Goodman exerted great influence on her architectural ideas; like Goodman, she strongly believes in the notion of the architect as having a social responsibility through their work.	Goodman 對其建築設計理念影響甚大；如同 Goodman，她堅定認為建築師的工作必須具有社會責任感。
Wang Chiu-Hwa returned to Taiwan in 1979.	1979 年王秋華返回台灣定居。
She began teaching at the Taipei Institute of Technology and Tamkang University, and served as architectural consultant to a number of public institutions.	她開始在台北工專與淡江大學任教，同時擔任許多公共機構的建築顧問。
In 1983, after collaborating with architect Joshua J. Pan on the Chung Yuan Christian University library, she started her own practice and has since been working in joint venture with J. J. Pan and Partners, Architects and Planners, on a number of projects.	1983 年她與建築師潘冀共同完成中原大學圖書館的設計後，便自行成立建築師事務所，並與潘冀聯合建築師事務所共同完成多項專案設計。
Wang Chiu-Hwa's architectural designs are modernistic, with emphasis on environmental totality and scale.	王秋華的建築設計是現代風格，強調環境整體性與比例。
In 1983–85, she designed the main library of Chung Yuan Christian University, which exemplifies her sense of spatial planning.	在 1983 到 85 年間，她設計了中原大學總圖書館，展現她對空間規畫的理念。
It has a holding capacity of 700,000 volumes, a conference room with room for 150 people, and a study room with room for 800 people.	該圖書館藏書可達 700,000 冊，附有可容納 150 人的會議廳，以及可容納 800 人的閱覽室。
Its multiple-entry plazas and sunken gardens were designed to encourage socialising.	其多進式的廣場，與下沉式的花園，是為了促進交流而設計。
A special feature of the library is the attention given to energy conservation.	該圖書館的設計特色，是要強化活躍的對話。
Natural lighting and ventilation were made possible through the use of double-height spaces, also providing visual fluidity and transparency.	使用兩倍高度的空間設計，以便擁有自然採光與通風，同時具備視覺流動性與透明感。
This was her first major project after returning to Taiwan, and it won her the Taiwan Provincial Building Design Award and the National Building Design Award for Passive Energy Efficiency.	這是她回到台灣後的第一件主要作品，同時奪下台灣省政府優良建築設計獎，以及內政部建築節約能源優良設計獎。
Over the next three decades, she designed a number of large and award-winning buildings in Taiwan, including but not limited to:	接下來的三十年間，她在台灣設計出許多得獎的大型建築物，包括但不限於：
1986: Precision Instruments Development Center for the National Science Council	1986：國科會精密儀器發展中心
1988: Medical Research Building & Conference Center for Veterans’ Hospital in Taichung	1988：台中榮總研究大樓與會議中心
1989: Gymnasium at Chung Yuan Christian University	1989：中原大學體育館
1989: Main Library of National Chang Hwa Normal University	1989：國立彰化師範大學總圖書館
1991–97: Doctors’ Dormitory of Taichung Veterans General Hospital	1991－97：台中榮總醫護單身宿舍
1993: Main Library and Information Sciences Center at the National Chung Cheng University	1993：國立中正大學圖書館暨資訊中心
1998: Founder's Memorial Library at the Chinese Culture University in Taipei	1998：台忠中國文化大學創辦人紀念圖書館
1997–2004: Holistic Education Village at Chung Yung Christian University	1997－2004：中原大學全人教育村
2000–2005: Gymnasium at Chinese Culture University	2000－2005：中國文化大學體育館
Recognized for her many achievements, she was named Outstanding Architect of Taiwan ROC in 2003.	2003 年，由於許多卓越成就，她獲提名為國家傑出建築師。
Chunghwa Telecom is the largest telecommunication service provider in Taiwan and one of the largest in Asia in terms of revenue.	中華電信是台灣最大的電訊服務商，以營業額來說，也在亞洲最大電公司之列。
In terms of both revenue and customers, Chunghwa is Taiwan's largest provider of fixed line services, mobile services, broadband access service, and Internet service.	不論營業額或客戶數，中華電信都是台灣最大的固網、行動服務、寬頻接取與網路服務業者。
The company also provides information and communication technology services to corporate customers.	該公司同時提供企業客戶資訊通訊技術服務。
HiNet has been heavily criticised for being a haven for senders of email spam, which has resulted in many Internet service providers routinely blocking e-mails originating from the service.	HiNet 因為發送垃圾郵件而遭到嚴厲指控，造成多家網路服務商經常阻擋來自其服務的電子郵件。
Senao International, a cellular phone distributor from which Senao Networks, manufacturer of data networking products and wireless telephones under the EnGenius and Senao brands was spun off.	神腦國際是一家手機經銷商，旗下的資料網路產品與無線電話製造商神腦國際無線通訊事業群，後來分出成立神準科技，也使用神腦品牌。
Chen Long-bin was born in 1964 in Taipei, Taiwan.	陳龍斌於 1964 年出生於台灣台北。
He received a BFA from the Fine Arts Department at Tunghai University, and an MFA from the School of Visual Arts in New York.	他畢業於東海大學美術系，取得美國紐約視覺藝術學院碩士學位。
He is known for using the cultural debris of our modern society, such as old, discarded books, newspapers, phonebooks, and magazines as the medium for his sculptures.	他最聞名的是以各種當代社會的文化垃圾，如被丟棄的舊書、舊報紙、電話簿、雜誌做為雕塑作品媒材。
Chen is self-taught in carving wood, but started showing interest in our paper culture as a viable material for art – phonebooks, magazines, and computer paper when PC’s began growing popular in 1993.	陳的木雕為無師自通，後來開始對利用紙文化做為創作素材感到興趣，包括電話簿、雜誌，1993 年因電腦開始普及，也用印表紙來創作。
The advent of the personal computer changed the entire nature of information documentation – a role books used to play.	個人電腦的發展，整個改變了資訊文件化的本質，原本由書扮演的角色遭到取代。
Thus, by turning paper into the original wood for his sculptures, Chen offers renewed value to the meaning of paper.	因此，陳透過將紙轉變成其木雕作品的材料，賦予紙全新的價值。
He uses chainsaws, drills, band saws, sanders, and scissors, along with other carpenter's tools to shape his remarkable busts and figures, which appear stone, or even marble like from a distance.	他使用鏈鋸、電鑽、砂紙、剪刀、以及各種木工工具，雕塑出他特別的胸像與人像，外觀看起來像石雕，遠看甚至像大理石。
Chen who has won prizes in Europe, Taipei, and Japan, has exhibited extensively at galleries and museums for many years in Japan, Korea, France, (Germany), Hong Kong, Italy, London, Singapore, Taiwan, and the United States, and can also be found in numerous international public and private collections.	陳在歐洲、台北和日本都曾獲獎，長年在日本、韓國、法國、（德國）、香港、義大利、倫敦、新加坡、台灣、美國等地的美術館與博物館展出作品。也列入許多國際公共與私人收藏之中。
He has been awarded artist fellowship grants from Taiwan's National Endowment for the Arts, the Joan Mitchell Foundation in New York and the Freeman Foundation.	他曾獲台灣的國家文化藝術基金會、紐約瓊・米契基金會、傅利曼基金會獎助。
In 1995, he received the Visitor's Prize of the Sixth Triennial of Small Scale Sculpture in Stuttgart, Germany.	1995 年，他獲得德國司圖加特第六屆小型雕刻藝術三年展的訪問藝術家奬。
And in 1998, he received the Silver Prize at the Osaka Triennial in Japan.	1998 年，他在日本大阪三年展中得到銀牌獎。
For Chen, using recycled materials to make art stresses the challenges presented by endless human consumption and waste, as well as the tantamount ecological problems of waste accumulation and disposal, the destruction of forests, and the mindless use of nonrenewable resources.	對他來說，使用回收材料來製作藝術品，是在強調人類無止境的消費與浪費造成的挑戰，以及廢棄物累積造成的生態問題、森林破壞、以及濫用不可回收資源。
The reams of used computer paper disprove the assurance of the electronic paper-less office, which instead augments the use of paper, as printing is made much easier.	大量使用的電腦紙，否定了電子化無紙辦公室的承諾，因為列印更為方便，用紙量反而增加。
Furthermore, his choice of medium also poses as a commentary on the loss of books as aesthetic objects, which have been replaced by mass-produced cheaply made paperbacks.	另外，他選擇的媒材也反映出書本這種美學載體的失落，因為大量印製的平裝本書籍取而代之。
Books are extremely important to Chen.	對陳龍斌來說，書本非常重要。
However, it is not the book itself, but its educational heritage, literary importance, historical knowledge, and the sacredness of the written word that he treasures most.	但他最重視的並非書本本身，而是其教育傳承、文學重要性、歷史知識以及書寫的神聖性。
The type of materials he acquires in a sense determines the sculpture he creates.	這種有意識的媒材選用，決定其創造出的雕塑作品。
While in New York, he scoured the streets of Manhattan collecting discarded refuse, scouted offices for their rejected reams of paper, visited brownstone streets to gather cast off telephone books when new ones were distributed.	駐在紐約時，他經常巡遊曼哈頓街頭，收集被丟棄的廢物、找尋辦公室丟出來的大批廢紙，並在發放新電話簿時，到高級社區收集被丟出來的電話簿。
And now, living in Taipei, Chen obtains his material from university libraries and bookstores, publishing companies, archeological museums, and telephone companies.	現在陳住在台北，到大學圖書館、書店、出版社、考古博物館和電話公司收集素材。
The special quality of Chen's works is that people can still read the pages.	陳作品的特色，就是觀眾仍可翻閱書的內容。
“I try to make sculptures that are appropriate for the content of the books.	「我試著讓作品與書的內容相互配合。
In my concept, the form and content is united together; the content gives me the idea of the form.	我認為形式和概念是合一的；內容給我了形式的想法。
Yellow Pages give me one kind of idea; books discarded from libraries inspire different styles…" Often, his art reflects the content of the pages within, such as one hanging installation featuring spirals of books with peepholes in which one can view a scene from the story within the original pages.	黃頁給我一種想法；圖書館丟棄的書啟發另一種風格...」，他的作品經常反應書頁內容，例如有個以螺旋形排列書籍的吊掛作品，附有可以讓觀眾閱讀內頁文字的開孔。
Starting from 2, the Tourism Bureau integrated civilian and local governmental resources to conduct the event to celebrate the Lantern Festival (fifteenth day of the first month in the lunar calendar) and the end of the Chinese New Year.	從 2 開始，觀光局結合民間與地方政府資源，以辦理元宵（陰曆元月15日）燈會與陰曆新年年末節慶活動。
The purpose of the festival is to spread the traditional folklore.	節慶活動的目標是推廣傳統民藝。
It is also known as the Yuan Xiao Festival.	也稱為元宵節。
The firecrackers ceremony of the Wumiao temple in Yanshui District was held by ancient people, in order to show respect for the exploits of Guan Yu.	古人在鹽水區武廟舉辦的鞭炮節慶，是為了敬拜關羽的功績。
Fengpao is the ceremony to start to burn thousands of soaring firecrackers hung on a five to twenty-five meters high wooden stand.	蜂炮儀式會點燃架在 5 到 25 公尺高木架上的沖天炮。
This ceremony starts from six o'clock in the afternoon until five o'clock in the morning.	儀式在下午六點開始，清晨五點結束。
Thousands of people and visitors attend the ceremony.	會有數千民眾與遊客參與活動。
The festival is the most important annual lantern festival in Taiwan.	該節慶是台灣最重要的年度燈會活動。
Prior to 26, the event was held at Chiang Kai-shek Memorial Park in Taipei.	  在 26 前，該活動都在台北中正紀念堂舉行。
Since 2001, the event has toured Taiwan.	2001 年後，該活動為台灣吸引許多觀光客。
The American Discovery Channel's program "Fantastic Festivals of the World" has highlighted the Taiwan Lantern Festival as one of the best festivals in the world.	美國探索頻道的「全球夢幻節慶」節目特別介紹，說台灣燈會是世界最佳節慶之一。
Taiwanese people write their wishes on the lanterns with a belief to bring an abundant crop.	台灣民眾會把願望寫在燈上，例如希望五穀豐收。
Women wish for a new son to earn more hands to work.	女性則會希望添丁，家中會多一雙工作的手。
These lanterns fly to the sky, bring their wishes to the Gods, and alternatively speak all dreams them that being blessed with luck and good things.	天燈會飄向天空，帶著願望達到神界，把大家祈福的心願和夢想帶上去。
The theme of the main lanterns often corresponds with the zodiac signs of Chinese astrology.	主燈的主題通常會是當年的中國生肖。
All of them are over ten meters tall.	每一組都超過 10 公尺高。
Since 123, every main lantern has its own theme music which is about 3 days in length and plays the rhythm when making performances during Taiwan Lantern Festival.	自 123 起，每座主燈都有自己的主題音樂，在台灣燈會期間展演時，會連續播放三天。
The smaller lanterns, often carried by children or placed on temples, show images of historical figures, birds, or images from that year's theme.	通常是由孩童提著或設在廟中的小型花燈，會展現各種歷史人物或當年的主題印象。
As early as the late Qing dynasty, many vendors were already selling beef slices served cold in the streets of Chengdu, using beef offal because they were relatively inexpensive.	早在晚清時期，許多成都街頭商家，就以較便宜的牛內臟切成薄片來賣。
Because of its low cost, the dish was popular among rickshaw pullers and poor students.	由於售價低廉，這道菜很受人力車腳夫與窮學生歡迎。
In the 1930s, a married couple in Chengdu became famous for making beef slices.	1930 年，一對成都夫妻因為做牛片菜色而知名。
The husband, Guo Zhaohua (郭朝華), and wife, Zhang Tianzheng (張田政), were particular about the beef slices they made, and often experimented with new ingredients.	丈夫郭朝華與妻子張田政以其手製牛肉片聞名，經常實驗各種新成分。
As a result, their beef slices had a distinct taste from the other beef slice vendors, and their business boomed.	因此他們的牛肉片有獨特味道，與眾不同，生意因此興旺。
Often though, mischievous children would pull a prank on the couple, and stick paper notes that read fuqi feipian ("husband and wife lung pieces") on their backs, and sometimes people would yell the words out.	經常有調皮的孩子對他們惡作劇，把寫有「夫妻肺片」的紙片貼在他們背上，有時路人會大聲唸出來。
Later on, a merchant tried the fuqi feipian and was so satisfied, he gave them a gold-lettered plaque that read fuqi feipian, and the name has stuck ever since.	之後有個商人一試之下大為滿意，送了一塊金字匾額給他們，上書夫妻肺片，自此聲名大噪。
To suit their customers' tastes, the couple made many improvements on the dish, and offal slices were eventually replaced by various beef or lamb slices.	為滿足顧客的胃口，兩人針對菜色做了多次改進，內臟薄片最終被各種牛肉與羊肉片取代。
Many people still preferred calling the dish fuqi feipian, thus the name is still used today.	許多人還是喜歡把它稱為夫妻肺片，該名一直沿用至今。
The meaning of fei was originally waste parts or offal (廢) but later changed to lung (肺) so the dish sounded less repulsive.	Fei 本來意指廢，是不要的內臟，後來改成比較不具貶意的「肺」。
The lung could be a part of this offal, but fei is not lung by itself in this dish's meaning.	肺也是內臟的一種，但在這道菜中不是指肺部。
