The economy of the municipality is mainly based on textile and food industries.	A economia do município baseia-se essencialmente na indústria têxtil e alimentar.
Rezende played volleyball from 1979 to 1985, and competed in two Olympics, winning a silver medal at the 1984 Summer Olympics.	Rezende foi praticante de voleibol entre 1979 e 1985 e competiu em duas Olimpíadas, ganhando uma medalha de prata nos Jogos Olímpicos de 1984.
He also finished fifth at the 1980 Summer Olympics and won a gold medal at the 1983 Pan American Games.	Terminou em quinto lugar nos Jogos Olímpicos de 1980 e ganhou uma medalha de ouro nos Jogos Pan-Americanos de 1983.
Rezende played in Fluminense, Volley Atlantica Boavista, Flamengo and Vasco da Gama from 1972 to 1988.	Rezende jogou no Fluminense, na Atlântica Boavista, no Flamengo e no Vasco da Gama entre 1972 e 1988.
With Atlântica Boavista he was the winner of Brazil Super League in 1981.	Na Atlântica Boavista venceu a Superliga do Brasil em 1981.
In 1988, he stopped playing to work started his coaching career as an assistant to Bebeto de Freitas at the 1988 Summer Olympics.	Em 1988, deixou de jogar para trabalhar como treinador assistente de Bebeto de Freitas nos Jogos Olímpicos de Verão de 1988.
In 1990 he became the coach of Italian female team Perugia, and remained there for two years.	Em 1990, foi treinadora da equipa feminina italiana de Perugia, onde permaneceu durante dois anos.
In 1990 he became coach of Brazil female team That year.	Em 1990, foi treinadora da seleção feminina.
Rezende with Brazil team placed second in the FIVB World Championship and won the FIVB World Grand Prix.	A seleção brasileira, liderada por Rezende, ficou em segundo lugar no Campeonato Mundial da FIVB e venceu o Grande Prémio Mundial da FIVB.
In 1996, the team won the bronze medal at the Atlanta Olympic Games and the gold medal at the FIVB World Grand Prix.	Em 1996, a equipa venceu a medalha de bronze nos Jogos Olímpicos de Atlanta e a medalha de ouro no Grande Prémio Mundial da FIVB.
In 1998 Rezende led the Brazilians to a South American title, earned qualification for the FIVB World Championship and won bronze in the FIVB World Grand Championship Cup in Japan.	Em 1998, Rezende levou a seleção brasileira a vencer o título da América do Sul, conseguiu a qualificação para o Campeonato Mundial da FIVB e venceu a medalha de bronze na Taça do Campeonato Mundial da FIVB no Japão.
In 1999, Bernardinho won the gold medal at the Pan American Games in Winnipeg, a silver medal in the FIVB World Grand Prix, gold in the South American Championship for the third time, and bronze at the FIVB World Cup.	Em 1999, Bernardinho ganhou a medalha de ouro nos Jogos Pan-Americanos em Winnipeg, uma medalha de prata no Grande Prémio do Mundo da FIVB, uma medalha de ouro no Campeonato da América do Sul pela terceira vez e uma medalha de bronze no Campeonato Mundial da FIVB.
In 2000, he led Brazil to third place in the FIVB World Grand Prix and at the Olympic Games in Sydney 2000. two gold medalist in Montreux Volley Masters he was another achievement.	Em 2000, ajudou o Brasil a vencer o terceiro lugar no Grande Prémio Mundial da FIVB e nos Jogos Olímpicos em Sydney. É também de realçar a conquista de duas medalhas de ouro na Montreux Volley Masters.
Rezend leaving in 2000 female team.	Rezend deixou a equipa feminina em 2000.
Since 2001, Bernardinho has been the coach of the Brazil male national team, with whom he won two Olympic titles in 2004 and 2016.	A partir de 2001, Bernardinho tem sido o treinador da equipa nacional masculina do Brasil que conquistou dois títulos olímpicos em 2004 e em 2016.
After this success Rezende accepted the challenge of leading the Brazilian Men in 2001.	Após este sucesso, Rezende aceitou o desafio de liderar a equipa masculina em 2001.
The choice could not have been better.	A escolha não poderia ter sido melhor.
Bernardinho led the team to memorable victories including first place in the 2001 and 2003 editions of the FIVB World League and the gold medal at the 2002 FIVB World Championship.	Bernardinho ajudou a equipa a alcançar vitórias históricas, incluindo o primeiro lugar nas edições de 2001 e 2003 da Liga Mundial de Voleibol da FIVB e a medalha de ouro no Campeonato Mundial da FIVB de 2002.
In 2003, Bernardinho's star shone even stronger.	Em 2003, a estrela de Bernardinho brilhou ainda mais.
He guided the team to titles in the FIVB World League and the FIVB World Cup, and bronze at the Pan American Games in Dominican Republic.	Ajudou a equipa a vencer títulos na Liga Mundial da FIVB e na Taça Mundial da FIVB, bem como conquistar a medalha de bronze nos Jogos Pan-Americanos na República Dominicana.
In July 2004, Brazil claimed their fourth FIVB World League title.	Em julho de 2004, o Brasil venceu o quarto título da Liga Mundial de Voleibol da FIVB.
In August, the team won its second Olympic gold medal in Athens and make new historic team.	Em agosto, a equipa ganhou a segunda medalha de ouro olímpica em Atenas e criou uma nova equipa histórica.
Bernardinho returned at the end of the year to the Superliga to coach Rexona-Ades.	Bernardinho regressou no final do ano à Superliga para treinar o Rexona-Ades.
In 2005, still coaching the Brazilian men team, he earned another four international medals, gold in the FIVB World League, gold at the South American Championship and gold at the FIVB World Grand Champions Cup in Japan.	Em 2005, ainda treinador da equipa masculina brasileira, conquistou mais quatro medalhas internacionais, uma medalha de ouro na Liga Mundial da FIVB, uma medalha de ouro no Campeonato da América do Sul e uma medalha de ouro na Taça dos Campeões de Voleibol no Japão.
He also won silver at the America's Cup.	Venceu também a medalha de prata na Taça da América.
In 2006, Bernardinho won the FIVB World League, for the fifth time, and the FIVB World Championship for the second time.	Em 2006, Bernardinho convenceu a Liga Mundial FIVB pela quinta vez e o Campeonato Mundial FIVB, pela segunda vez.
The success didn't let up in 2007, with victories in the FIVB World League, the FIVB World Cup, the Pan American Games and the South American Championship.	O sucesso não abrandou em 2007, obteve vitórias na Liga Mundial da FIVB, na Taça do Mundo da FIVB, nos Jogos Pan-Americanos e no Campeonato da América do Sul.
He also led a young team to second place at the America's Cup.	Ajudou também uma jovem equipa a alcançar o segundo lugar na Taça da América.
In 2008, Brazil failed in the most important tournaments of the season, finishing second in Beijing Olympic Games and fourth in the FIVB World League, which Final Round was played in Rio de Janeiro.	Em 2008, o Brasil não foi bem sucedido nos torneios mais importantes da época, terminando em segundo lugar nos Jogos Olímpicos de Pequim e em quarto lugar na Liga Mundial da FIVB, cuja fase final teve lugar no Rio de Janeiro.
In 2009, however, the coach commanded a renewed team that won the FIVB World League, the FIVB World Grand Championship Cup and the South American Championship.	No entanto, em 2009, o treinador dirigiu uma equipa renovada, que venceu a Liga Mundial da FIVB, a Taça do Campeonato Mundial da FIVB e o Campeonato da América do Sul.
In 2010, Brazil started the season winning the ninth title of the FIVB World League, overcoming the Italian record.	Em 2010, o Brasil iniciou a época ao ganhar o nono título da Liga Mundial da FIVB e bateu o recorde italiano.
In the end of the year, Bernardo his third FIVB World Championship title with Brazil.	No final do ano, Bernardo venceu o terceiro Campeonato Mundial da FIVB pelo Brasil.
In 2011, Rezende led the Brazilian national team winning the silver medal in the FIVB World League, title and the South American Championship.	Em 2011, Rezende levou a seleção nacional brasileira a vencer a medalha de prata na Liga Mundial da FIVB, o título e o Campeonato da América do Sul.
In the end of the year, Brazil assured its spot in London Olympic Games by finishing third in the FIVB World Cup.	No final do ano, o Brasil garantiu a qualificação nos Jogos Olímpicos de Londres, ao terminar em terceiro lugar na Taça Mundial da FIVB.
Start 2016 with a silver medal in 2016 FIVB World League.	Começou 2016 com uma medalha de prata na Liga Mundial da FIVB.
Rezende for the fourth time accede in final and winning match final against Italy and won gold medal Rio 2016.	Rezende chegou pela quarta vez à final e venceu a final contra a Itália e ganhou a medalha de ouro no Rio em 2016.
Since 1999, Rezende is married to volleyball player Fernanda Venturini, with whom he has two daughters.	Em 1999, Rezende casou com a jogadora de voleibol Fernanda Venturini, com quem teve duas filhas.
From his previous marriage to player Vera Mossa he had a son who is currently the setter and captain of the Brazilian volleyball team, Bruno Rezende (Bruninho).	Do seu primeiro casamento com a jogadora Vera Mossa, Rezende teve um filho, o atual distribuidor e capitão da equipa de voleibol brasileira, Bruno Rezende (Bruninho).
In the 16th century, the area of the present district was crossed by the trail connecting the Indian villages of Piratininga and Biacica or Imbiacica (now Itaim Paulista, Vila Curuçá and part of Jardim Helena).	No século XVI, a área do atual distrito foi atravessada pelo caminho que liga as aldeias índias de Piratininga e Biacica ou Imbiacica (atualmente Itaim Paulista, Vila Curuçá e parte de Jardim Helena).
That trail was also used by the early colonial explorers (bandeirantes).	Esse caminho foi também utilizado pelos primeiros exploradores coloniais, os bandeirantes.
Some historians claim that the lands were part of the domain (sesmaria) granted by the Portuguese Crown to João Ramalho.	Alguns historiadores afirmam que as terras faziam parte da sesmaria concedida pela Coroa Portuguesa a João Ramalho.
One of the first permanent residents was in fact the explorer Francisco Velho, who settled along the Aricanduva, on land belonging to Brás Cubas.	Um dos primeiros residentes foi o explorador Francisco Velho que se instalou na Aricanduva, que pertencia a Brás Cubas.
Over the following centuries the region became occupied by large farms.	Ao longo dos séculos, a região foi ocupada por grandes fazendas.
The most famous was a property formerly called Tucuri or Bom Retiro, which was acquired in 1865 by Councillor Carrão and then became known as Chácara Carrão.	A mais famosa era uma propriedade conhecida como Tucuri ou Bom Retiro, que foi adquirida em 1865 pelo Conselheiro Carrão e, mais tarde, ficou conhecida como Chácara Carrão.
Around the turn of the 20th century, immigrant workers from Portugal, Italy, Spain, and later from Japan came to the area to work at Carrão's farm and at a wool mill, the Lanifícios Minerva S/A, built there in 1906 by Belgian entrepreneurs Paschoal Boronheid and Fernand Delcroix.	Por volta do início do século XX, trabalhadores imigrantes de Portugal, Itália, Espanha e, mais tarde, Japão chegaram à região para trabalhar na fazenda do Carrão e na fábrica de lã, a Lanifícios Minerva S/A, construída aí em 1906 pelos empresários belgas Paschoal Boronheid e Fernand Delcroix.
An urbanized borough, Vila Carrão, was established in 1917.	Vila Carrão, um bairro urbano, foi criado em 1917.
Another major factor in the area's development was the installation in the 1930s of a large cotton mill, the Cotonifício Guilherme Giorgi, which at its height employed 2800 workers.	Outro fator importante para o desenvolvimento da região foi a construção de uma grande fábrica de algodão na década de 1930, a Cotonifício Guilherme Giorgi, que no, seu auge, empregava 2800 trabalhadores.
The remaining lands of Chácara carrão were urbanized and became the boroughs of Vila Nova Manchester (1922), Vila Santa Isabel (1931), and Jardim Têxtil.	O terreno restante da Chácara Carrão foi urbanizado e tornou-se o bairro Vila Nova Manchester (1922), Vila Santa Isabel (1931) e Jardim Têxtil.
By the 1950s the area which is now the Carrão district was almost entirely urbanized and integrated with the São Paulo urban area.	Na década de 1950, a região que é atualmente o distrito do Carrão, foi quase toda urbanizada e integrada na área urbana de São Paulo.
The Carrão district was created in 1991 by an act of then mayor Luiza Erundina.	O distrito do Carrão foi criado em 1991 por decreto da então Presidente da Câmara Luiza Erundina.
Until then, the land was part of the Tatuapé district.	Até então, as terras faziam parte do distrito de Tatuapé.
It comprises the following neighborhoods: Carrãozinho, Chácara Santo Antonio, Chácara Califórnia, Vila Carrão, Vila Nova Manchester, Vila Santa Isabel, and Vila São Vicente.	É composto pelos seguintes bairros: Carrãozinho, Chácara Santo António, Chácara Califórnia, Vila Carrão, Vila Nova Manchester, Vila Santa Isabel e Vila São Vicente.
The new district boundaries deviated somewhat from the historical borough boundaries.	Os novos limites do distrito variavam ligeiramente dos limites do bairro histórico.
In particular, the Carrão metro station, until then part of the Vila Carrão borough, is now in the Tatupé district.	A estação metropolitana de Carrão, em especial, até então pertencente ao bairro de Vila Carrão, faz agora parte do distrito de Tatupé.
Carrão and the neighboring district of Vila Formosa share the Vila Formosa Cemetery (est.	Carrão e o bairro vizinho de Vila Formosa partilham o cemitério de Vila Formosa (construído
1949).	em 1949).
It is believed to be the largest cemetery in Latin America, with 780,000 m² and more than 1,400,000 "permanent residents".	É considerado o maior cemitério na América Latina, com 780 000 m² e tem mais de 1 400 000  "residentes permanentes".
Floodplain ecosystems such as the Pantanal are defined by their seasonal inundation and desiccation.	Os ecossistemas de planícies alagáveis, como o Pantanal, são definidos pelas suas inundações sazonais e secas.
They shift between phases of standing water and phases of dry soil, when the water table can be well below the root region.	Alternam entre fases de água parada e fases de solo seco, quando o lençol freático pode ficar muito abaixo da região radicular.
Soils range from high levels of sand in higher areas to higher amounts of clay and silt in riverine areas.	Os solos variam entre níveis elevados de areia em áreas mais altas e níveis mais elevados de argila e sedimentos nas áreas ribeirinhas.
Elevation of the Pantanal ranges from 80 to 150 m (260 to 490 ft) above sea level.	A elevação do Pantanal varia entre 80 e 150 m acima do nível do mar.
Annual rainfall over the flood basin is between 1,000 and 1,500 mm (39 and 59 in), with most rainfall occurring between November and March.	A pluviosidade anual na bacia hidrográfica situa-se entre os 1000 e os 1500 mm, ocorrendo a maior precipitação entre novembro e março.
In the Paraguay River portion of the Pantanal, water levels rise between two meters to five meters seasonally; water fluctuations in other parts of the Pantanal are less than this.	Na parte do Rio Paraguai do Pantanal, o nível da água aumenta, sazonalmente, entre dois e cinco metros. Porém, noutras partes do Pantanal, as variações do nível de água são menos acentuadas.
Flood waters tend to flow slowly (2 to 10 cm (0.79 to 3.94 in) per second) due to the low gradients and high resistance offered by the dense vegetation.	As águas das inundações tendem a fluir lentamente (2 a 10 cm por segundo) devido aos baixos gradientes e à elevada resistência da densa vegetação.
When rising river waters first contact previously dry soil, the waters become oxygen-depleted, rendering the water environs anoxic.	As águas do rio, ao entrar pela primeira vez em contacto com o solo seco, ficam com oxigénio e tornam o ambiente aquático anóxico.
Many natural fish kills can occur if there are no oxygenated water refuges available (the reason for this remains speculative: it may be due to the growth of toxin-producing bacteria in the deoxygenated water rather than as a direct result of lack of oxygen (McClain 2002)).	Muitos peixes podem morrer se não houver refúgios de água oxigenada disponíveis. No entanto, as causas continuam a ser motivo de especulação, porque pode ocorrer o crescimento de bactérias nas condições de anoxia, em vez de ser o resultado direto da falta de oxigénio (McClain 2002)).
The vegetation of the Pantanal, often referred to as the "Pantanal complex", is a mixture of plant communities typical of a variety of surrounding biome regions: these include moist tropical Amazonian rainforest plants, semiarid woodland plants typical of northeast Brazil, Brazilian cerrado savanna plants and plants of the Chaco savannas of Bolivia and Paraguay.	A vegetação do Pantanal, frequentemente referida como o "Complexo do Pantanal", é uma mistura de comunidades de plantas, característica de uma diversidade de regiões do bioma circundante: estas incluem plantas de florestas tropicais húmidas amazónicas, plantas da floresta semiárida típicas do nordeste do Brasil, plantas da savana Cerrado brasileira e plantas das savanas do Chaco da Bolívia e do Paraguai.
Forests usually occur at higher altitudes of the region, while grasslands cover the seasonally inundated areas.	As florestas normalmente ocorrem em altitudes mais elevadas da região, ao passo que os prados cobrem áreas sazonalmente inundadas.
The key limiting factors for growth are inundation and, even more importantly, water-stress during the dry season.	Os principais fatores que limitam o crescimento são as inundações e, ainda mais importante, a escassez de água durante a estação seca.
According to Embrapa, approximately 2000 different plants have been identified in the Pantanal biome and classified according to their potential, with some presenting significant medicinal promise.	De acordo com a Embrapa, foram identificadas cerca de 2000 plantas diferentes no bioma do Pantanal e classificadas de acordo com o seu potencial e algumas são prometedoras para a extração de fármacos.
A portion of the Pantanal in Brazil has been protected as the Pantanal Matogrossense National Park.	Uma parte do Pantanal no Brasil tem sido protegida como o Parque Nacional do Pantanal Matogrossense.
This 1,350 square kilometres (520 sq mi) park, established in September 1981, is located in the municipality of Poconé in the State of Mato Grosso, between the mouths of the Baía de São Marcos and the Gurupi Rivers.	Este parque de 1350 quilómetros quadrados, criado em setembro de 1981, está situado no município de Poconé no Estado de Mato Grosso, entre as fozes dos rios da Baía de São Marcos e do Gurupi.
The park was designated a Ramsar Site of International Importance under the Ramsar Convention on May 24, 1993.	O parque foi considerado um sítio Ramsar de Importância Internacional ao abrigo da Convenção de Ramsar a 24 de maio de 1993.
The SESC Pantanal Private Natural Heritage Reserve (Reserva Particular do Patrimonio Natural SESC Pantanal) is a privately owned reserve in Brazil, established in 1998 and 878.7 km² (339.3 sq mi) in size.	A Reserva Particular do Património Natural SESC Pantanal é uma reserva privada no Brasil, criada em 1998, e tem uma dimensão de 878,7 km².
It is located in the north-eastern portion, known as "Poconé" Pantanal, not far from the Pantanal National Park.	Está situada na região nordeste, conhecida como Pantanal do Poconé, perto do Parque Nacional do Pantanal.
It is a mix of permanent rivers, seasonal streams, permanent and seasonal floodplain freshwater lakes, shrub-dominated wetlands and seasonally flooded forests, all dedicated to nature preservation, and was designated a Ramsar Site of International Importance under the Ramsar Convention.	É uma mistura de rios permanentes, igarapés, lagos de água doce planícies aluviais sazonais, pântanos com vegetação e florestas sazonalmente inundadas, dedicada à conservação da Natureza, e foi considerada um Sítio Ramsar de Importância Internacional ao abrigo da Convenção de Ramsar.
Otuquis National Park and Integrated Management Natural Area is a national park of Bolivia in the Pantanal.	O Parque Nacional de Otuquis e a Área Natural de Gestão Integrada é um parque nacional da Bolívia no Pantanal.
The entrance to Otuquis National park is through the town of Puerto Suarez.	A entrada do Parque Nacional Otuquis através da cidade de Puerto Suárez.
